Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-3743;Парк ім.Котовського;Park im.kotovskoho;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Одеська обл.;Одеська міськрада;"N 46°25'25""";"E 30°44'45"""
П-3822;"Пакр санаторію ""Аркадія""";"Pakr sanatoriiu ""arkadiia""";"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Одеська обл.;Одеська міськрада;"N 46°34'17""";"E 30°46'29"""
П-3859;Каїрівський;Kairivskyi;заказник ландшафтний;місцевого значення;Одеська обл.;р-н Лиманський;"N 46°54'54""";"E 30°59'40"""
П-3868;Ботанічний сад ОНУ;Botanichnyi sad Onu;ботанічний сад;загальнодержавного значення;Одеська обл.;Одеська міськрада;"N 46°26'49""";"E 30°40'45"""
П-3875;Влекруч-Негай;Vlekruch-Nehai;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Одеська обл.;Котовська міськрада;"N 47°46'5""";"E 29°33'1"""
П-3895;Парк ім. Пушкіна;Park im. Pushkina;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Одеська обл.;р-н Болградський;"N 45°39'4""";"E 28°37'10"""
П-4183;Калинівський;Kalynivskyi;заказник ботанічний;місцевого значення;Одеська обл.;р-н Комінтернівський;"N 46°52'7""";"E 31°2'0"""
П-42;Нижньодністровський;Nyzhnodnistrovskyi;національний природний парк;загальнодержавного значення;Одеська обл.;"р-н Біляївський, р-н
Овідіопольський, р-н
Білгород-Дністровський";"N 46°24'44""";"E 30°12'37"""
П-421;Ізмаїльські острови;Izmailski ostrovy;регіональний ландшафтний парк;місцевого значення;Одеська обл.;р-н Ізмаїльський;"N 45°22'35""";"E 29°4'52"""
П-4242;Суворівський;Suvorivskyi;ботанічна пам'ятка природи;місцевого значення;Одеська обл.;Одеська міськрада;"N 46°35'11""";"E 30°47'57"""
П-4258;Тилігульський пересип;Tylihulskyi peresyp;заказник орнітологічний;місцевого значення;Одеська обл.;р-н Лиманський;"N 46°38'25""";"E 31°10'17"""
П-429;Байтали;Baitaly;заповідне урочище;місцевого значення;Одеська обл.;р-н Ананьївський;"N 47°48'3""";"E 29°43'55"""
П-430;Дністровські плавні;Dnistrovski plavni;заповідне урочище;місцевого значення;Одеська обл.;р-н Біляївський;"N 46°26'21""";"E 30°9'57"""
П-431;Кішево;Kishevo;заповідне урочище;місцевого значення;Одеська обл.;р-н Балтський;"N 48°11'28""";"E 29°48'54"""
П-432;Чабанка;Chabanka;заповідне урочище;місцевого значення;Одеська обл.;р-н Кодимський;"N 48°4'2""";"E 29°14'7"""
П-438;Савранський ліс;Savranskyi lis;заказник ландшафтний;загальнодержавного значення;Одеська обл.;р-н Савранський;"N 48°5'1""";"E 30°5'50"""
П-4447;Сергіївський;Serhiivskyi;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Одеська обл.;"Білгород-Дністровська
міськрада";"N 46°1'52""";"E 30°21'49"""
П-4547;Сосновий ліс;Sosnovyi lis;заказник лісовий;місцевого значення;Одеська обл.;р-н Савранський;"N 48°8'26""";"E 30°14'6"""
П-4677;Парк ім.Шевченка;Park im.shevchenka;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Одеська обл.;Одеська міськрада;"N 46°29'45""";"E 30°42'38"""
П-4747;Одеські катакомби;Odeski katakomby;геологічна пам'ятка природи;загальнодержавного значення;Одеська обл.;Одеська міськрада;"N 46°29'23""";"E 30°37'44"""
П-4784;Баранівський ліс;Baranivskyi lis;заказник ландшафтний;місцевого значення;Одеська обл.;Ізмаїлська міськрада;"N 45°23'56""";"E 28°50'30"""
П-4893;Парк санаторію ім.Чкалова;Park sanatoriiu im.chkalova;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Одеська обл.;Одеська міськрада;"N 46°27'7""";"E 30°42'18"""
П-5068;Новомиколаївський;Novomykolaivskyi;заказник ландшафтний;місцевого значення;Одеська обл.;р-н Лиманський;"N 46°57'51""";"E 30°54'3"""
П-5102;Лісничівка;Lisnychivka;заказник ботанічний;місцевого значення;Одеська обл.;р-н Балтський;"N 48°1'30""";"E 29°34'6"""
П-517;Костянська балка;Kostianska balka;заказник ботанічний;місцевого значення;Одеська обл.;р-н Роздільнянський;"N 46°43'12""";"E 30°21'5"""
П-6;Дунайський;Dunaiskyi;біосферний заповідник;загальнодержавного значення;Одеська обл.;"р-н Кілійський, р-н
Татарбунарський";"N 45°22'36""";"E 29°41'30"""
П-668;Ліски;Lisky;заказник ботанічний;місцевого значення;Одеська обл.;р-н Кілійський;"N 45°27'22""";"E 29°33'6"""
П-7;Дунайські плавні;Dunaiski plavni;природний заповідник;загальнодержавного значення;Одеська обл.;р-н Кілійський;"N 45°22'36""";"E 29°41'30"""
П-83;Тузловські лимани;Tuzlovski lymany;національний природний парк;загальнодержавного значення;Одеська обл.;р-н Татарбунарський;"N 45°47'0""";"E 30°0'0"""
П-91;Коса Стрілка;Kosa Strilka;заказник загальнозоологічний;загальнодержавного значення;Одеська обл.;р-н Лиманський;"N 46°55'44""";"E 31°0'22"""
