Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-2745;Урочище Острожчин;Urochyshche Ostrozhchyn;ботанічна пам'ятка природи;загальнодержавного значення;Рівненська обл.;р-н Острозький;"N 50°25'17""";"E 26°28'44"""
П-275;"Дендропарк Острозького
держлісгоспу";"Dendropark Ostrozkoho
derzhlishospu";комплексна пам'ятка природи;місцевого значення;Рівненська обл.;р-н Острозький;"N 50°18'57""";"E 26°30'30"""
П-2750;Урочище Хвороща;Urochyshche Khvoroshcha;ботанічна пам'ятка природи;загальнодержавного значення;Рівненська обл.;р-н Млинівський;"N 50°30'43""";"E 25°35'1"""
П-2773;Ствига;Stvyha;заповідне урочище;місцевого значення;Рівненська обл.;р-н Рокитнівський;"N 51°12'3""";"E 27°24'9"""
П-2779;Юзефінська дача;Yuzefinska dacha;ботанічна пам'ятка природи;загальнодержавного значення;Рівненська обл.;р-н Рокитнівський;"N 51°32'32""";"E 27°23'13"""
П-2826;Озеро Велике Почаївське;Ozero Velyke Pochaivske;гідрологічна пам'ятка природи;загальнодержавного значення;Рівненська обл.;р-н Дубровицький;"N 51°44'23""";"E 26°33'36"""
П-2855;Урочище Жуківське;Urochyshche Zhukivske;заповідне урочище;місцевого значення;Рівненська обл.;р-н Рівненський;"N 50°42'33""";"E 25°53'2"""
П-2857;Урочище Любонька;Urochyshche Liubonka;заповідне урочище;місцевого значення;Рівненська обл.;р-н Сарненський;"N 51°21'11""";"E 26°58'10"""
П-2862;Озеро Стрільське;Ozero Strilske;гідрологічна пам'ятка природи;загальнодержавного значення;Рівненська обл.;р-н Сарненський;"N 51°25'22""";"E 26°37'30"""
П-2890;Урочище Покоси;Urochyshche Pokosy;заповідне урочище;місцевого значення;Рівненська обл.;р-н Рівненський;"N 50°42'7""";"E 25°55'30"""
П-2891;Урочище Сморжівське;Urochyshche Smorzhivske;заповідне урочище;місцевого значення;Рівненська обл.;р-н Рівненський;"N 50°43'14""";"E 25°59'39"""
П-2894;Франкове;Frankove;заповідне урочище;місцевого значення;Рівненська обл.;р-н Рокитнівський;"N 51°9'58""";"E 27°23'1"""
П-2899;Урочище Олександрівка;Urochyshche Oleksandrivka;зоологічна пам'ятка природи;загальнодержавного значення;Рівненська обл.;р-н Дубенський;"N 50°23'22""";"E 25°39'2"""
П-2938;Урочище Теремно;Urochyshche Teremno;комплексна пам'ятка природи;загальнодержавного значення;Рівненська обл.;р-н Острозький;"N 50°12'38""";"E 26°14'51"""
П-2970;Чорний ліс;Chornyi lis;заповідне урочище;місцевого значення;Рівненська обл.;р-н Сарненський;"N 51°9'11""";"E 26°30'22"""
П-2986;Прип'ять-Стохід;Prypiat-Stokhid;регіональний ландшафтний парк;місцевого значення;Рівненська обл.;р-н Зарічненський;"N 51°53'30""";"E 25°45'4"""
П-3046;Ялинові насадження;Yalynovi nasadzhennia;заповідне урочище;місцевого значення;Рівненська обл.;р-н Костопільський;"N 50°53'44""";"E 26°23'29"""
П-3052;Яценькове озеро;Yatsenkove ozero;заповідне урочище;місцевого значення;Рівненська обл.;р-н Радивилівський;"N 50°14'2""";"E 25°14'38"""
П-3075;Ділянка соснового лісу;Dilianka sosnovoho lisu;заповідне урочище;місцевого значення;Рівненська обл.;р-н Сарненський;"N 51°15'57""";"E 26°49'51"""
П-3152;Дубовий гай;Dubovyi hai;заповідне урочище;місцевого значення;Рівненська обл.;р-н Сарненський;"N 51°12'42""";"E 26°58'24"""
П-3153;Дубовий гай;Dubovyi hai;заповідне урочище;місцевого значення;Рівненська обл.;р-н Сарненський;"N 51°8'27""";"E 26°15'19"""
П-3161;Печорки;Pechorky;заповідне урочище;місцевого значення;Рівненська обл.;р-н Рокитнівський;"N 51°12'14""";"E 27°23'9"""
П-3166;Поліщукове;Polishchukove;заповідне урочище;місцевого значення;Рівненська обл.;р-н Сарненський;"N 51°8'7""";"E 26°26'55"""
П-3238;Закопища;Zakopyshcha;заповідне урочище;місцевого значення;Рівненська обл.;р-н Рокитнівський;"N 51°9'45""";"E 27°21'54"""
П-3290;Корецькі граніти;Koretski hranity;заказник геологічний;місцевого значення;Рівненська обл.;р-н Корецький;"N 50°37'45""";"E 27°9'43"""
П-3336;Соколині гори;Sokolyni hory;заказник ландшафтний;місцевого значення;Рівненська обл.;р-н Березнівський;"N 50°49'9""";"E 27°1'54"""
П-3402;"Рівненський парк культури і
відпочинку ім.Т.Г.Шевченка";"Rivnenskyi park kultury i
vidpochynku im.t.h.shevchenka";"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Рівненська обл.;Рівненська міськрада;"N 50°36'58""";"E 26°15'29"""
П-3418;Гощанський парк;Hoshchanskyi park;"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Рівненська обл.;р-н Гощанський;"N 50°35'52""";"E 26°40'23"""
П-342;Чернинський;Chernynskyi;заповідне урочище;місцевого значення;Рівненська обл.;р-н Зарічненський;"N 51°48'50""";"E 26°2'48"""
П-3471;Олександрійський парк;Oleksandriiskyi park;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Рівненська обл.;р-н Рівненський;"N 50°44'35""";"E 26°20'34"""
П-3566;Дубові насадження;Dubovi nasadzhennia;заповідне урочище;місцевого значення;Рівненська обл.;р-н Костопільський;"N 50°52'4""";"E 26°34'50"""
П-3606;Новоставський дендропарк;Novostavskyi dendropark;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Рівненська обл.;р-н Рівненський;"N 50°45'57""";"E 25°58'56"""
П-3726;Розвилка;Rozvylka;заповідне урочище;місцевого значення;Рівненська обл.;р-н Сарненський;"N 51°19'35""";"E 26°42'37"""
П-375;Бірок;Birok;заповідне урочище;місцевого значення;Рівненська обл.;р-н Дубенський;"N 50°15'19""";"E 25°43'49"""
П-377;Букові насадження;Bukovi nasadzhennia;заповідне урочище;місцевого значення;Рівненська обл.;р-н Сарненський;"N 51°15'37""";"E 26°33'27"""
П-3804;"Дендрологічний парк
Березнівського лісового
коледжу";"Dendrolohichnyi park
Bereznivskoho lisovoho koledzhu";дендрологічний парк;загальнодержавного значення;Рівненська обл.;р-н Березнівський;"N 51°0'34""";"E 26°44'30"""
П-384;Козацькі могили;Kozatski mohyly;заповідне урочище;місцевого значення;Рівненська обл.;р-н Радивилівський;"N 50°20'45""";"E 25°10'25"""
П-3879;Красносільський;Krasnosilskyi;заказник ботанічний;місцевого значення;Рівненська обл.;р-н Володимирецький;"N 51°30'46""";"E 25°59'2"""
П-388;Вичівський;Vychivskyi;заповідне урочище;місцевого значення;Рівненська обл.;р-н Зарічненський;"N 51°48'37""";"E 26°28'3"""
П-3884;Тучинський парк;Tuchynskyi park;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Рівненська обл.;р-н Гощанський;"N 50°42'8""";"E 26°35'2"""
П-3886;Урочище Сломка;Urochyshche Slomka;заповідне урочище;місцевого значення;Рівненська обл.;р-н Рівненський;"N 50°47'23""";"E 26°16'20"""
П-3887;Урочище Смордва;Urochyshche Smordva;заповідне урочище;місцевого значення;Рівненська обл.;р-н Млинівський;"N 50°25'46""";"E 25°27'39"""
П-3891;Урочище Бір;Urochyshche Bir;заказник ботанічний;місцевого значення;Рівненська обл.;р-н Острозький;"N 50°17'10""";"E 26°26'46"""
П-3899;Урочище Ситенське;Urochyshche Sytenske;заказник ботанічний;місцевого значення;Рівненська обл.;р-н Радивилівський;"N 50°13'52""";"E 25°18'9"""
П-390;Нараїв;Naraiv;заповідне урочище;місцевого значення;Рівненська обл.;р-н Здолбунівський;"N 50°23'40""";"E 26°4'17"""
П-3935;Клинцівський;Klyntsivskyi;заказник ентомологічний;місцевого значення;Рівненська обл.;р-н Дубенський;"N 50°22'6""";"E 25°51'41"""
П-3936;Колоденський;Kolodenskyi;заказник ентомологічний;місцевого значення;Рівненська обл.;р-н Рівненський;"N 50°34'30""";"E 26°20'0"""
П-395;Поліська діброва;Poliska dibrova;заповідне урочище;місцевого значення;Рівненська обл.;р-н Дубровицький;"N 51°33'34""";"E 26°36'25"""
П-3956;Костянтинівський;Kostiantynivskyi;заказник лісовий;місцевого значення;Рівненська обл.;р-н Сарненський;"N 51°16'51""";"E 26°22'58"""
П-3964;Урочище Озарінь;Urochyshche Ozarin;заказник ботанічний;місцевого значення;Рівненська обл.;р-н Володимирецький;"N 51°39'39""";"E 26°4'7"""
П-3968;Більчаківський;Bilchakivskyi;заказник лісовий;місцевого значення;Рівненська обл.;р-н Березнівський;"N 50°49'58""";"E 27°6'29"""
П-3969;Базальтівський;Bazaltivskyi;заказник лісовий;місцевого значення;Рівненська обл.;р-н Костопільський;"N 50°55'23""";"E 26°19'34"""
П-3972;"Масевицький, урочище
Старики";"Masevytskyi, urochyshche
Staryky";заказник загальнозоологічний;місцевого значення;Рівненська обл.;р-н Рокитнівський;"N 51°12'47""";"E 27°4'55"""
П-3988;Нобельський;Nobelskyi;заказник орнітологічний;місцевого значення;Рівненська обл.;р-н Зарічненський;"N 51°51'35""";"E 25°45'11"""
П-399;Топець;Topets;заповідне урочище;місцевого значення;Рівненська обл.;р-н Зарічненський;"N 51°43'55""";"E 26°0'25"""
П-3995;Урочище Стрілки;Urochyshche Strilky;заказник гідрологічний;місцевого значення;Рівненська обл.;р-н Дубенський;"N 50°15'23""";"E 25°49'13"""
П-3996;Урочище Студянка;Urochyshche Studianka;заказник гідрологічний;місцевого значення;Рівненська обл.;р-н Дубенський;"N 50°12'40""";"E 25°42'47"""
П-4007;Мостівський;Mostivskyi;заказник лісовий;місцевого значення;Рівненська обл.;р-н Здолбунівський;"N 50°16'35""";"E 26°8'31"""
П-4008;Немирівський ліс;Nemyrivskyi lis;заказник лісовий;місцевого значення;Рівненська обл.;р-н Радивилівський;"N 50°5'15""";"E 25°15'17"""
П-401;Урочище Берещина;Urochyshche Bereshchyna;заповідне урочище;місцевого значення;Рівненська обл.;р-н Млинівський;"N 50°25'36""";"E 25°29'11"""
П-4020;Корнинський;Kornynskyi;заказник ботанічний;місцевого значення;Рівненська обл.;р-н Рівненський;"N 50°32'59""";"E 26°19'2"""
П-4031;Коршівський;Korshivskyi;заказник ентомологічний;місцевого значення;Рівненська обл.;р-н Здолбунівський;"N 50°27'21""";"E 26°9'5"""
П-4032;Розвазький;Rozvazkyi;заказник ентомологічний;місцевого значення;Рівненська обл.;р-н Острозький;"N 50°23'20""";"E 26°27'1"""
П-4038;М'ятинський;Miatynskyi;заказник ентомологічний;місцевого значення;Рівненська обл.;р-н Гощанський;"N 50°33'11""";"E 26°24'39"""
П-4041;Рясниківський;Riasnykivskyi;заказник ентомологічний;місцевого значення;Рівненська обл.;р-н Гощанський;"N 50°37'28""";"E 26°30'57"""
П-4042;Стеблівський;Steblivskyi;заказник ентомологічний;місцевого значення;Рівненська обл.;р-н Здолбунівський;"N 50°23'56""";"E 26°6'44"""
П-4061;Будеразький;Buderazkyi;заказник лісовий;місцевого значення;Рівненська обл.;р-н Здолбунівський;"N 50°14'59""";"E 26°9'30"""
П-4089;Дерманська;Dermanska;ботанічна пам'ятка природи;місцевого значення;Рівненська обл.;р-н Здолбунівський;"N 50°22'26""";"E 26°17'0"""
П-4099;Білинський;Bilynskyi;заказник ботанічний;місцевого значення;Рівненська обл.;р-н Рокитнівський;"N 51°20'55""";"E 27°25'0"""
П-4115;Урочище Брище;Urochyshche Bryshche;заказник загальнозоологічний;місцевого значення;Рівненська обл.;р-н Березнівський;"N 51°4'53""";"E 26°54'53"""
П-4136;Ясинівський;Yasynivskyi;заказник ентомологічний;місцевого значення;Рівненська обл.;р-н Дубенський;"N 50°21'30""";"E 25°53'36"""
П-4219;Більчаківське джерело;Bilchakivske dzherelo;гідрологічна пам'ятка природи;місцевого значення;Рівненська обл.;р-н Березнівський;"N 50°49'32""";"E 27°9'31"""
П-424;Надслучанський;Nadsluchanskyi;регіональний ландшафтний парк;місцевого значення;Рівненська обл.;р-н Березнівський;"N 50°50'3""";"E 27°5'42"""
П-4259;"Яр Каменярня, урочище Біла
дебря";"Yar Kameniarnia, urochyshche
Bila debria";заказник геологічний;місцевого значення;Рівненська обл.;р-н Млинівський;"N 50°25'9""";"E 25°29'17"""
П-4284;Печений Віл;Pechenyi Vil;ботанічна пам'ятка природи;місцевого значення;Рівненська обл.;р-н Млинівський;"N 50°31'50""";"E 25°49'30"""
П-4293;Ступнівський;Stupnivskyi;заказник ентомологічний;місцевого значення;Рівненська обл.;р-н Здолбунівський;"N 50°19'59""";"E 26°1'17"""
П-43;Рівненський;Rivnenskyi;природний заповідник;загальнодержавного значення;Рівненська обл.;"р-н Дубровицький, р-н
Володимирецький, р-н
Рокитнівський, р-н
Сарненський";"N 51°30'13""";"E 25°42'39"""
П-4300;Трипутнянський парк;Tryputnianskyi park;комплексна пам'ятка природи;місцевого значення;Рівненська обл.;р-н Дубровицький;"N 51°32'50""";"E 26°21'19"""
П-4306;Рокитнянська діброва;Rokytnianska dibrova;заказник ботанічний;місцевого значення;Рівненська обл.;р-н Костопільський;"N 50°55'45""";"E 26°28'51"""
П-4338;Олександрівська дача;Oleksandrivska dacha;заповідне урочище;місцевого значення;Рівненська обл.;р-н Рівненський;"N 50°48'18""";"E 26°15'47"""
П-434;Вичівський;Vychivskyi;заказник ботанічний;загальнодержавного значення;Рівненська обл.;р-н Зарічненський;"N 51°48'57""";"E 26°22'38"""
П-4356;Чабельський;Chabelskyi;заказник лісовий;місцевого значення;Рівненська обл.;р-н Сарненський;"N 51°10'12""";"E 27°1'40"""
П-4358;Урочище Романщина;Urochyshche Romanshchyna;заказник орнітологічний;місцевого значення;Рівненська обл.;р-н Володимирецький;"N 51°23'59""";"E 26°15'0"""
П-4376;Гурби;Hurby;заповідне урочище;місцевого значення;Рівненська обл.;р-н Здолбунівський;"N 50°17'2""";"E 26°8'30"""
П-4382;Еталонні насадження;Etalonni nasadzhennia;заповідне урочище;місцевого значення;Рівненська обл.;р-н Костопільський;"N 50°55'3""";"E 26°15'14"""
П-4393;Цепцевицьке джерело;Tseptsevytske dzherelo;гідрологічна пам'ятка природи;місцевого значення;Рівненська обл.;р-н Володимирецький;"N 51°22'41""";"E 26°17'24"""
П-4394;Урочище Стирське;Urochyshche Styrske;заказник орнітологічний;місцевого значення;Рівненська обл.;р-н Володимирецький;"N 51°41'6""";"E 25°57'54"""
П-4399;Точевицький;Tochevytskyi;заказник ентомологічний;місцевого значення;Рівненська обл.;р-н Острозький;"N 50°21'34""";"E 26°24'33"""
П-4417;Більський дендропарк;Bilskyi dendropark;комплексна пам'ятка природи;місцевого значення;Рівненська обл.;р-н Дубровицький;"N 51°40'46""";"E 26°44'1"""
П-4424;Урочище Бережани;Urochyshche Berezhany;заказник ботанічний;місцевого значення;Рівненська обл.;р-н Дубенський;"N 50°18'37""";"E 25°42'39"""
