Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-4190;Білогородський горб;Bilohorodskyi horb;геологічна пам'ятка природи;місцевого значення;Київська обл.;р-н Києво-Святошинський;"N 50°22'11""";"E 30°13'4"""
П-4234;Круглик;Kruhlyk;ботанічна пам'ятка природи;загальнодержавного значення;Київська обл.;р-н Тетіївський;"N 49°21'52""";"E 29°39'29"""
П-4271;Бакумівський;Bakumivskyi;заказник ботанічний;місцевого значення;Київська обл.;р-н Баришівський;"N 50°21'5""";"E 31°22'5"""
П-4322;Пухівський;Pukhivskyi;заказник лісовий;місцевого значення;Київська обл.;р-н Поліський;"N 51°8'38""";"E 29°31'6"""
П-4346;Дмитрівський;Dmytrivskyi;заказник ботанічний;місцевого значення;Київська обл.;р-н Вишгородський;"N 50°54'25""";"E 30°19'0"""
П-4355;Уютне;Uiutne;заказник лісовий;місцевого значення;Київська обл.;р-н Сквирський;"N 49°40'47""";"E 29°42'41"""
П-4357;Урочище В'язове;Urochyshche Viazove;заказник орнітологічний;місцевого значення;Київська обл.;р-н Бориспільський;"N 50°15'44""";"E 30°46'48"""
П-4386;Любимівський;Liubymivskyi;заказник ботанічний;місцевого значення;Київська обл.;р-н Вишгородський;"N 50°55'2""";"E 30°17'41"""
П-4427;Саварка;Savarka;заказник орнітологічний;місцевого значення;Київська обл.;р-н Богуславський;"N 49°34'23""";"E 30°40'37"""
П-4431;Альта;Alta;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Київська обл.;р-н Баришівський;"N 50°11'21""";"E 31°21'45"""
П-4435;Копилівський;Kopylivskyi;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Київська обл.;р-н Макарівський;"N 50°24'18""";"E 29°54'21"""
П-4439;Фастівський;Fastivskyi;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Київська обл.;р-н Фастівський;"N 50°2'1""";"E 29°50'3"""
П-4477;Верем'я;Veremia;заповідне урочище;місцевого значення;Київська обл.;р-н Обухівський;"N 50°7'50""";"E 30°27'42"""
П-4494;Глибокий ліс;Hlybokyi lis;заказник ботанічний;місцевого значення;Київська обл.;р-н Вишгородський;"N 50°48'47""";"E 30°15'40"""
П-4515;Михайлівська дача;Mykhailivska dacha;заказник лісовий;місцевого значення;Київська обл.;р-н Володарський;"N 49°34'25""";"E 29°55'40"""
П-4568;Лобачівський ліс;Lobachivskyi lis;заказник ботанічний;місцевого значення;Київська обл.;р-н Володарський;"N 49°25'32""";"E 29°56'42"""
П-4574;Стрижавський ліс;Stryzhavskyi lis;заказник ботанічний;місцевого значення;Київська обл.;р-н Ставищенський;"N 49°24'29""";"E 29°58'38"""
