Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-5321;Дуб Т.Г.Шевченка;Dub T.h.shevchenka;ботанічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Звенигородський;"N 49°15'49""";"E 31°0'8"""
П-5352;Джерело;Dzherelo;гідрологічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Смілянський;"N 49°9'42""";"E 31°52'42"""
П-5358;Лісові масиви сосни з дубом;Lisovi masyvy sosny z dubom;ботанічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Черкаський;"N 49°20'15""";"E 31°48'32"""
П-5360;Одинокі дерева бука;Odynoki dereva buka;ботанічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Тальнівський;"N 48°54'15""";"E 30°27'43"""
П-5361;Одинокі дерева софори;Odynoki dereva sofory;ботанічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Тальнівський;"N 48°51'55""";"E 30°42'7"""
П-5384;Берези;Berezy;заповідне урочище;місцевого значення;Черкаська обл.;р-н Тальнівський;"N 48°50'5""";"E 30°39'5"""
П-5404;Липа Максимовича;Lypa Maksymovycha;ботанічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Золотоніський;"N 49°42'38""";"E 32°9'13"""
П-5405;Липова алея (11 шт.);Lypova aleia (11 sht.);ботанічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Маньківський;"N 48°51'38""";"E 30°26'46"""
П-5418;Мошенська діброва;Moshenska dibrova;комплексна пам'ятка природи;загальнодержавного значення;Черкаська обл.;р-н Черкаський;"N 49°29'59""";"E 31°56'24"""
П-5432;Заводищанські куполи;Zavodyshchanski kupoly;геологічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Канівський;"N 49°41'14""";"E 31°32'3"""
П-544;Баранів Яр;Baraniv Yar;заказник ботанічний;місцевого значення;Черкаська обл.;р-н Канівський;"N 49°52'47""";"E 31°21'15"""
П-5440;Насадження бука;Nasadzhennia buka;ботанічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Смілянський;"N 49°17'38""";"E 31°39'24"""
П-5469;Комсомольський;Komsomolskyi;заказник ботанічний;місцевого значення;Черкаська обл.;р-н Кам'янський;"N 48°56'58""";"E 32°7'4"""
П-548;Берестово;Berestovo;заказник ботанічний;місцевого значення;Черкаська обл.;р-н Чигиринський;"N 48°58'51""";"E 32°46'59"""
П-5486;Тясминський каньйон;Tiasmynskyi kanion;комплексна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Кам'янський;"N 49°1'34""";"E 32°7'21"""
П-5507;Сосна М.В.Гоголя;Sosna M.v.hoholia;ботанічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Канівський;"N 49°43'21""";"E 31°37'42"""
П-5520;Замкова гора Б.Хмельницького;Zamkova hora B.khmelnytskoho;парк;місцевого значення;Черкаська обл.;р-н Чигиринський;"N 49°4'9""";"E 32°39'43"""
П-5564;Мельниківська криниця;Melnykivska krynytsia;гідрологічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Канівський;"N 49°31'54""";"E 31°13'40"""
П-5565;Верба Т.Г.Шевченка;Verba T.h.shevchenka;ботанічна пам'ятка природи;місцевого значення;Черкаська обл.;р-н Канівський;"N 49°43'29""";"E 31°30'33"""
П-5594;Парк Перемога;Park Peremoha;парк;місцевого значення;Черкаська обл.;р-н Звенигородський;"N 49°5'7""";"E 30°58'11"""
П-5603;Котів яр;Kotiv yar;заказник гідрологічний;місцевого значення;Черкаська обл.;р-н Шполянський;"N 49°4'43""";"E 31°29'16"""
П-5606;Кинашівський;Kynashivskyi;заказник гідрологічний;місцевого значення;Черкаська обл.;р-н Маньківський;"N 48°58'21""";"E 30°22'6"""
П-562;Вільхівський;Vilkhivskyi;заказник ботанічний;місцевого значення;Черкаська обл.;р-н Золотоніський;"N 49°39'3""";"E 31°56'6"""
П-564;Валявський;Valiavskyi;заказник ботанічний;місцевого значення;Черкаська обл.;р-н Городищенський;"N 49°18'36""";"E 31°25'32"""
П-593;Городищенський;Horodyshchenskyi;заказник ботанічний;місцевого значення;Черкаська обл.;р-н Городищенський;"N 49°18'19""";"E 31°30'42"""
П-60;Канівський;Kanivskyi;природний заповідник;загальнодержавного значення;Черкаська обл.;р-н Канівський;"N 49°51'17""";"E 31°32'51"""
П-618;Собківський;Sobkivskyi;заказник ботанічний;місцевого значення;Черкаська обл.;р-н Уманський;"N 48°40'10""";"E 30°14'59"""
П-627;Сфагнове болото;Sfahnove boloto;заказник ботанічний;місцевого значення;Черкаська обл.;р-н Черкаський;"N 49°17'11""";"E 31°49'11"""
П-628;Тамарівський;Tamarivskyi;заказник ботанічний;місцевого значення;Черкаська обл.;р-н Золотоніський;"N 49°35'38""";"E 32°10'26"""
П-651;Хлипнівський;Khlypnivskyi;заказник ботанічний;місцевого значення;Черкаська обл.;р-н Звенигородський;"N 49°9'18""";"E 30°57'8"""
П-690;Мар'янівщина;Marianivshchyna;заказник ботанічний;місцевого значення;Черкаська обл.;р-н Золотоніський;"N 49°38'4""";"E 31°58'18"""
П-712;Оля;Olia;заказник ботанічний;місцевого значення;Черкаська обл.;р-н Чигиринський;"N 49°11'30""";"E 32°17'4"""
П-719;Пісківський;Piskivskyi;заказник ботанічний;місцевого значення;Черкаська обл.;"р-н Корсунь-
Шевченківський";"N 49°22'17""";"E 31°5'8"""
П-72;Білоозерський;Biloozerskyi;національний природний парк;загальнодержавного значення;Черкаська обл.;;"N 49°53'45""";"E 31°34'40"""
П-803;Чуїхський;Chuikhskyi;заказник ботанічний;місцевого значення;Черкаська обл.;р-н Городищенський;"N 49°17'36""";"E 31°30'42"""
П-807;Юрківський;Yurkivskyi;заказник ботанічний;місцевого значення;Черкаська обл.;р-н Уманський;"N 48°36'35""";"E 30°0'7"""
П-810;Яничанський;Yanychanskyi;заказник ботанічний;місцевого значення;Черкаська обл.;р-н Чигиринський;"N 48°59'20""";"E 32°30'29"""
П-951;Полківничий;Polkivnychyi;заказник гідрологічний;місцевого значення;Черкаська обл.;р-н Маньківський;"N 48°59'44""";"E 30°25'42"""
