Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-1357;Озеро Олеандра;Ozero Oleandra;заказник гідрологічний;місцевого значення;Волинська обл.;р-н Турійський;"N 51°0'45""";"E 24°47'4"""
П-1358;Озеро Радожичі;Ozero Radozhychi;заказник гідрологічний;місцевого значення;Волинська обл.;р-н Ратнівський;"N 51°44'6""";"E 24°30'2"""
П-1359;Озеро Святе;Ozero Sviate;заказник гідрологічний;місцевого значення;Волинська обл.;р-н Турійський;"N 51°5'52""";"E 24°20'30"""
П-1360;Озеро Скомирське;Ozero Skomyrske;заказник гідрологічний;місцевого значення;Волинська обл.;р-н Камінь-Каширський;"N 51°25'15""";"E 24°56'51"""
П-1361;Озеро Стобихівське;Ozero Stobykhivske;заказник гідрологічний;місцевого значення;Волинська обл.;р-н Камінь-Каширський;"N 51°22'56""";"E 24°59'19"""
П-1362;Озеро Чисте;Ozero Chyste;заказник гідрологічний;місцевого значення;Волинська обл.;р-н Ратнівський;"N 51°46'4""";"E 24°32'27"""
П-1363;Озерця;Ozertsia;заказник гідрологічний;місцевого значення;Волинська обл.;р-н Ратнівський;"N 51°48'34""";"E 24°39'3"""
П-1365;Окорський;Okorskyi;заказник гідрологічний;місцевого значення;Волинська обл.;р-н Локачинський;"N 50°44'57""";"E 24°55'40"""
П-1367;Турський;Turskyi;заказник гідрологічний;місцевого значення;Волинська обл.;р-н Камінь-Каширський;"N 51°36'14""";"E 24°47'12"""
П-1374;Урочище Плав;Urochyshche Plav;заказник гідрологічний;місцевого значення;Волинська обл.;р-н Ратнівський;"N 51°35'23""";"E 24°44'58"""
П-1387;Залухівський;Zalukhivskyi;заказник гідрологічний;місцевого значення;Волинська обл.;р-н Ратнівський;"N 51°51'21""";"E 24°53'52"""
П-1395;Оріхівський;Orikhivskyi;заказник гідрологічний;місцевого значення;Волинська обл.;р-н Ратнівський;"N 51°51'59""";"E 24°42'36"""
П-1405;Урочище Озеро;Urochyshche Ozero;заказник гідрологічний;місцевого значення;Волинська обл.;р-н Рожищенський;"N 50°55'58""";"E 24°52'18"""
П-1407;Урочище Терешкове;Urochyshche Tereshkove;заказник гідрологічний;місцевого значення;Волинська обл.;р-н Ратнівський;"N 51°35'16""";"E 24°45'18"""
