Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-1678;Урочище Шмирки;Urochyshche Shmyrky;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Красилівський;"N 49°38'52""";"E 26°54'56"""
П-1689;Данилівський;Danylivskyi;заказник ландшафтний;місцевого значення;Хмельницька обл.;р-н Новоушицький;"N 48°47'12""";"E 27°11'51"""
П-1693;Дністровський;Dnistrovskyi;заказник ландшафтний;місцевого значення;Хмельницька обл.;р-н Новоушицький;"N 48°34'43""";"E 27°15'18"""
П-1698;Бук європейський;Buk yevropeiskyi;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;"р-н
Старокостянтинівський";"N 49°47'22""";"E 27°2'33"""
П-1700;Букові дерева;Bukovi dereva;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Дунаєвецький;"N 48°51'40""";"E 26°43'1"""
П-1701;Вікові дерева;Vikovi dereva;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Теофіпольський;"N 49°42'29""";"E 26°28'11"""
П-1705;Віковічні дерева;Vikovichni dereva;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Теофіпольський;"N 49°53'55""";"E 26°32'3"""
П-1721;Ялина колюча;Yalyna koliucha;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Волочиський;"N 49°32'19""";"E 26°36'25"""
П-1723;Жердянські каньйони;Zherdianski kaniony;заказник ландшафтний;місцевого значення;Хмельницька обл.;р-н Теофіпольський;"N 49°47'52""";"E 26°17'12"""
П-1726;Зіньківський;Zinkivskyi;заказник ландшафтний;місцевого значення;Хмельницька обл.;р-н Віньковецький;"N 49°2'55""";"E 27°8'53"""
П-1732;Вікові дерева;Vikovi dereva;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Теофіпольський;"N 49°49'14""";"E 26°36'44"""
П-1734;Віковий бук;Vikovyi buk;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Ізяславський;"N 50°11'45""";"E 26°35'34"""
П-1747;Липа європейська;Lypa yevropeiska;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Волочиський;"N 49°32'27""";"E 26°35'40"""
П-1749;Липа манчжурська;Lypa manchzhurska;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Волочиський;"N 49°32'37""";"E 26°34'48"""
П-1750;Липа серцелиста;Lypa sertselysta;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Віньковецький;"N 49°6'35""";"E 27°16'18"""
П-1751;Липова алея;Lypova aleia;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Шепетівський;"N 50°0'22""";"E 26°59'29"""
П-1765;Йосиповецькі краєвиди;Yosypovetski kraievydy;заказник ландшафтний;місцевого значення;Хмельницька обл.;р-н Білогірський;"N 50°8'26""";"E 26°17'16"""
П-1766;Йосиповецький;Yosypovetskyi;заказник ландшафтний;місцевого значення;Хмельницька обл.;р-н Білогірський;"N 50°9'1""";"E 26°17'11"""
П-1769;Калюський;Kaliuskyi;заказник ландшафтний;місцевого значення;Хмельницька обл.;р-н Новоушицький;"N 48°40'20""";"E 27°19'19"""
П-1774;Вигорне;Vyhorne;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Білогірський;"N 50°1'7""";"E 26°20'42"""
П-1780;Волосовецька дача;Volosovetska dacha;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Летичівський;"N 49°33'37""";"E 27°21'59"""
П-1819;Голицька дача;Holytska dacha;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Славутський;"N 50°17'37""";"E 27°1'20"""
П-1820;Михельська дача І;Mykhelska dacha I;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Ізяславський;"N 50°10'21""";"E 26°47'40"""
П-1821;Михельська дача ІІ;Mykhelska dacha Ii;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Ізяславський;"N 50°10'17""";"E 26°48'25"""
П-1826;Морозівська дача;Morozivska dacha;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Дунаєвецький;"N 48°57'38""";"E 27°2'50"""
П-1843;Лазучинський;Lazuchynskyi;заказник ландшафтний;місцевого значення;Хмельницька обл.;р-н Теофіпольський;"N 49°45'14""";"E 26°35'35"""
