Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-2150;Безвіднянське;Bezvidnianske;заповідне урочище;місцевого значення;Полтавська обл.;р-н Гадяцький;"N 50°9'32""";"E 34°0'49"""
П-2155;Березняки;Berezniaky;заповідне урочище;місцевого значення;Полтавська обл.;р-н Хорольський;"N 49°50'26""";"E 32°59'6"""
П-2185;Бовбасівка;Bovbasivka;заповідне урочище;місцевого значення;Полтавська обл.;р-н Хорольський;"N 49°40'5""";"E 33°18'41"""
П-2227;Великий і малий лиман;Velykyi i malyi lyman;заповідне урочище;місцевого значення;Полтавська обл.;р-н Котелевський;"N 49°50'51""";"E 34°42'58"""
П-2252;Дендрарій держсортомережі;Dendrarii derzhsortomerezhi;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Полтавська обл.;р-н Машівський;"N 49°26'40""";"E 34°45'19"""
П-2291;Зарізький;Zarizkyi;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Полтавська обл.;р-н Оржицький;"N 49°49'4""";"E 32°38'51"""
П-2302;Гадяцький бір;Hadiatskyi bir;заповідне урочище;місцевого значення;Полтавська обл.;р-н Гадяцький;"N 50°21'19""";"E 34°6'42"""
П-2303;Гадяцький бір;Hadiatskyi bir;заповідне урочище;місцевого значення;Полтавська обл.;р-н Гадяцький;"N 50°22'28""";"E 34°4'55"""
П-2304;Гадяцький бір;Hadiatskyi bir;заповідне урочище;місцевого значення;Полтавська обл.;р-н Гадяцький;"N 50°20'36""";"E 34°3'51"""
П-2333;Куликівський;Kulykivskyi;"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Полтавська обл.;р-н Полтавський;"N 49°36'28""";"E 34°46'57"""
П-2345;Гнилуша;Hnylusha;заповідне урочище;місцевого значення;Полтавська обл.;р-н Гадяцький;"N 50°19'8""";"E 33°59'39"""
П-2347;Голотовщина;Holotovshchyna;заповідне урочище;місцевого значення;Полтавська обл.;р-н Гадяцький;"N 50°11'6""";"E 34°0'33"""
П-2377;Бутова гора;Butova hora;геологічна пам'ятка природи;місцевого значення;Полтавська обл.;р-н Шишацький;"N 49°51'17""";"E 33°57'23"""
П-2384;Висачківський кар'єр;Vysachkivskyi karier;геологічна пам'ятка природи;місцевого значення;Полтавська обл.;р-н Лубенський;"N 50°6'39""";"E 33°9'42"""
П-2403;Академія;Akademiia;комплексна пам'ятка природи;місцевого значення;Полтавська обл.;р-н Карлівський;"N 49°23'13""";"E 35°1'55"""
П-2422;Виходи гранодіоритів;Vykhody hranodiorytiv;геологічна пам'ятка природи;місцевого значення;Полтавська обл.;р-н Кременчуцький;"N 49°0'7""";"E 33°33'47"""
П-2462;Головлева круча;Holovleva krucha;геологічна пам'ятка природи;місцевого значення;Полтавська обл.;р-н Кременчуцький;"N 49°15'17""";"E 33°34'30"""
П-2525;Городище;Horodyshche;комплексна пам'ятка природи;місцевого значення;Полтавська обл.;р-н Лубенський;"N 49°54'25""";"E 32°56'53"""
П-2539;Келеберда;Keleberda;геологічна пам'ятка природи;місцевого значення;Полтавська обл.;р-н Кременчуцький;"N 48°58'10""";"E 33°42'26"""
П-2564;Киндинів сад;Kyndyniv sad;комплексна пам'ятка природи;місцевого значення;Полтавська обл.;р-н Оржицький;"N 49°48'0""";"E 32°33'44"""
П-2574;Лиса гора;Lysa hora;геологічна пам'ятка природи;місцевого значення;Полтавська обл.;р-н Миргородський;"N 50°5'13""";"E 33°39'5"""
П-2575;Лиса гора;Lysa hora;геологічна пам'ятка природи;місцевого значення;Полтавська обл.;р-н Шишацький;"N 49°50'37""";"E 33°55'21"""
П-2591;Криниця Петра І;Krynytsia Petra I;гідрологічна пам'ятка природи;місцевого значення;Полтавська обл.;р-н Полтавський;"N 49°38'46""";"E 34°39'21"""
П-2600;Олександрівський горб;Oleksandrivskyi horb;комплексна пам'ятка природи;місцевого значення;Полтавська обл.;р-н Лубенський;"N 49°56'3""";"E 32°54'33"""
П-2623;Нижньопсільський;Nyzhnopsilskyi;заказник ландшафтний;загальнодержавного значення;Полтавська обл.;р-н Кременчуцький;"N 49°13'22""";"E 33°34'29"""
П-2643;Заяр'є;Zaiarie;заповідне урочище;місцевого значення;Полтавська обл.;р-н Хорольський;"N 49°46'41""";"E 33°15'44"""
П-2644;Зелений бір;Zelenyi bir;заповідне урочище;місцевого значення;Полтавська обл.;р-н Козельщинський;"N 49°16'18""";"E 33°35'55"""
П-2689;Келебердянське;Keleberdianske;заповідне урочище;місцевого значення;Полтавська обл.;р-н Кременчуцький;"N 48°57'47""";"E 33°34'19"""
П-2695;Середнє;Serednie;заповідне урочище;місцевого значення;Полтавська обл.;р-н Хорольський;"N 49°46'1""";"E 33°14'7"""
П-2703;Парасоцький ліс;Parasotskyi lis;ботанічна пам'ятка природи;загальнодержавного значення;Полтавська обл.;р-н Диканський;"N 49°48'15""";"E 34°35'46"""
П-2723;Княже;Kniazhe;заповідне урочище;місцевого значення;Полтавська обл.;р-н Хорольський;"N 49°51'53""";"E 33°0'15"""
П-2724;Кобеляк;Kobeliak;заповідне урочище;місцевого значення;Полтавська обл.;р-н Оржицький;"N 49°52'14""";"E 32°51'18"""
П-2730;Колода;Koloda;заповідне урочище;місцевого значення;Полтавська обл.;р-н Котелевський;"N 50°1'23""";"E 34°43'37"""
П-2739;Сосновий гай;Sosnovyi hai;заповідне урочище;місцевого значення;Полтавська обл.;р-н Гадяцький;"N 50°25'41""";"E 34°0'40"""
П-2742;Стінка;Stinka;заповідне урочище;місцевого значення;Полтавська обл.;р-н Шишацький;"N 49°48'37""";"E 34°5'41"""
П-2762;Кононівське;Kononivske;заповідне урочище;місцевого значення;Полтавська обл.;р-н Семенівський;"N 49°33'23""";"E 33°22'43"""
П-2789;"Парк Лубенського лісового
технікуму";"Park Lubenskoho lisovoho
tekhnikumu";"парк-пам'ятка садово-паркового
мистецтва";місцевого значення;Полтавська обл.;Лубенська міськрада;"N 49°59'2""";"E 32°59'31"""
П-2814;Терновий Кущ;Ternovyi Kushch;заповідне урочище;місцевого значення;Полтавська обл.;р-н Гадяцький;"N 50°13'37""";"E 33°55'56"""
П-2817;Торговиця;Torhovytsia;заповідне урочище;місцевого значення;Полтавська обл.;р-н Лубенський;"N 50°2'1""";"E 33°5'50"""
П-2845;Крупицьке;Krupytske;заповідне урочище;місцевого значення;Полтавська обл.;р-н Котелевський;"N 49°59'12""";"E 34°43'54"""
П-2847;Круча;Krucha;заповідне урочище;місцевого значення;Полтавська обл.;р-н Хорольський;"N 49°52'57""";"E 33°1'0"""
П-2848;Куквин;Kukvyn;заповідне урочище;місцевого значення;Полтавська обл.;р-н Пирятинський;"N 50°13'28""";"E 32°35'29"""
П-287;Устимівський;Ustymivskyi;дендрологічний парк;загальнодержавного значення;Полтавська обл.;р-н Глобинський;"N 49°18'34""";"E 33°13'23"""
П-2874;"Джерело мінеральної води на
території парку";"Dzherelo mineralnoi vody na
terytorii parku";гідрологічна пам'ятка природи;місцевого значення;Полтавська обл.;Миргородська міськрада;"N 49°58'1""";"E 33°36'56"""
П-2878;Кут;Kut;заповідне урочище;місцевого значення;Полтавська обл.;р-н Решетилівський;"N 49°29'20""";"E 33°49'30"""
П-2879;Куторжиха;Kutorzhykha;заповідне урочище;місцевого значення;Полтавська обл.;р-н Хорольський;"N 49°45'41""";"E 33°12'19"""
П-2882;Лагузин яр;Lahuzyn yar;заповідне урочище;місцевого значення;Полтавська обл.;р-н Гадяцький;"N 50°28'31""";"E 34°3'35"""
П-290;Солоне;Solone;заказник гідрологічний;загальнодержавного значення;Полтавська обл.;р-н Семенівський;"N 49°36'17""";"E 32°49'8"""
П-2917;Липова дача;Lypova dacha;заповідне урочище;місцевого значення;Полтавська обл.;р-н Чорнухинський;"N 50°14'33""";"E 32°51'13"""
П-2961;Манілове;Manilove;заповідне урочище;місцевого значення;Полтавська обл.;р-н Оржицький;"N 49°49'8""";"E 32°52'16"""
П-2964;Масюкове;Masiukove;заповідне урочище;місцевого значення;Полтавська обл.;р-н Гадяцький;"N 50°25'15""";"E 34°16'13"""
П-2982;Христанівський;Khrystanivskyi;заказник ландшафтний;загальнодержавного значення;Полтавська обл.;р-н Лохвицький;"N 50°19'8""";"E 33°23'6"""
П-2995;Гринцеве;Hryntseve;заповідне урочище;місцевого значення;Полтавська обл.;р-н Хорольський;"N 49°47'58""";"E 33°13'47"""
П-2996;Громадський плав;Hromadskyi plav;заповідне урочище;місцевого значення;Полтавська обл.;р-н Хорольський;"N 49°50'49""";"E 32°59'37"""
П-2997;Мелюшки;Meliushky;заповідне урочище;місцевого значення;Полтавська обл.;р-н Хорольський;"N 49°50'8""";"E 33°27'31"""
П-3006;Шкурине;Shkuryne;заповідне урочище;місцевого значення;Полтавська обл.;р-н Кобеляцький;"N 48°59'4""";"E 34°15'32"""
П-3007;Шпакове;Shpakove;заповідне урочище;місцевого значення;Полтавська обл.;р-н Гадяцький;"N 50°25'42""";"E 33°44'2"""
П-3012;Яворівщина;Yavorivshchyna;заповідне урочище;місцевого значення;Полтавська обл.;р-н Диканський;"N 49°47'41""";"E 34°12'20"""
П-3030;Діброво-Кобрієве;Dibrovo-Kobriieve;заповідне урочище;місцевого значення;Полтавська обл.;р-н Гадяцький;"N 50°29'26""";"E 33°56'2"""
П-3047;Яри-Загатки;Yary-Zahatky;заповідне урочище;місцевого значення;Полтавська обл.;р-н Гадяцький;"N 50°18'5""";"E 33°43'30"""
П-3048;Яри-Поруби;Yary-Poruby;заповідне урочище;місцевого значення;Полтавська обл.;р-н Пирятинський;"N 50°16'37""";"E 32°39'55"""
П-3112;Довжек;Dovzhek;заповідне урочище;місцевого значення;Полтавська обл.;р-н Хорольський;"N 49°50'1""";"E 33°17'23"""
П-3158;Перевалкове;Perevalkove;заповідне урочище;місцевого значення;Полтавська обл.;р-н Гадяцький;"N 50°15'15""";"E 33°44'53"""
