Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-1454;Дуб багатовіковий;Dub bahatovikovyi;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Ніжинський;"N 51°4'35""";"E 31°56'33"""
П-1455;Дуб березнянський-1;Dub bereznianskyi-1;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Менський;"N 51°29'35""";"E 31°48'22"""
П-1456;Дуб березнянський-2;Dub bereznianskyi-2;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Менський;"N 51°29'21""";"E 31°48'4"""
П-1459;Сосна хлоп'яницька;Sosna khlopianytska;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Сосницький;"N 51°44'29""";"E 32°42'7"""
П-1462;Сосни невклянські;Sosny nevklianski;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Городнянський;"N 51°50'20""";"E 31°19'17"""
П-1463;Сосни присторощинські;Sosny prystoroshchynski;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Ріпкинський;"N 51°49'4""";"E 30°55'34"""
П-1484;Урочище Загати;Urochyshche Zahaty;заказник ландшафтний;місцевого значення;Чернігівська обл.;р-н Коропський;"N 51°34'4""";"E 33°8'50"""
П-1495;Дуб корюківський;Dub koriukivskyi;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Корюківський;"N 51°53'41""";"E 32°13'2"""
П-1500;Старовинна ялинова алея;Starovynna yalynova aleia;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Коропський;"N 51°40'41""";"E 32°51'22"""
П-1503;Стольненські дуби;Stolnenski duby;ботанічна пам'ятка природи;місцевого значення;Чернігівська обл.;р-н Менський;"N 51°30'44""";"E 31°54'14"""
П-1515;Урочище Кути;Urochyshche Kuty;заказник ландшафтний;місцевого значення;Чернігівська обл.;р-н Ічнянський;"N 50°50'4""";"E 32°21'38"""
П-1516;Урочище Лутава;Urochyshche Lutava;заказник ландшафтний;місцевого значення;Чернігівська обл.;р-н Коропський;"N 51°33'6""";"E 32°47'24"""
П-1517;Урочище Обийма;Urochyshche Obyima;заказник ландшафтний;місцевого значення;Чернігівська обл.;р-н Коропський;"N 51°26'55""";"E 32°48'16"""
