Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-2270;Витоки річки Тясмина;Vytoky richky Tiasmyna;гідрологічна пам'ятка природи;місцевого значення;Кіровоградська обл.;р-н Олександрівський;"N 49°0'35""";"E 32°27'17"""
П-2308;Ганнівське;Hannivske;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Петрівський;"N 48°13'25""";"E 33°26'56"""
П-2363;Холодні ключі;Kholodni kliuchi;гідрологічна пам'ятка природи;місцевого значення;Кіровоградська обл.;р-н Кіровоградський;"N 48°23'10""";"E 32°18'23"""
П-2376;Інгульська жила;Inhulska zhyla;геологічна пам'ятка природи;місцевого значення;Кіровоградська обл.;р-н Компаніївський;"N 48°11'14""";"E 32°26'11"""
П-2538;Каскади;Kaskady;геологічна пам'ятка природи;місцевого значення;Кіровоградська обл.;р-н Маловисківський;"N 48°30'8""";"E 31°31'9"""
П-2546;Джерельце;Dzhereltse;гідрологічна пам'ятка природи;місцевого значення;Кіровоградська обл.;р-н Кіровоградський;"N 48°33'8""";"E 32°5'44"""
П-2551;Запорізькі джерела;Zaporizki dzherela;гідрологічна пам'ятка природи;місцевого значення;Кіровоградська обл.;р-н Добровеличківський;"N 48°25'37""";"E 31°12'0"""
П-2562;Кам'яна стінка;Kamiana stinka;комплексна пам'ятка природи;місцевого значення;Кіровоградська обл.;р-н Олександрійський;"N 48°37'16""";"E 33°14'36"""
П-2601;Острів Обеліск;Ostriv Obelisk;комплексна пам'ятка природи;місцевого значення;Кіровоградська обл.;р-н Світловодський;"N 49°8'35""";"E 32°56'8"""
П-2621;Монастирище;Monastyryshche;заказник ландшафтний;загальнодержавного значення;Кіровоградська обл.;р-н Устинівський;"N 47°49'6""";"E 32°25'51"""
П-2630;Шумок;Shumok;заказник ландшафтний;загальнодержавного значення;Кіровоградська обл.;р-н Бобринецький;"N 48°3'52""";"E 32°5'3"""
П-2645;Зелений гай;Zelenyi hai;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Долинський;"N 48°10'39""";"E 32°53'40"""
П-2654;Розлитий камінь;Rozlytyi kamin;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Компаніївський;"N 48°10'27""";"E 32°6'14"""
П-2665;Чорноташлицький;Chornotashlytskyi;заказник ландшафтний;загальнодержавного значення;Кіровоградська обл.;р-н Вільшанський;"N 48°10'40""";"E 30°47'56"""
П-2682;Кіліповське;Kilipovske;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Компаніївський;"N 48°9'35""";"E 32°4'21"""
П-2685;Кам'яна балка;Kamiana balka;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Компаніївський;"N 48°20'35""";"E 32°15'9"""
П-2691;Сальківське;Salkivske;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Гайворонський;"N 48°14'17""";"E 29°59'22"""
П-2693;Сарганівський ліс;Sarhanivskyi lis;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Кіровоградський;"N 48°35'38""";"E 32°20'21"""
П-2694;Селіванівське;Selivanivske;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Устинівський;"N 47°57'57""";"E 32°21'56"""
П-2698;Сиротін ліс;Syrotin lis;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Онуфріївський;"N 48°52'15""";"E 33°50'37"""
П-2735;Солдатське;Soldatske;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Онуфріївський;"N 48°55'1""";"E 33°35'57"""
П-2737;Солоноозерне;Solonoozerne;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Устинівський;"N 48°1'34""";"E 32°37'51"""
П-2813;Терник;Ternyk;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Новгородківський;"N 48°23'10""";"E 32°38'54"""
П-2846;Крутеньке;Krutenke;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Голованівський;"N 48°32'31""";"E 30°27'18"""
П-2856;Кучери;Kuchery;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Новоархангельський;"N 48°38'18""";"E 30°49'29"""
П-2886;Лещівка;Leshchivka;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Голованівський;"N 48°27'20""";"E 30°37'35"""
П-2892;Фомиха;Fomykha;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Новоархангельський;"N 48°38'25""";"E 30°49'46"""
П-2919;Лисячий кут;Lysiachyi kut;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Онуфріївський;"N 48°54'21""";"E 33°38'36"""
П-2920;Литкевич;Lytkevych;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Онуфріївський;"N 48°54'11""";"E 33°33'21"""
П-2965;Матвіїв яр;Matviiv yar;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Новомиргородський;"N 48°47'51""";"E 31°37'26"""
П-2967;Чобіток;Chobitok;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Бобринецький;"N 48°4'41""";"E 31°57'37"""
П-2973;Шавлієва балка;Shavliieva balka;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Олександрівський;"N 48°57'55""";"E 32°27'28"""
П-2974;Шеметів ліс;Shemetiv lis;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Онуфріївський;"N 48°50'49""";"E 33°48'47"""
П-2975;Шеметів ліс;Shemetiv lis;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Онуфріївський;"N 48°54'7""";"E 33°43'51"""
П-2987;Горіхівська балка;Horikhivska balka;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Новоукраїнський;"N 48°20'38""";"E 31°41'39"""
П-2998;Мертвоводдя;Mertvovoddia;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Бобринецький;"N 47°59'35""";"E 31°54'19"""
П-3010;Юр'ївська балка;Yurivska balka;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Бобринецький;"N 47°48'7""";"E 32°8'29"""
П-3038;Наталіївське;Nataliivske;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Долинський;"N 48°7'12""";"E 32°53'48"""
