Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-7012;Миколаївка;Mykolaivka;урочище;Автономна Республіка Крим;р-н Первомайський;"N 45° 27’ 53""";"E 33° 45’ 12"""
Ф-7049;Тюльпанівка;Tiulpanivka;урочище;Автономна Республіка Крим;р-н Сакський;"N 45° 20’ 13""";"E 33° 45’ 41"""
Ф-4441;Грибоєдове;Hryboiedove;урочище;Автономна Республіка Крим;р-н Первомайський;"N 45° 42’ 10""";"E 33° 45’ 59"""
Ф-4571;Кара-Тау;Kara-Tau;урочище;Автономна Республіка Крим;р-н Бахчисарайський;"N 44° 43’ 3""";"E 33° 46’ 0"""
Ф-7034;Василькове;Vasylkove;урочище;Автономна Республіка Крим;р-н Сакський;"N 45° 21’ 5""";"E 33° 46’ 25"""
Ф-5744;Пахарі;Pakhari;урочище;Автономна Республіка Крим;р-н Сакський;"N 45° 17’ 59""";"E 33° 46’ 32"""
Ф-5763;Гніздівка;Hnizdivka;урочище;Автономна Республіка Крим;р-н Сакський;"N 45° 12’ 29""";"E 33° 46’ 32"""
Ф-4449;Самокиші;Samokyshi;урочище;Автономна Республіка Крим;р-н Красноперекопський;"N 46° 7’ 5""";"E 33° 47’ 30"""
Ф-6994;Рилєєве;Rylieieve;урочище;Автономна Республіка Крим;р-н Первомайський;"N 45° 31’ 53""";"E 33° 48’ 21"""
Ф-7023;Селезнівка;Seleznivka;урочище;Автономна Республіка Крим;р-н Первомайський;"N 45° 26’ 37""";"E 33° 48’ 23"""
Ф-4443;Сафронівка;Safronivka;урочище;Автономна Республіка Крим;р-н Первомайський;"N 45° 40’ 10""";"E 33° 48’ 36"""
Ф-4451;Штурмова;Shturmova;урочище;Автономна Республіка Крим;р-н Красноперекопський;"N 46° 7’ 22""";"E 33° 49’ 4"""
Ф-7147;Моруни;Moruny;урочище;Автономна Республіка Крим;р-н Сакський;"N 45° 20’ 36""";"E 33° 5’ 12"""
Ф-7125;Солоне;Solone;урочище;Автономна Республіка Крим;р-н Чорноморський;"N 45° 24’ 29""";"E 33° 5’ 19"""
Ф-4425;Березівка;Berezivka;урочище;Автономна Республіка Крим;р-н Красноперекопський;"N 45° 51’ 37""";"E 33° 50’ 25"""
Ф-4427;Максимівка;Maksymivka;урочище;Автономна Республіка Крим;р-н Первомайський;"N 45° 45’ 22""";"E 33° 50’ 3"""
Ф-4442;Будьонове;Budonove;урочище;Автономна Республіка Крим;р-н Первомайський;"N 45° 41’ 0""";"E 33° 51’ 23"""
Ф-7000;Майське;Maiske;урочище;Автономна Республіка Крим;р-н Первомайський;"N 45° 32’ 37""";"E 33° 51’ 29"""
Ф-5749;Суходільне;Sukhodilne;урочище;Автономна Республіка Крим;р-н Сакський;"N 45° 15’ 32""";"E 33° 51’ 3"""
Ф-7005;Нагірне;Nahіrne;урочище;Автономна Республіка Крим;р-н Первомайський;"N 45° 28’ 34""";"E 33° 51’ 51"""
Ф-4417;Чигир;Chyhyr;урочище;Автономна Республіка Крим;р-н Красноперекопський;"N 45° 53’ 31""";"E 33° 52’ 20"""
Ф-6942;Холмиста;Kholmysta;урочище;Автономна Республіка Крим;р-н Первомайський;"N 45° 39’ 28""";"E 33° 53’ 21"""
Ф-4419;П'ятирічка;Piatyrichka;урочище;Автономна Республіка Крим;р-н Красноперекопський;"N 46° 0’ 10""";"E 33° 54’ 0"""
Ф-5759;Новомихайлівка;Novomykhailivka;урочище;Автономна Республіка Крим;р-н Сакський;"N 45° 13’ 22""";"E 33° 54’ 23"""
Ф-4570;Ачефут;Achefut;урочище;Автономна Республіка Крим;р-н Бахчисарайський;"N 44° 52’ 18""";"E 33° 54’ 49"""
Ф-7013;Ужне;Uzhne;урочище;Автономна Республіка Крим;р-н Первомайський;"N 45° 27’ 25""";"E 33° 55’ 12"""
Ф-7037;Єльня;Yelnia;урочище;Автономна Республіка Крим;р-н Красногвардійський;"N 45° 20’ 19""";"E 33° 55’ 45"""
Ф-5765;Колонка;Kolonka;урочище;Автономна Республіка Крим;р-н Сімферопольський;"N 45° 9’ 6""";"E 33° 56’ 18"""
Ф-4536;Ховалих;Khovalykh;урочище;Автономна Республіка Крим;р-н Бахчисарайський;"N 44° 30’ 59""";"E 33° 56’ 21"""
Ф-6988;Баранівка;Baranivka;урочище;Автономна Республіка Крим;р-н Первомайський;"N 45° 33’ 4""";"E 33° 56’ 22"""
Ф-4535;Бабулган;Babulhan;урочище;Автономна Республіка Крим;р-н Бахчисарайський;"N 44° 29’ 48""";"E 33° 56’ 33"""
Ф-7015;Южне;Yazhne;урочище;Автономна Республіка Крим;р-н Первомайський;"N 45° 26’ 37""";"E 33° 57’ 54"""
Ф-4567;Омелянівка;Omelianivka;урочище;Автономна Республіка Крим;р-н Бахчисарайський;"N 44° 52’ 17""";"E 33° 58’ 19"""
Ф-6976;Данилівка;Danylivka;урочище;Автономна Республіка Крим;р-н Первомайський;"N 45° 34’ 19""";"E 33° 59’ 12"""
Ф-6969;Ракушечне;Rakushechne;урочище;Автономна Республіка Крим;р-н Первомайський;"N 45° 37’ 28""";"E 33° 59’ 3"""
Ф-7014;Червоний Будівельник;Chervonyi Budivelnyk;урочище;Автономна Республіка Крим;р-н Красногвардійський;"N 45° 27’ 53""";"E 33° 59’ 7"""
Ф-4413;Найденове;Naidenove;урочище;Автономна Республіка Крим;р-н Чорноморський;"N 45° 0’ 30""";"E 33° 6’ 30"""
Ф-4412;Весела Долина;Vesela Dolyna;урочище;Автономна Республіка Крим;р-н Роздольненський;"N 45° 42’ 28""";"E 33° 7’ 10"""
Ф-5711;Зольне;Zolne;урочище;Автономна Республіка Крим;р-н Сакський;"N 45° 19’ 46""";"E 33° 7’ 20"""
Ф-7102;Тихе;Tykhe;урочище;Автономна Республіка Крим;р-н Чорноморський;"N 45° 35’ 47""";"E 33° 7’ 21"""
Ф-4416;Козаче;Kozache;урочище;Автономна Республіка Крим;р-н Роздольненський;"N 45° 40’ 0""";"E 33° 7’ 40"""
Ф-7123;Карельське;Karelske;урочище;Автономна Республіка Крим;р-н Сакський;"N 45° 25’ 9""";"E 33° 8’ 32"""
Ф-4452;Червона Рівнина;Chervona Rivnyna;урочище;Автономна Республіка Крим;р-н Первомайський;"N 45° 41’ 20""";"E 34° 0’ 30"""
Ф-4562;Мисливське;Myslyvske;урочище;Автономна Республіка Крим;р-н Бахчисарайський;"N 44° 39’ 41""";"E 34° 0’ 49"""
