Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-11836;Ямки;Yamky;урочище;Волинська обл.;р-н Любешівський;"N 51° 55’ 14""";"E 25° 8’ 0"""
Ф-11842;Слапотище;Slapotyshche;урочище;Волинська обл.;р-н Любешівський;"N 51° 55’ 18""";"E 25° 12’ 1"""
Ф-11845;Надольське;Nadolske;урочище;Волинська обл.;р-н Любешівський;"N 51° 55’ 59""";"E 25° 16’ 30"""
Ф-11848;Передні Острови;Peredni Ostrovy;урочище;Волинська обл.;р-н Любешівський;"N 51° 55’ 38""";"E 25° 18’ 40"""
Ф-11854;Більське;Bilske;урочище;Волинська обл.;р-н Любешівський;"N 51° 53’ 31""";"E 25° 0’ 51"""
Ф-11856;Церковне;Tserkovne;урочище;Волинська обл.;р-н Любешівський;"N 51° 53’ 30""";"E 25° 11’ 15"""
Ф-11858;Зеленець;Zelenets;урочище;Волинська обл.;р-н Любешівський;"N 51° 53’ 41""";"E 25° 13’ 14"""
Ф-11865;Репище;Repyshche;урочище;Волинська обл.;р-н Любешівський;"N 51° 54’ 8""";"E 25° 17’ 56"""
Ф-11877;Коротинь;Korotyn;урочище;Волинська обл.;р-н Любешівський;"N 51° 54’ 0""";"E 25° 26’ 9"""
Ф-11880;Ліси;Lisy;урочище;Волинська обл.;р-н Любешівський;"N 51° 55’ 43""";"E 25° 13’ 10"""
Ф-11884;Млинське;Mlynske;урочище;Волинська обл.;р-н Любешівський;"N 51° 53’ 9""";"E 25° 28’ 40"""
Ф-11885;Шершневе;Shershneve;урочище;Волинська обл.;р-н Любешівський;"N 51° 53’ 9""";"E 25° 25’ 13"""
Ф-11886;Острівки;Ostrivky;урочище;Волинська обл.;р-н Любешівський;"N 51° 52’ 41""";"E 25° 21’ 39"""
Ф-11887;Люботин;Liubotyn;урочище;Волинська обл.;р-н Любешівський;"N 51° 52’ 18""";"E 25° 16’ 22"""
Ф-11890;Клепче;Klepche;урочище;Волинська обл.;р-н Любешівський;"N 51° 52’ 58""";"E 25° 18’ 40"""
Ф-11894;Торопле;Torople;урочище;Волинська обл.;р-н Любешівський;"N 51° 52’ 17""";"E 25° 13’ 0"""
Ф-11907;Ліс Ямний;Lis Yamnyi;урочище;Волинська обл.;р-н Любешівський;"N 51° 51’ 30""";"E 25° 1’ 32"""
Ф-11909;Ржище;Rzhyshche;урочище;Волинська обл.;р-н Любешівський;"N 51° 50’ 57""";"E 25° 8’ 5"""
Ф-11912;Прокивниця;Prokyvnytsia;урочище;Волинська обл.;р-н Любешівський;"N 51° 51’ 21""";"E 25° 21’ 50"""
Ф-11914;Лядини;Liadyny;урочище;Волинська обл.;р-н Любешівський;"N 51° 51’ 21""";"E 25° 19’ 37"""
Ф-11925;Калинка;Kalynka;урочище;Волинська обл.;р-н Любешівський;"N 51° 50’ 55""";"E 25° 23’ 48"""
Ф-11928;Дубище;Dubyshche;урочище;Волинська обл.;р-н Любешівський;"N 51° 50’ 39""";"E 25° 16’ 16"""
Ф-11939;Ліс Погулянка;Lis Pohulianka;урочище;Волинська обл.;р-н Любешівський;"N 51° 50’ 24""";"E 25° 6’ 1"""
Ф-11947;Паструвка;Pastruvka;урочище;Волинська обл.;р-н Любешівський;"N 51° 50’ 37""";"E 25° 2’ 30"""
Ф-11948;Мікрове;Mikrove;урочище;Волинська обл.;р-н Любешівський;"N 51° 49’ 49""";"E 25° 2’ 9"""
Ф-11952;Мушеве;Musheve;урочище;Волинська обл.;р-н Любешівський;"N 51° 49’ 16""";"E 25° 13’ 21"""
Ф-11965;Добровки;Dobrovky;урочище;Волинська обл.;р-н Любешівський;"N 51° 49’ 31""";"E 25° 19’ 40"""
Ф-11977;Новина;Novyna;урочище;Волинська обл.;р-н Любешівський;"N 51° 48’ 57""";"E 25° 20’ 19"""
Ф-11993;Хочет;Khochet;урочище;Волинська обл.;р-н Любешівський;"N 51° 49’ 29""";"E 25° 29’ 19"""
Ф-12001;Плави;Plavy;урочище;Волинська обл.;р-н Любешівський;"N 51° 48’ 56""";"E 25° 23’ 50"""
Ф-12014;Вересиха;Veresykha;урочище;Волинська обл.;р-н Любешівський;"N 51° 48’ 1""";"E 25° 19’ 50"""
Ф-12025;Ріпище;Ripyshche;урочище;Волинська обл.;р-н Любешівський;"N 51° 47’ 52""";"E 25° 15’ 24"""
Ф-12032;Кончиліс;Konchylis;урочище;Волинська обл.;р-н Любешівський;"N 51° 48’ 32""";"E 25° 6’ 55"""
Ф-12033;Загір'я;Zahiria;урочище;Волинська обл.;р-н Любешівський;"N 51° 47’ 50""";"E 25° 2’ 13"""
Ф-12036;Ірка;Irka;урочище;Волинська обл.;р-н Камінь-Каширський;"N 51° 46’ 41""";"E 25° 4’ 20"""
Ф-12038;Ліс Дуб'я;Lis Dubia;урочище;Волинська обл.;р-н Любешівський;"N 51° 47’ 25""";"E 25° 5’ 53"""
Ф-12045;Довге;Dovhe;урочище;Волинська обл.;р-н Любешівський;"N 51° 46’ 46""";"E 25° 7’ 10"""
Ф-12046;Омильне;Omylne;урочище;Волинська обл.;р-н Любешівський;"N 51° 47’ 20""";"E 25° 8’ 12"""
Ф-12049;Ковалев;Kovalev;урочище;Волинська обл.;р-н Любешівський;"N 51° 46’ 37""";"E 25° 10’ 0"""
Ф-12055;Казнічбори;Kaznichbory;урочище;Волинська обл.;р-н Любешівський;"N 51° 46’ 43""";"E 25° 12’ 9"""
