Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-45560;Мокра;Mokra;річка, що пересихає;Кіровоградська обл.;р-н Новгородківський;"N 48° 19’ 52""";"E 32° 25’ 16"""
Ф-45561;Мялова;Mialova;річка, що пересихає;Кіровоградська обл.;р-н Компаніївський;"N 48° 19’ 22""";"E 32° 25’ 49"""
Ф-45562;Магрова;Mahrova;річка, що пересихає;Кіровоградська обл.;р-н Компаніївський;"N 48° 17’ 56""";"E 32° 27’ 8"""
Ф-45563;Мазурівка;Mazurivka;річка, що пересихає;Кіровоградська обл.;р-н Новгородківський;"N 48° 16’ 33""";"E 32° 28’ 9"""
Ф-45564;У Барановій;U Baranovii;джерело;Кіровоградська обл.;р-н Компаніївський;"N 48° 20’ 33""";"E 32° 24’ 29"""
Ф-45565;У Мокрій;U Mokrii;джерело;Кіровоградська обл.;р-н Новгородківський;"N 48° 21’ 12""";"E 32° 27’ 27"""
Ф-45566;Баранця;Barantsia;річка, що пересихає;Кіровоградська обл.;р-н Новгородківський;"N 48° 19’ 36""";"E 32° 25’ 43"""
Ф-45567;Зінькова;Zinkova;річка;Кіровоградська обл.;р-н Компаніївський;"N 48° 19’ 7""";"E 32° 26’ 33"""
Ф-45568;Лозоватка;Lozovatka;річка;Кіровоградська обл.;р-н Новгородківський;"N 48° 16’ 51""";"E 32° 27’ 27"""
Ф-45569;Ведмеже;Vedmezhe;озеро;Кіровоградська обл.;р-н Долинський;"N 48° 11’ 2""";"E 32° 52’ 50"""
Ф-45570;Криниці;Krynytsi;джерело;Кіровоградська обл.;р-н Долинський;"N 48° 12’ 34""";"E 32° 47’ 4"""
Ф-45571;Чабанова;Chabanova;річка, що пересихає;Кіровоградська обл.;р-н Долинський;"N 48° 13’ 36""";"E 32° 49’ 58"""
Ф-45572;Шанхайська;Shankhaiska;річка, що пересихає;Кіровоградська обл.;р-н Долинський;"N 48° 8’ 42""";"E 32° 49’ 3"""
Ф-45573;Весела;Vesela;річка;Кіровоградська обл.;р-н Долинський;"N 48° 13’ 20""";"E 32° 50’ 25"""
Ф-45574;Чабанка;Chabanka;річка;Кіровоградська обл.;р-н Устинівський;"N 48° 5’ 17""";"E 32° 34’ 59"""
Ф-45575;Червона Водяна;Chervona Vodiana;річка;Кіровоградська обл.;р-н Устинівський;"N 48° 7’ 56""";"E 32° 36’ 31"""
Ф-45576;Богова Ступня;Bohova Stupnia;джерело;Кіровоградська обл.;р-н Устинівський;"N 48° 2’ 18""";"E 32° 36’ 59"""
Ф-45577;Безводня;Bezvodnia;річка, що пересихає;Кіровоградська обл.;р-н Долинський;"N 48° 3’ 13""";"E 32° 41’ 16"""
Ф-45578;Глибока;Hlyboka;річка, що пересихає;Кіровоградська обл.;р-н Устинівський;"N 48° 2’ 52""";"E 32° 39’ 26"""
Ф-45579;Шляхова;Shliakhova;річка, що пересихає;Кіровоградська обл.;р-н Долинський;"N 48° 4’ 7""";"E 32° 40’ 28"""
Ф-45581;Кам'янська;Kamianska;річка, що пересихає;Кіровоградська обл.;р-н Олександрійський;"N 48° 40’ 3""";"E 33° 36’ 2"""
Ф-45582;Куряча Однога;Kuriacha Odnoha;річка;Кіровоградська обл.;р-н Олександрійський;"N 48° 33’ 40""";"E 33° 30’ 17"""
Ф-45583;Жовта;Zhovta;річка;Кіровоградська обл.;р-н Петрівський;"N 48° 12’ 13""";"E 33° 22’ 47"""
Ф-45584;Левицького;Levytskoho;річка, що пересихає;Кіровоградська обл.;р-н Олександрійський;"N 48° 38’ 26""";"E 33° 15’ 14"""
Ф-45586;Весела Зірка;Vesela Zirka;річка, що пересихає;Кіровоградська обл.;р-н Олександрійський;"N 48° 32’ 33""";"E 33° 16’ 46"""
Ф-45587;Родник;Rodnyk;джерело;Кіровоградська обл.;р-н Олександрійський;"N 48° 31’ 55""";"E 33° 14’ 51"""
Ф-45588;Зразкова;Zrazkova;річка, що пересихає;Кіровоградська обл.;р-н Олександрійський;"N 48° 31’ 9""";"E 33° 24’ 38"""
Ф-45589;Криниця;Krynytsia;джерело;Кіровоградська обл.;р-н Петрівський;"N 48° 30’ 27""";"E 33° 25’ 5"""
Ф-4559;Перше Травня;Pershe Travnia;урочище;Кіровоградська обл.;р-н Онуфріївський;"N 48° 47’ 26""";"E 33° 20’ 2"""
Ф-45590;Котова;Kotova;річка, що пересихає;Кіровоградська обл.;р-н Петрівський;"N 48° 27’ 48""";"E 33° 25’ 19"""
Ф-45591;Количева;Kolycheva;річка, що пересихає;Кіровоградська обл.;р-н Петрівський;"N 48° 27’ 53""";"E 33° 24’ 55"""
Ф-45592;Мириполь;Myrypol;річка, що пересихає;Кіровоградська обл.;р-н Петрівський;"N 48° 24’ 12""";"E 33° 25’ 4"""
Ф-45593;Дике Озерце;Dyke Ozertse;озеро;Кіровоградська обл.;р-н Кіровоградський;"N 48° 24’ 27""";"E 32° 5’ 49"""
Ф-45594;Безрадецької;Bezradetskoi;озеро;Кіровоградська обл.;р-н Новоукраїнський;"N 48° 24’ 6""";"E 31° 57’ 43"""
Ф-45595;Гола;Hola;річка;Кіровоградська обл.;р-н Новоукраїнський;"N 48° 23’ 59""";"E 31° 57’ 37"""
Ф-45596;Водяна;Vodiana;річка, що пересихає;Кіровоградська обл.;р-н Кіровоградський;"N 48° 23’ 50""";"E 31° 59’ 4"""
Ф-45597;Костянтинівські Джерела;Kostiantynivski Dzherela;джерело;Кіровоградська обл.;р-н Новоукраїнський;"N 48° 23’ 31""";"E 31° 57’ 30"""
Ф-45598;Південні Джерела;Pivdenni Dzherela;джерело;Кіровоградська обл.;р-н Новоукраїнський;"N 48° 22’ 29""";"E 31° 58’ 24"""
Ф-45599;Чичорські Джерела;Chychorski Dzherela;джерело;Кіровоградська обл.;р-н Новоукраїнський;"N 48° 23’ 19""";"E 31° 58’ 38"""
Ф-45600;Любчик;Liubchyk;річка;Кіровоградська обл.;р-н Новоукраїнський;"N 48° 20’ 58""";"E 31° 51’ 59"""
Ф-45601;Нерубаївка;Nerubaivka;річка;Кіровоградська обл.;р-н Новоукраїнський;"N 48° 20’ 47""";"E 31° 49’ 48"""
Ф-45602;Ровенська;Rovenska;річка;Кіровоградська обл.;р-н Новоукраїнський;"N 48° 17’ 29""";"E 31° 50’ 23"""
Ф-45603;Гарманівка;Harmanivka;річка;Кіровоградська обл.;р-н Компаніївський;"N 48° 18’ 28""";"E 31° 59’ 51"""
Ф-45604;Тернова Балка;Ternova Balka;річка;Кіровоградська обл.;р-н Компаніївський;"N 48° 18’ 52""";"E 32° 16’ 7"""
Ф-45605;Кременувата;Kremenuvata;річка, що пересихає;Кіровоградська обл.;р-н Компаніївський;"N 48° 18’ 28""";"E 32° 17’ 58"""
Ф-45606;Ключове;Kliuchove;джерело;Кіровоградська обл.;р-н Компаніївський;"N 48° 16’ 33""";"E 32° 20’ 10"""
Ф-45607;Вошива;Voshyva;річка;Кіровоградська обл.;р-н Компаніївський;"N 48° 18’ 20""";"E 32° 26’ 29"""
Ф-45608;Горницька;Hornytska;річка;Кіровоградська обл.;р-н Новгородківський;"N 48° 18’ 35""";"E 32° 31’ 14"""
Ф-45609;Волова;Volova;річка, що пересихає;Кіровоградська обл.;р-н Новгородківський;"N 48° 18’ 7""";"E 32° 31’ 23"""
Ф-45610;Попова;Popova;річка, що пересихає;Кіровоградська обл.;р-н Новгородківський;"N 48° 16’ 59""";"E 32° 31’ 11"""
Ф-45611;Кам'янка;Kamianka;річка;Кіровоградська обл.;р-н Новгородківський;"N 48° 16’ 0""";"E 32° 30’ 59"""
Ф-45612;Креничевата;Krenychevata;річка;Кіровоградська обл.;р-н Новгородківський;"N 48° 15’ 59""";"E 32° 31’ 27"""
Ф-45613;Воронькова;Voronkova;річка;Кіровоградська обл.;р-н Новгородківський;"N 48° 14’ 56""";"E 32° 30’ 56"""
Ф-45614;Грузька;Hruzka;річка;Кіровоградська обл.;р-н Долинський;"N 48° 11’ 27""";"E 32° 31’ 9"""
Ф-45615;Шуляча;Shuliacha;річка, що пересихає;Кіровоградська обл.;р-н Устинівський;"N 48° 11’ 13""";"E 32° 30’ 42"""
Ф-45616;Криничувата;Krynychuvata;річка, що пересихає;Кіровоградська обл.;р-н Устинівський;"N 48° 2’ 5""";"E 32° 37’ 0"""
Ф-45617;П'ятихатське;Piatykhatske;озеро;Кіровоградська обл.;р-н Устинівський;"N 48° 2’ 1""";"E 32° 36’ 51"""
Ф-45618;Новокиївська;Novokyivska;річка, що пересихає;Кіровоградська обл.;р-н Устинівський;"N 48° 2’ 13""";"E 32° 36’ 44"""
Ф-45619;Єврейська;Yevreiska;річка, що пересихає;Кіровоградська обл.;р-н Устинівський;"N 48° 0’ 26""";"E 32° 35’ 38"""
Ф-45620;Радутна;Radutna;річка;Кіровоградська обл.;р-н Устинівський;"N 47° 59’ 29""";"E 32° 33’ 36"""
Ф-45621;Новонетрівка;Novonetrivka;річка;Кіровоградська обл.;р-н Устинівський;"N 47° 58’ 33""";"E 32° 33’ 27"""
Ф-45622;Писанське Джерельце;Pysanske Dzhereltse;джерело;Кіровоградська обл.;р-н Долинський;"N 48° 7’ 36""";"E 32° 46’ 30"""
Ф-45623;Тернова Балка;Ternova Balka;джерело;Кіровоградська обл.;р-н Долинський;"N 48° 8’ 11""";"E 32° 46’ 43"""
Ф-45625;Лозуватка;Lozuvatka;річка;Кіровоградська обл.;р-н Долинський;"N 48° 8’ 15""";"E 32° 54’ 19"""
