Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-31286;Свинарський;Svynarskyi;хребет;Закарпатська обл.;р-н Тячівський;"N 48° 16’ 20""";"E 23° 58’ 34"""
Ф-1514;Озерел;Ozerel;потік;Закарпатська обл.;;"N 48° 16’ 20""";"E 23° 57’ 30"""
Ф-14334;Сардик;Sardyk;річка;Закарпатська обл.;;"N 48° 16’ 20""";"E 23° 6’ 0"""
Ф-1504;Лопушанка;Lopushanka;потік;Закарпатська обл.;;"N 48° 16’ 20""";"E 24° 22’ 25"""
Ф-1503;Зимір;Zymir;потік;Закарпатська обл.;;"N 48° 16’ 20""";"E 24° 25’ 40"""
Ф-4301;Темпа;Tempa;гора;Закарпатська обл.;р-н Тячівський;"N 48° 16’ 21""";"E 24° 2’ 39"""
Ф-35389;Пабла;Pabla;урочище;Закарпатська обл.;р-н Берегівський, р-н Іршавський;"N 48° 16’ 22""";"E 22° 51’ 59"""
Ф-38330;Цицора;Tsytsora;гора;Закарпатська обл.;р-н Рахівський;"N 48° 16’ 22""";"E 24° 18’ 26"""
Ф-1584;Шардик;Shardyk;потік;Закарпатська обл.;;"N 48° 16’ 22""";"E 23° 6’ 10"""
Ф-37524;Геришаска;Heryshaska;гора;Закарпатська обл.;р-н Рахівський;"N 48° 16’ 25""";"E 24° 9’ 42"""
Ф-28254;Плайек;Plaiek;гора;Закарпатська обл.;р-н Тячівський;"N 48° 16’ 3""";"E 23° 45’ 41"""
Ф-15178;Плайек;Plaiek;гора;Закарпатська обл.;Тячівський р-н;"N 48° 16’ 3""";"E 23° 45’ 41"""
Ф-37522;Ворожеська;Vorozheska;гора;Закарпатська обл.;р-н Рахівський;"N 48° 16’ 30""";"E 24° 11’ 13"""
Ф-1607;Монастир;Monastyr;потік;Закарпатська обл.;;"N 48° 16’ 30""";"E 23° 34’ 45"""
Ф-1501;Лазівщана;Lazivshchana;річка;Закарпатська обл.;;"N 48° 16’ 30""";"E 24° 21’ 35"""
Ф-35080;Щоденець;Shchodenets;урочище;Закарпатська обл.;р-н Тячівський;"N 48° 16’ 33""";"E 23° 56’ 24"""
Ф-8577;Пергечер;Perhecher;горб;Закарпатська обл.;р-н Берегівський;"N 48° 16’ 35""";"E 22° 47’ 35"""
Ф-1581;Берберка;Berberka;річка;Закарпатська обл.;;"N 48° 16’ 35""";"E 23° 4’ 50"""
Ф-20210;Камнівські Грунки;Kamnivski Hrunky;урочище;Закарпатська обл.;р-н Іршавський;"N 48° 16’ 4""";"E 22° 53’ 54"""
Ф-7916;Діл Гробост;Dil Hrobost;гора;Закарпатська обл.;р-н Тячівський;"N 48° 16’ 40""";"E 23° 48’ 55"""
Ф-38337;Куртяска Мала;Kurtiaska Mala;гора;Закарпатська обл.;р-н Тячівський;"N 48° 16’ 41""";"E 24° 4’ 35"""
Ф-7925;Угорська;Uhorska;гора;Закарпатська обл.;р-н Тячівський;"N 48° 16’ 44""";"E 23° 54’ 53"""
Ф-4244;Кошелево;Koshelevo;гора;Закарпатська обл.;р-н Хустський;"N 48° 16’ 45""";"E 23° 17’ 20"""
Ф-1386;Чеховець;Chekhovets;річка;Закарпатська обл.;;"N 48° 16’ 45""";"E 23° 25’ 50"""
Ф-36857;Вороненко;Voronenko;гора;Закарпатська обл.;р-н Рахівський;"N 48° 16’ 47""";"E 24° 29’ 17"""
Ф-30061;Солотвина;Solotvyna;гора;Закарпатська обл.;р-н Хустський;"N 48° 16’ 47""";"E 23° 23’ 41"""
