Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-13149;Василева;Vasyleva;долина;Хмельницька обл.;р-н Деражнянський;"N 49° 9’ 19""";"E 27° 35’ 0"""
Ф-13158;Західна;Zakhidna;гора;Хмельницька обл.;р-н Деражнянський;"N 49° 14’ 31""";"E 27° 33’ 32"""
Ф-14987;Тавтра;Tavtra;гора;Хмельницька обл.;Чемеровецький р-н;"N 49° 6’ 49""";"E 26° 15’ 33"""
Ф-15986;Бабин яр;Babyn yar;урочище;Хмельницька обл.;р-н Славутський;"N 50° 22’ 55""";"E 26° 54’ 45"""
Ф-16072;Атлантида;Atlantyda;печера;Хмельницька обл.;р-н Кам'янець-Подільський;"N 48° 35’ 52""";"E 26° 20’ 42"""
Ф-16089;Бальки;Balky;урочище;Хмельницька обл.;р-н Ізяславський;"N 50° 2’ 1""";"E 26° 39’ 22"""
Ф-16334;Березина;Berezyna;урочище;Хмельницька обл.;р-н Красилівський;"N 49° 42’ 7""";"E 26° 49’ 2"""
Ф-16511;Беркути;Berkuty;урочище;Хмельницька обл.;р-н Полонський;"N 50° 11’ 33""";"E 27° 29’ 27"""
Ф-16529;Березина;Berezyna;урочище;Хмельницька обл.;р-н Старокостянтинівський;"N 49° 40’ 14""";"E 27° 23’ 1"""
Ф-16530;Березина;Berezyna;урочище;Хмельницька обл.;р-н Старокостянтинівський;"N 49° 47’ 34""";"E 27° 31’ 3"""
Ф-1678;Смотрич;Smotrych;річка;Хмельницька обл.;;"N 48° 33’ 52""";"E 26° 38’ 28"""
Ф-1688;Нирка;Nyrka;річка;Хмельницька обл.;;"N 50° 28’ 40""";"E 27° 1’ 30"""
Ф-1692;Жариха;Zharykha;річка;Хмельницька обл.;;"N 50° 31’ 35""";"E 27° 3’ 35"""
Ф-16995;Бредурине;Breduryne;урочище;Хмельницька обл.;р-н Славутський;"N 50° 17’ 37""";"E 26° 46’ 52"""
Ф-1700;Понора;Ponora;річка;Хмельницька обл.;;"N 50° 7’ 2""";"E 26° 49’ 28"""
Ф-1703;Утка;Utka;річка;Хмельницька обл.;;"N 50° 18’ 1""";"E 26° 51’ 2"""
Ф-1707;Теребежі;Terebezhi;озеро;Хмельницька обл.;р-н Славутський;"N 50° 14’ 5""";"E 26° 48’ 58"""
Ф-1711;Гнилий Рів;Hnylyi Riv;річка;Хмельницька обл.;;"N 50° 19’ 50""";"E 26° 32’ 20"""
Ф-1717;Лизнівка;Lyznivka;річка;Хмельницька обл., Житомирська обл.;;"N 50° 19’ 58""";"E 27° 21’ 53"""
Ф-1718;Цвітоха;Tsvitorha;річка;Хмельницька обл.;;"N 50° 15’ 20""";"E 26° 53’ 40"""
Ф-1730;Кам'янка;Kamianka;річка;Хмельницька обл., Житомирська обл.;;"N 50° 10’ 3""";"E 27° 40’ 8"""
Ф-17359;Гретен;Hreten;урочище;Хмельницька обл.;р-н Славутський;"N 50° 16’ 32""";"E 26° 44’ 21"""
Ф-1736;Дружня;Druzhnia;річка;Хмельницька обл.;;"N 50° 9’ 16""";"E 27° 31’ 20"""
Ф-1742;Поганка;Pohanka;річка;Хмельницька обл.;;"N 50° 1’ 18""";"E 27° 21’ 30"""
Ф-1746;Полтва;Poltva;річка;Хмельницька обл.;;"N 49° 59’ 25""";"E 26° 24’ 38"""
Ф-1748;Семенівка;Semenivka;річка;Хмельницька обл.;;"N 49° 58’ 5""";"E 26° 23’ 30"""
Ф-1751;Нірка;Nirka;річка;Хмельницька обл.;;"N 49° 50’ 26""";"E 26° 25’ 50"""
Ф-1758;Фоса;Fosa;річка;Хмельницька обл.;;"N 49° 47’ 35""";"E 26° 55’ 15"""
Ф-1759;Понора;Ponora;річка;Хмельницька обл.;;"N 49° 46’ 50""";"E 27° 3’ 21"""
Ф-1762;Білка;Bilka;річка;Хмельницька обл.;;"N 49° 58’ 38""";"E 27° 13’ 25"""
Ф-1764;Вила;Vyla;річка;Хмельницька обл.;;"N 49° 57’ 38""";"E 27° 2’ 11"""
Ф-1765;Білка;Bilka;річка;Хмельницька обл.;;"N 49° 48’ 10""";"E 27° 33’ 59"""
Ф-1766;Білуга;Biluha;річка;Хмельницька обл.;;"N 49° 50’ 10""";"E 27° 26’ 40"""
Ф-1771;Грабарка;Hrabarka;річка;Хмельницька обл., Тернопільська обл.;;"N 49° 33’ 8""";"E 26° 13’ 5"""
Ф-1780;Грабарка;Hrabarka;річка;Хмельницька обл.;;"N 49° 46’ 20""";"E 27° 36’ 30"""
Ф-1787;Сорока;Soroka;річка;Хмельницька обл.;;"N 49° 12’ 57""";"E 26° 32’ 33"""
Ф-1789;Тростянець;Trostianets;річка;Хмельницька обл.;;"N 49° 9’ 42""";"E 26° 34’ 38"""
Ф-1793;Вовчок;Vovchok;річка;Хмельницька обл.;;"N 49° 16’ 45""";"E 27° 23’ 30"""
Ф-1794;Вовк;Vovk;річка;Хмельницька обл.;;"N 49° 22’ 45""";"E 27° 36’ 2"""
Ф-1796;Кудинка;Kudynka;річка;Хмельницька обл.;;"N 49° 28’ 42""";"E 27° 43’ 1"""
Ф-17996;Глибочок;Hlybochok;урочище;Хмельницька обл.;р-н Полонський;"N 50° 13’ 16""";"E 27° 28’ 46"""
Ф-18015;Вербецька дача;Verbetska dacha;урочище;Хмельницька обл.;р-н Летичівський;"N 49° 23’ 59""";"E 27° 42’ 17"""
Ф-1802;Іква;Ikva;річка;Хмельницька обл.;;"N 49° 31’ 34""";"E 27° 45’ 58"""
Ф-1807;Муха;Mukha;річка;Хмельницька обл.;;"N 49° 5’ 49""";"E 26° 12’ 24"""
Ф-1810;Чорновідка;Chornovidka;річка;Хмельницька обл.;;"N 49° 4’ 50""";"E 26° 35’ 59"""
Ф-18151;Грушевичі;Hrushevychi;урочище;Хмельницька обл.;р-н Полонський;"N 49° 57’ 58""";"E 27° 23’ 57"""
Ф-18238;Варенка;Varenka;урочище;Хмельницька обл.;р-н Летичівський;"N 49° 16’ 0""";"E 27° 42’ 11"""
Ф-18299;Джурелок;Dzhurelok;урочище;Хмельницька обл.;р-н Городоцький;"N 49° 6’ 9""";"E 26° 27’ 52"""
Ф-1837;Яромирка;Yaromyrka;річка;Хмельницька обл.;31.12.1982;"N 48° 56’ 34""";"E 26° 33’ 30"""
Ф-1840;Бужок;Buzhok;річка;Хмельницька обл.;;"N 49° 26’ 10""";"E 27° 25’ 35"""
Ф-1845;Плоска;Ploska;річка;Хмельницька обл.;;"N 49° 25’ 53""";"E 26° 58’ 18"""
Ф-1852;Калюс;Kalius;річка;Хмельницька обл.;;"N 48° 37’ 1""";"E 27° 20’ 35"""
