Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-32492	Чотири Могили	Chotyry Mohyly	урочище	Миколаївська обл.	р-н Очаківський	"N 46° 42’ 31"""	"E 31° 51’ 34"""
Ф-32538	Чубарівка	Chubarivka	балка	Миколаївська обл.	р-н Доманівський	"N 47° 43’ 20"""	"E 31° 7’ 28"""
Ф-32576	Хорькова	Khorkova	балка	Миколаївська обл.	р-н Снігурівський	"N 47° 11’ 53"""	"E 32° 40’ 23"""
Ф-32680	Чернишівка	Chernyshivka	урочище	Миколаївська обл.	р-н Новобузький	"N 47° 45’ 0"""	"E 32° 41’ 43"""
Ф-32710	Петрівка	Petrivka	урочище	Миколаївська обл.	р-н Казанківський	"N 47° 38’ 37"""	"E 32° 58’ 6"""
Ф-32712	Новосеменівка	Novosemenivka	урочище	Миколаївська обл.	р-н Доманівський	"N 47° 29’ 37"""	"E 30° 57’ 16"""
Ф-32870	Широкий Лан	Shyrokyi Lan	урочище	Миколаївська обл.	р-н Арбузинський	"N 47° 51’ 2"""	"E 31° 18’ 39"""
Ф-32895	Фенна	Fenna	балка	Миколаївська обл.	р-н Новоодеський	"N 47° 21’ 29"""	"E 31° 40’ 40"""
Ф-32901	Хрестова	Khrestova	курган	Миколаївська обл.	р-н Очаківський	"N 46° 47’ 21"""	"E 31° 40’ 17"""
Ф-32990	Шартова	Shartova	балка	Миколаївська обл.	р-н Баштанський	"N 47° 14’ 7"""	"E 32° 15’ 56"""
Ф-33059	Шварцева	Shvartseva	балка	Миколаївська обл.	р-н Доманівський	"N 47° 45’ 11"""	"E 31° 7’ 42"""
Ф-33078	Четверта	Chetverta	балка	Миколаївська обл.	р-н Первомайський	"N 48° 8’ 32"""	"E 30° 56’ 47"""
Ф-33091	Вершина	Vershyna	урочище	Миколаївська обл.	р-н Миколаївський	"N 47° 3’ 31"""	"E 31° 41’ 2"""
Ф-33092	Веселий Кут	Veselyi Kut	урочище	Миколаївська обл.	р-н Миколаївський	"N 47° 1’ 20"""	"E 31° 31’ 22"""
Ф-33141	Яшкина	Yashkyna	балка	Миколаївська обл.	р-н Первомайський	"N 48° 2’ 55"""	"E 31° 3’ 32"""
Ф-33147	Ахтенова	Akhtenova	балка	Миколаївська обл.	р-н Арбузинський	"N 47° 49’ 35"""	"E 31° 18’ 52"""
