Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-5100;Попів Луг;Popiv Luh;урочище;Черкаська обл.;р-н Лисянський;"N 49° 11’ 53""";"E 30° 31’ 19"""
Ф-25756;Литвинова;Lytvynova;балка;Черкаська обл.;р-н Лисянський;"N 49° 11’ 55""";"E 30° 41’ 49"""
Ф-32404;Шкурківське;Shkurkivske;урочище;Черкаська обл.;р-н Кам'янський;"N 49° 12’ 0""";"E 32° 12’ 30"""
Ф-30686;Ставочки;Stavochky;балка;Черкаська обл.;р-н Городищенський;"N 49° 12’ 10""";"E 31° 18’ 59"""
Ф-32866;Широкий Берег;Shyrokyi Bereh;урочище;Черкаська обл.;р-н Городищенський;"N 49° 12’ 10""";"E 31° 22’ 52"""
Ф-15817;Адамчик;Adamchyk;урочище;Черкаська обл.;р-н Жашківський;"N 49° 12’ 13""";"E 30° 4’ 13"""
Ф-920;Пожиточна;Pozhytochna;річка;Черкаська обл.;;"N 49° 12’ 2""";"E 30° 24’ 43"""
Ф-29861;Харькове;Kharkove;урочище;Черкаська обл.;р-н Городищенський;"N 49° 12’ 20""";"E 31° 23’ 40"""
Ф-39960;Литвинівський;Lytvynivskyi;ліс;Черкаська обл.;р-н Жашківський;"N 49° 12’ 20""";"E 30° 4’ 41"""
Ф-13776;Боса;Bosa;балка;Черкаська обл.;р-н Лисянський;"N 49° 12’ 25""";"E 30° 39’ 45"""
Ф-5103;Демурине;Demuryne;урочище;Черкаська обл.;р-н Лисянський;"N 49° 12’ 26""";"E 30° 46’ 45"""
Ф-19784;Дідиков;Didykov;урочище;Черкаська обл.;р-н Лисянський;"N 49° 12’ 3""";"E 30° 44’ 18"""
Ф-31230;Ставидло;Stavydlo;урочище;Черкаська обл.;р-н Лисянський;"N 49° 12’ 34""";"E 30° 40’ 43"""
Ф-18999;Вовча;Vovcha;балка;Черкаська обл.;р-н Лисянський;"N 49° 12’ 4""";"E 30° 39’ 19"""
Ф-5317;Бутовий Яр;Butovyi Yar;урочище;Черкаська обл.;р-н Смілянський;"N 49° 12’ 40""";"E 31° 40’ 55"""
Ф-5083;Багва-Млин;Bahva-Mlyn;урочище;Черкаська обл.;р-н Жашківський;"N 49° 12’ 57""";"E 30° 14’ 15"""
Ф-29155;Орлова Балка;Orlova Balka;урочище;Черкаська обл.;р-н Чигиринський;"N 49° 13’ 1""";"E 32° 27’ 35"""
Ф-5462;Куклювата Балка;Kukliuvata Balka;урочище;Черкаська обл.;р-н Чигиринський;"N 49° 13’ 11""";"E 32° 29’ 1"""
Ф-17969;Горбове;Horbove;балка;Черкаська обл.;р-н Городищенський;"N 49° 13’ 27""";"E 31° 20’ 6"""
Ф-2643;Мідянка;Midianka;річка;Черкаська обл.;;"N 49° 13’ 29""";"E 31° 44’ 40"""
Ф-20322;Жевневий Яр;Zhevnevyi Yar;урочище;Черкаська обл.;р-н Городищенський;"N 49° 13’ 31""";"E 31° 24’ 49"""
Ф-28549;Панське;Panske;урочище;Черкаська обл.;р-н Лисянський;"N 49° 13’ 34""";"E 30° 47’ 0"""
Ф-19927;Єртова;Yertova;балка;Черкаська обл.;р-н Звенигородський;"N 49° 13’ 49""";"E 31° 2’ 25"""
Ф-5800;Братершина;Bratershyna;урочище;Черкаська обл.;р-н Жашківський;"N 49° 13’ 6""";"E 29° 58’ 41"""
Ф-13766;Курбетова;Kurbetova;гора;Черкаська обл.;р-н Смілянський;"N 49° 13’ 8""";"E 31° 41’ 5"""
Ф-944;Серебрянка;Serebrianka;річка;Черкаська обл.;;"N 49° 13’ 8""";"E 31° 53’ 40"""
Ф-16022;Антоніне;Antonine;урочище;Черкаська обл.;р-н Лисянський;"N 49° 13’ 9""";"E 30° 49’ 21"""
