Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-463;Удай;Udai;річка;Чернігівська обл., Полтавська обл.;;"N 50° 4’ 15""";"E 33° 7’ 43"""
Ф-4706;Медведка;Medvedka;озеро;Чернігівська обл.;;"N 51° 39’ 11""";"E 30° 33’ 50"""
Ф-4709;Круговать;Kruhovat;озеро;Чернігівська обл.;;"N 51° 37’ 54""";"E 30° 31’ 49"""
Ф-4714;Тростенець;Trostianets;озеро;Чернігівська обл.;;"N 51° 36’ 53""";"E 30° 34’ 2"""
Ф-4719;Старик;Staryk;озеро;Чернігівська обл.;;"N 51° 33’ 49""";"E 30° 33’ 19"""
Ф-4722;Білі;Bili;озера;Чернігівська обл.;;"N 51° 35’ 12""";"E 30° 33’ 29"""
Ф-4724;Горішок;Horishok;озеро;Чернігівська обл.;;"N 51° 33’ 52""";"E 30° 34’ 7"""
Ф-4729;Вербка;Verbka;протока;Чернігівська обл.;;"N 51° 30’ 16""";"E 30° 35’ 13"""
Ф-4738;Орлє;Orlie;озеро;Чернігівська обл.;;"N 51° 29’ 58""";"E 30° 36’ 12"""
Ф-4747;Бирюха;Byriukha;протока;Чернігівська обл.;;"N 51° 27’ 26""";"E 30° 38’ 13"""
Ф-4751;Яблунева;Yabluneva;протока;Чернігівська обл.;;"N 51° 25’ 51""";"E 30° 36’ 38"""
Ф-4756;Дубів;Dubiv;протока;Чернігівська обл.;;"N 51° 25’ 40""";"E 30° 37’ 24"""
Ф-4760;Косуля;Kosulia;стариця (старе русло);Чернігівська обл.;;"N 51° 26’ 10""";"E 30° 36’ 54"""
Ф-4769;Татарка;Tatarka;озеро;Чернігівська обл.;;"N 51° 25’ 33""";"E 30° 38’ 0"""
Ф-4774;Старик;Staryk;озеро;Чернігівська обл.;;"N 51° 33’ 28""";"E 30° 32’ 34"""
Ф-4785;Топило;Topylo;озеро;Чернігівська обл.;;"N 51° 20’ 38""";"E 30° 54’ 57"""
Ф-4792;Білий Круг;Bilyi Kruh;озеро;Чернігівська обл.;;"N 51° 26’ 32""";"E 30° 58’ 0"""
Ф-4795;Бойків Круг;Boikiv Kruh;озеро;Чернігівська обл.;;"N 51° 24’ 29""";"E 30° 58’ 52"""
Ф-4809;Макаренкове;Makarenkove;озеро;Чернігівська обл.;;"N 50° 57’ 14""";"E 32° 54’ 43"""
Ф-4821;Юрків;Yurkiv;став;Чернігівська обл.;;"N 50° 36’ 52""";"E 32° 49’ 19"""
