Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-12560;Червоний Степ;Chervonyi Step;урочище;Сумська обл.;р-н Сумський;"N 51° 4’ 55""";"E 35° 2’ 41"""
Ф-12562;Глазкове;Hlazkove;урочище;Сумська обл.;р-н Сумський;"N 51° 5’ 0""";"E 35° 8’ 30"""
Ф-12563;Прогін;Prohin;урочище;Сумська обл.;р-н Сумський;"N 51° 4’ 10""";"E 35° 4’ 10"""
Ф-12566;Довжик;Dobzhyk;урочище;Сумська обл.;р-н Краснопільський;"N 51° 0’ 4""";"E 35° 17’ 50"""
Ф-12568;Заячий Яр;Zaiachyi Yar;урочище;Сумська обл.;р-н Конотопський ,р-н Роменський;"N 50° 59’ 38""";"E 33° 28’ 30"""
Ф-12592;Степове;Stepove;урочище;Сумська обл.;р-н Роменський ,р-н Конотопський;"N 50° 58’ 50""";"E 33° 27’ 20"""
Ф-12593;Коробчине;Korobchyne;урочище;Сумська обл.;р-н Роменський;"N 50° 57’ 15""";"E 33° 16’ 0"""
Ф-12594;Діброва;Dibrova;урочище;Сумська обл.;р-н Роменський;"N 50° 56’ 5""";"E 33° 21’ 30"""
Ф-12595;Овчаренкове;Ovcharenkove;урочище;Сумська обл.;р-н Роменський;"N 50° 53’ 30""";"E 33° 22’ 40"""
Ф-12597;Маліїв;Maliiv;урочище;Сумська обл.;р-н Буринський;"N 50° 59’ 2""";"E 33° 39’ 20"""
Ф-12598;Кубрани;Kubrany;урочище;Сумська обл.;"р-н Недригайлівський , р-н
Буринський";"N 50° 58’ 10""";"E 33° 40’ 30"""
Ф-12599;Зелена Діброва;Zelena Dibrova;урочище;Сумська обл.;р-н Недригайлівський;"N 50° 57’ 40""";"E 33° 43’ 40"""
Ф-12600;Острівне;Ostrivne;урочище;Сумська обл.;р-н Недригайлівський;"N 50° 57’ 20""";"E 33° 43’ 10"""
Ф-12603;Рівне;Rivne;урочище;Сумська обл.;р-н Недригайлівський;"N 50° 57’ 28""";"E 33° 57’ 20"""
Ф-12604;Дубок;Dubok;урочище;Сумська обл.;р-н Недригайлівський;"N 50° 55’ 55""";"E 33° 53’ 30"""
Ф-12607;Шамрай;Shamrai;урочище;Сумська обл.;р-н Недригайлівський;"N 50° 53’ 30""";"E 33° 52’ 20"""
Ф-12609;Коренське;Korenske;урочище;Сумська обл.;р-н Недригайлівський;"N 50° 52’ 50""";"E 33° 58’ 30"""
Ф-12610;Білоусівщина;Bilousivshchyna;урочище;Сумська обл.;р-н Недригайлівський;"N 50° 50’ 20""";"E 33° 43’ 50"""
Ф-12611;Дубина;Dubyna;урочище;Сумська обл.;р-н Недригайлівський;"N 50° 50’ 10""";"E 33° 57’ 11"""
Ф-12612;Дубрівка;Dubrivka;урочище;Сумська обл.;р-н Недригайлівський;"N 50° 48’ 25""";"E 33° 56’ 31"""
