Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-11381;Завилівка;Zavylivka;урочище;Харківська обл.;р-н Зміївський;"N 49° 39’ 30""";"E 36° 12’ 10"""
Ф-11382;Заповідне;Zapovidne;урочище;Харківська обл.;р-н Зміївський;"N 49° 37’ 51""";"E 36° 12’ 40"""
Ф-11387;Сухий Лиман;Sukhyi Lyman;урочище;Харківська обл.;р-н Зміївський;"N 49° 36’ 50""";"E 36° 26’ 0"""
Ф-11390;Комишувате;Komyshuvate;урочище;Харківська обл.;р-н Зміївський;"N 49° 35’ 45""";"E 36° 26’ 20"""
Ф-11407;Озеро Очеревате;Ozero Ocherevate;урочище;Харківська обл.;р-н Зміївський;"N 49° 34’ 47""";"E 36° 25’ 20"""
Ф-11410;Сербівка;Serbivka;урочище;Харківська обл.;р-н Зміївський;"N 49° 33’ 0""";"E 36° 29’ 41"""
Ф-11411;Новий Світ;Novyi Svit;урочище;Харківська обл.;р-н Первомайський;"N 49° 21’ 10""";"E 36° 6’ 35"""
Ф-11418;Лисаково;Lysakovo;урочище;Харківська обл.;р-н Балаклійський;"N 49° 33’ 25""";"E 36° 41’ 40"""
Ф-11421;Андріївський Бір;Andriivskyi Bir;урочище;Харківська обл.;р-н Балаклійський;"N 49° 32’ 13""";"E 36° 33’ 10"""
Ф-11423;Мала Вишнева;Mala Vyshneva;урочище;Харківська обл.;р-н Балаклійський;"N 49° 29’ 11""";"E 37° 8’ 30"""
Ф-11427;Мереф'янське;Merefianske;урочище;Харківська обл.;р-н Шевченківський;"N 49° 28’ 34""";"E 37° 29’ 30"""
Ф-11434;Устамівка;Ustamivka;урочище;Харківська обл.;р-н Балаклійський;"N 49° 27’ 30""";"E 37° 4’ 0"""
Ф-11435;Бабариківка;Babarykivka;урочище;Харківська обл.;р-н Балаклійський;"N 49° 27’ 8""";"E 37° 8’ 11"""
Ф-11436;Голубівка;Holubivka;урочище;Харківська обл.;р-н Ізюмський;"N 49° 27’ 28""";"E 37° 28’ 40"""
Ф-11461;Макарівка;Makarivka;урочище;Харківська обл.;р-н Балаклійський;"N 49° 25’ 10""";"E 37° 10’ 0"""
Ф-11462;Забаштівка;Zabashtivka;урочище;Харківська обл.;р-н Ізюмський;"N 49° 20’ 30""";"E 37° 25’ 20"""
Ф-11463;Гусарівка;Husarivka;урочище;Харківська обл.;р-н Зачепилівський;"N 49° 16’ 20""";"E 35° 1’ 20"""
Ф-11464;Новомихайлівка;Novomyhailivka;урочище;Харківська обл.;р-н Красноградський;"N 49° 12’ 15""";"E 35° 29’ 0"""
Ф-11467;Чапаївка;Chapaivka;урочище;Харківська обл.;р-н Зачепилівський;"N 49° 7’ 28""";"E 35° 23’ 19"""
Ф-11472;Мартинівські Хутори;Martynivski Khutory;урочище;Харківська обл.;"р-н Красноградський , р-н
Зачепилівський";"N 49° 6’ 28""";"E 35° 31’ 40"""
Ф-11474;Тарасівка;Tarasivka;урочище;Харківська обл.;р-н Кегичівський;"N 49° 16’ 35""";"E 35° 56’ 10"""
Ф-11479;Лимівка;Lymivka;урочище;Харківська обл.;р-н Сахновщинський;"N 49° 7’ 0""";"E 35° 37’ 50"""
Ф-11486;Нехвороща;Nehvoroshcha;урочище;Харківська обл.;р-н Сахновщинський;"N 49° 3’ 0""";"E 35° 53’ 10"""
Ф-11488;Шевченкове;Shevchenkove;урочище;Харківська обл.;р-н Первомайський;"N 49° 14’ 0""";"E 36° 18’ 10"""
Ф-11518;Чорнокам'янка;Chornokamianka;урочище;Харківська обл.;р-н Лозівський;"N 49° 9’ 22""";"E 36° 29’ 10"""
Ф-11529;Жовтневі Зорі;Zhovtnevi Zori;урочище;Харківська обл.;р-н Сахновщинський;"N 49° 5’ 52""";"E 36° 7’ 0"""
Ф-11532;Ганнівка;Hannivka;урочище;Харківська обл.;р-н Лозівський;"N 49° 6’ 30""";"E 36° 23’ 0"""
Ф-11539;Благовіщенка;Blahovishchenka;урочище;Харківська обл.;р-н Лозівський;"N 49° 2’ 58""";"E 36° 27’ 10"""
Ф-11543;Шопенка;Shopenka;урочище;Харківська обл.;р-н Балаклійський;"N 49° 18’ 20""";"E 36° 39’ 0"""
Ф-11544;Орлиноярське;Orlynoiarske;урочище;Харківська обл.;р-н Балаклійський;"N 49° 19’ 0""";"E 36° 41’ 10"""
Ф-11547;Садки;Sadky;урочище;Харківська обл.;р-н Балаклійський;"N 49° 17’ 40""";"E 36° 44’ 10"""
Ф-11553;Степне;Stepne;урочище;Харківська обл.;р-н Лозівський;"N 49° 9’ 10""";"E 36° 38’ 0"""
Ф-11560;Секретарівка;Sekretarivka;урочище;Харківська обл.;р-н Барвінківський;"N 49° 8’ 0""";"E 36° 43’ 30"""
Ф-11563;Комишуваське;Komyshuvaske;урочище;Харківська обл.;р-н Лозівський;"N 49° 7’ 0""";"E 36° 31’ 40"""
Ф-11577;Широка Долина;Shyroka Dolyna;урочище;Харківська обл.;р-н Барвінківський;"N 49° 5’ 30""";"E 36° 38’ 0"""
Ф-11586;Благодатне;Blahodatne;урочище;Харківська обл.;р-н Барвінківський;"N 49° 5’ 20""";"E 36° 40’ 40"""
Ф-11588;Кагдіївка;Kahdiivka;урочище;Харківська обл.;р-н Барвінківський;"N 49° 3’ 18""";"E 36° 51’ 20"""
Ф-11592;Крута Балка;Kruta Balka;урочище;Харківська обл.;"р-н Близнюківський ,р-н
Барвінківський";"N 49° 1’ 20""";"E 36° 43’ 50"""
Ф-11598;Успенівка;Uspenivka;урочище;Харківська обл.;р-н Барвінківський;"N 49° 1’ 20""";"E 36° 50’ 0"""
Ф-11600;Червона Нива;Chervona Nyva;урочище;Харківська обл.;р-н Близнюківський;"N 49° 0’ 40""";"E 36° 41’ 20"""
Ф-11603;Розсошка;Rozsoshka;урочище;Харківська обл.;р-н Ізюмський;"N 49° 19’ 30""";"E 37° 14’ 30"""
Ф-11605;Плоске;Ploske;урочище;Харківська обл.;р-н Ізюмський;"N 49° 16’ 30""";"E 37° 8’ 50"""
Ф-11607;Соснове;Sosnove;урочище;Харківська обл.;р-н Ізюмський;"N 49° 16’ 0""";"E 37° 27’ 0"""
Ф-11608;Пристин;Prystyn;урочище;Харківська обл.;р-н Ізюмський;"N 49° 15’ 0""";"E 37° 29’ 10"""
Ф-11609;Комишувате;Komyshuvate;урочище;Харківська обл.;р-н Ізюмський;"N 49° 7’ 0""";"E 37° 26’ 40"""
Ф-11610;Лозувате;Lozuvate;урочище;Харківська обл.;р-н Ізюмський;"N 49° 6’ 15""";"E 37° 25’ 40"""
Ф-11620;Пересічне;Peresichne;урочище;Харківська обл.;р-н Ізюмський;"N 49° 0’ 30""";"E 37° 16’ 30"""
Ф-11622;Червона Гора;Chervona Hora;урочище;Харківська обл.;р-н Лозівський;"N 48° 59’ 40""";"E 36° 23’ 30"""
Ф-11624;Раєвські Кучугури;Raievski Kuchuhury;урочище;Харківська обл.;р-н Близнюківський;"N 48° 46’ 10""";"E 36° 18’ 0"""
Ф-11625;Лапові Кучугури;Lapovi Kuchuhury;урочище;Харківська обл.;р-н Близнюківський;"N 48° 45’ 30""";"E 36° 16’ 0"""
Ф-11629;Успенівка;Uspenivka;урочище;Харківська обл.;р-н Близнюківський;"N 48° 44’ 15""";"E 36° 12’ 0"""
Ф-11631;Довжик;Dovzhyk;урочище;Харківська обл.;р-н Близнюківський;"N 48° 43’ 45""";"E 36° 17’ 40"""
Ф-11633;Бритвений Яр;Brytvenyi Yar;урочище;Харківська обл.;р-н Барвінківський;"N 48° 50’ 50""";"E 37° 9’ 10"""
Ф-11638;Лавірок;Lavirok;урочище;Харківська обл.;р-н Краснокутський;"N 50° 11’ 50""";"E 35° 5’ 20"""
Ф-11640;Байрак;Bairak;урочище;Харківська обл.;р-н Богодухівський;"N 50° 5’ 20""";"E 35° 23’ 20"""
Ф-11645;Мурафська Дача;Murafska Dacha;урочище;Харківська обл.;р-н Краснокутський;"N 50° 4’ 25""";"E 35° 20’ 20"""
Ф-11646;Полянське;Polianske;урочище;Харківська обл.;р-н Краснокутський;"N 50° 4’ 20""";"E 35° 22’ 41"""
Ф-11650;Наседкине;Nasedkyne;урочище;Харківська обл.;р-н Дворічанський;"N 49° 54’ 0""";"E 38° 1’ 28"""
Ф-11652;Абашкине;Abashkyne;урочище;Харківська обл.;р-н Дворічанський;"N 49° 52’ 10""";"E 38° 3’ 20"""
Ф-11654;Шепелівка;Shepelivka;урочище;Харківська обл.;р-н Дворічанський;"N 49° 51’ 50""";"E 38° 1’ 30"""
Ф-11655;Шаповалівка;Shapovalivka;урочище;Харківська обл.;р-н Дворічанський;"N 49° 51’ 16""";"E 38° 3’ 10"""
Ф-11658;Свяченівка;Sviachenivka;урочище;Харківська обл.;р-н Дворічанський;"N 49° 59’ 10""";"E 37° 35’ 40"""
Ф-11661;Кругле;Kruhle;урочище;Харківська обл.;р-н Дворічанський;"N 49° 59’ 40""";"E 37° 39’ 40"""
Ф-11662;Ясневе;Yasneve;урочище;Харківська обл.;р-н Дворічанський;"N 49° 59’ 30""";"E 37° 44’ 30"""
Ф-11666;Двуруб;Dvurub;урочище;Харківська обл.;р-н Дворічанський;"N 49° 59’ 3""";"E 37° 47’ 45"""
Ф-11667;Розсоховате;Rozsohovate;урочище;Харківська обл.;р-н Дворічанський;"N 49° 56’ 15""";"E 37° 36’ 40"""
Ф-11669;Орлівка;Orlivka;урочище;Харківська обл.;р-н Дворічанський;"N 49° 56’ 50""";"E 37° 49’ 40"""
Ф-11685;Красне-Друге;Krasne-Druhe;урочище;Харківська обл.;р-н Дворічанський;"N 49° 55’ 32""";"E 37° 45’ 40"""
Ф-11688;Свистунівка;Svystunivka;урочище;Харківська обл.;р-н Дворічанський;"N 49° 49’ 8""";"E 37° 47’ 10"""
Ф-11689;Червона Долина;Chervona Dolyna;урочище;Харківська обл.;р-н Дворічанський , р-н Куп'янський;"N 49° 47’ 50""";"E 37° 39’ 20"""
Ф-11693;Махівка;Makhivka;урочище;Харківська обл.;р-н Куп'янський;"N 49° 43’ 2""";"E 37° 32’ 0"""
Ф-11696;Пащинівка;Pashchynivka;урочище;Харківська обл.;р-н Красноградський;"N 49° 38’ 45""";"E 35° 27’ 30"""
Ф-11697;Квітка;Kvitka;урочище;Харківська обл.;р-н Куп'янський;"N 49° 35’ 8""";"E 35° 29’ 45"""
Ф-11710;Парнове;Parnove;урочище;Харківська обл.;р-н Куп'янський;"N 49° 38’ 50""";"E 37° 57’ 10"""
Ф-11712;Уроки;Uroky;урочище;Харківська обл.;м. Куп'янськ;"N 49° 38’ 10""";"E 37° 51’ 20"""
Ф-11713;Кринички;Krynychky;урочище;Харківська обл.;р-н Куп'янський;"N 49° 36’ 10""";"E 37° 48’ 0"""
Ф-11735;Липове;Lypove;урочище;Харківська обл.;р-н Куп'янський;"N 49° 34’ 0""";"E 37° 35’ 15"""
Ф-11736;Свистунове;Svystunove;урочище;Харківська обл.;р-н Куп'янський;"N 49° 34’ 30""";"E 37° 32’ 40"""
Ф-11738;Довжик;Dovzhyk;урочище;Харківська обл.;р-н Куп'янський;"N 49° 33’ 40""";"E 37° 38’ 10"""
Ф-11739;Вовчий;Vovchyi;урочище;Харківська обл.;р-н Куп'янський;"N 49° 32’ 18""";"E 37° 49’ 30"""
Ф-11742;Ревуче;Revuche;урочище;Харківська обл.;р-н Куп'янський;"N 49° 31’ 12""";"E 37° 48’ 19"""
Ф-11744;Святине;Sviatyne;урочище;Харківська обл.;р-н Куп'янський;"N 49° 30’ 8""";"E 37° 32’ 40"""
Ф-11749;Довгеньке;Dovhenke;урочище;Харківська обл.;р-н Куп'янський;"N 49° 29’ 39""";"E 37° 37’ 20"""
Ф-11750;Верхня Журавка;Verkhnia Zhuravka;урочище;Харківська обл.;р-н Борівський;"N 49° 25’ 50""";"E 37° 46’ 40"""
Ф-11752;Староолександрівка;Starooleksandrivka;урочище;Харківська обл., Луганська обл.;;"N 49° 27’ 30""";"E 37° 54’ 40"""
Ф-11753;Борівська Дача;Borivska Dacha;урочище;Харківська обл.;р-н Борівський;"N 49° 21’ 0""";"E 37° 35’ 20"""
Ф-11755;Яцкове;Yatskove;урочище;Харківська обл.;р-н Борівський;"N 49° 19’ 0""";"E 37° 52’ 40"""
Ф-11758;Олександрівка;Oleksandrivka;урочище;Харківська обл.;р-н Борівський;"N 49° 18’ 0""";"E 37° 53’ 40"""
Ф-11759;Комарівська Дача;Komarivska Dacha;урочище;Харківська обл.;р-н Борівський;"N 49° 15’ 50""";"E 37° 33’ 20"""
Ф-11763;Грачине;Hrachyne;урочище;Харківська обл.;р-н Борівський;"N 49° 16’ 30""";"E 37° 48’ 0"""
Ф-11764;Нова Рудка;Nova Rudka;урочище;Харківська обл.;р-н Золочівський;"N 50° 26’ 40""";"E 36° 1’ 30"""
Ф-11766;Платове;Platove;урочище;Харківська обл.;р-н Золочівський;"N 50° 26’ 18""";"E 36° 5’ 20"""
Ф-11775;Рите;Ryte;урочище;Харківська обл.;р-н Золочівський;"N 50° 25’ 40""";"E 36° 6’ 0"""
Ф-11776;Попове;Popove;урочище;Харківська обл.;р-н Золочівський;"N 50° 25’ 50""";"E 36° 3’ 40"""
Ф-11778;Мала Кошарка;Mala Kosharka;урочище;Харківська обл.;р-н Золочівський;"N 50° 25’ 0""";"E 36° 6’ 30"""
Ф-11779;Макарове;Makarove;урочище;Харківська обл.;р-н Золочівський;"N 50° 23’ 20""";"E 36° 1’ 45"""
Ф-11781;Квітка;Kvitka;урочище;Харківська обл.;р-н Золочівський;"N 50° 22’ 20""";"E 36° 9’ 50"""
Ф-11783;Левенок;Levenok;урочище;Харківська обл.;р-н Золочівський;"N 50° 21’ 40""";"E 36° 8’ 0"""
Ф-13587;Овеча;Ovecha;коса;Харківська обл.;;"N 46° 6’ 42""";"E 32° 49’ 57"""
Ф-15622;1-ша Ведмежа;1-sha Vedmezha;урочище;Харківська обл.;р-н Ізюмський;"N 49° 21’ 14""";"E 37° 17’ 13"""
Ф-15701;Абашкине;Abashkyne;урочище;Харківська обл.;р-н Дворічанський;"N 49° 51’ 57""";"E 38° 3’ 20"""
Ф-15703;Абрамів Яр;Abramiv Yar;урочище;Харківська обл.;р-н Куп'янський;"N 49° 52’ 2""";"E 37° 22’ 7"""
Ф-15705;Абрамівський;Abramivskyi;балка;Харківська обл.;р-н Великобурлуцький;"N 50° 1’ 5""";"E 37° 33’ 12"""
Ф-15833;Бабине;Babyne;урочище;Харківська обл.;р-н Зачепилівський;"N 49° 2’ 56""";"E 35° 21’ 36"""
Ф-15848;Бабчинський Яр;Babchynskyi Yar;балка;Харківська обл.;р-н Вовчанський;"N 50° 4’ 38""";"E 36° 40’ 6"""
Ф-15850;Багата;Bahata;балка;Харківська обл.;р-н Кегичівський;"N 49° 10’ 49""";"E 35° 39’ 52"""
Ф-15865;Андріївський Ліс;Andriivskyi Lis;урочище;Харківська обл.;р-н Балаклійський;"N 49° 27’ 38""";"E 36° 33’ 4"""
Ф-15868;Андрюшкине;Andriushkyne;урочище;Харківська обл.;р-н Первомайський;"N 49° 23’ 7""";"E 36° 23’ 1"""
Ф-15904;Акимівка;Akymivka;урочище;Харківська обл.;р-н Балаклійський;"N 49° 31’ 21""";"E 37° 16’ 58"""
Ф-15907;Аксютівська;Aksiutivska;балка;Харківська обл.;р-н Харківський;"N 49° 49’ 6""";"E 36° 12’ 2"""
Ф-15960;Бабай;Babai;урочище;Харківська обл.;р-н Печенізький;"N 49° 50’ 8""";"E 36° 54’ 39"""
Ф-15962;Бабаки;Babaky;урочище;Харківська обл.;р-н Золочівський;"N 50° 7’ 31""";"E 35° 46’ 32"""
Ф-15997;Багновата;Bahnovata;балка;Харківська обл.;р-н Первомайський;"N 49° 26’ 39""";"E 36° 21’ 34"""
Ф-16015;Антонів Терен;Antoniv Teren;балка;Харківська обл.;р-н Валківський;"N 49° 41’ 7""";"E 35° 22’ 41"""
Ф-16025;Антюхове;Antiukhove;урочище;Харківська обл.;р-н Зміївський;"N 49° 42’ 36""";"E 36° 2’ 46"""
Ф-16049;Артемівка;Artemivka;урочище;Харківська обл.;р-н Зачепилівський;"N 49° 4’ 56""";"E 35° 24’ 44"""
Ф-16103;Барабашева;Barabasheva;балка;Харківська обл.;р-н Валківський;"N 49° 53’ 34""";"E 35° 42’ 47"""
Ф-16120;Баклова;Baklova;балка;Харківська обл.;р-н Коломацький;"N 49° 49’ 23""";"E 35° 20’ 20"""
Ф-16126;Бакша;Baksha;урочище;Харківська обл.;р-н Куп'янський;"N 49° 41’ 23""";"E 37° 35’ 4"""
Ф-16143;Балка Кузьмина;Balka Kuzmyna;урочище;Харківська обл.;р-н Борівський;"N 49° 23’ 56""";"E 37° 36’ 3"""
Ф-16157;Бекет;Beket;балка;Харківська обл.;р-н Близнюківський;"N 48° 46’ 44""";"E 36° 40’ 52"""
Ф-16158;Бекет;Beket;балка;Харківська обл.;р-н Нововодолазький;"N 49° 30’ 33""";"E 35° 51’ 43"""
Ф-16165;Бем-Любимського;Bem-Liubymskoho;яр;Харківська обл.;р-н Харківський;"N 49° 58’ 28""";"E 36° 31’ 25"""
Ф-16186;Байкова;Baikova;балка;Харківська обл.;р-н Первомайський;"N 49° 23’ 23""";"E 36° 1’ 29"""
Ф-16194;Байрак;Bairak;балка;Харківська обл.;р-н Борівський;"N 49° 19’ 6""";"E 37° 27’ 59"""
Ф-16201;Байрак;Bairak;урочище;Харківська обл.;р-н Зміївський;"N 49° 39’ 29""";"E 36° 16’ 39"""
Ф-16206;Байрак;Bairak;урочище;Харківська обл.;р-н Зміївський;"N 49° 31’ 51""";"E 36° 22’ 59"""
Ф-16207;Байрак;Bairak;балка;Харківська обл.;р-н Чугуївський;"N 49° 37’ 18""";"E 37° 1’ 47"""
Ф-16208;Байрак;Bairak;балка;Харківська обл.;р-н Нововодолазький;"N 49° 44’ 42""";"E 35° 49’ 27"""
Ф-16210;Байрак;Bairak;балка;Харківська обл.;р-н Коломацький;"N 49° 51’ 11""";"E 35° 20’ 15"""
Ф-16211;Байрак;Bairak;урочище;Харківська обл.;р-н Коломацький;"N 49° 46’ 34""";"E 35° 16’ 28"""
Ф-16228;Базів;Baziv;балка;Харківська обл.;р-н Чугуївський;"N 49° 55’ 50""";"E 36° 46’ 42"""
Ф-16232;Базова;Bazova;балка;Харківська обл.;р-н Нововодолазький;"N 49° 33’ 10""";"E 35° 49’ 31"""
Ф-16233;Базовий;Bazovyi;яр;Харківська обл.;р-н Чугуївський;"N 49° 54’ 7""";"E 36° 33’ 26"""
Ф-16268;Бачнова;Bachnova;балка;Харківська обл.;р-н Вовчанський;"N 50° 5’ 34""";"E 36° 44’ 33"""
