Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-7134;Крейдяний Яр;Kreidianyi Yar;балка;Луганська обл.;р-н Біловодський;"N 49° 16’ 58""";"E 39° 41’ 57"""
Ф-16661;Білоусова;Bilousova;балка;Луганська обл.;р-н Сорокинський;"N 48° 34’ 15""";"E 39° 41’ 59"""
Ф-7129;Журавка;Zhuravka;балка;Луганська обл.;р-н Біловодський;"N 49° 19’ 34""";"E 39° 42’ 0"""
Ф-6997;Ганжилин Яр;Hanzhylyn Yar;балка;Луганська обл.;р-н Марківський;"N 49° 23’ 57""";"E 39° 42’ 10"""
Ф-18347;Водяна;Vodiana;балка;Луганська обл.;р-н Станично-Луганський;"N 48° 55’ 22""";"E 39° 42’ 17"""
Ф-7179;Середній Яр;Serednii Yar;балка;Луганська обл.;р-н Біловодський;"N 49° 4’ 15""";"E 39° 42’ 17"""
Ф-20761;Дубовець;Dubovets;балка;Луганська обл.;р-н Біловодський;"N 49° 13’ 10""";"E 39° 42’ 30"""
Ф-30006;Фролова;Frolova;балка;Луганська обл.;р-н Сорокинський;"N 48° 11’ 29""";"E 39° 42’ 35"""
Ф-21092;Гуркине;Hurkyne;балка;Луганська обл.;р-н Станично-Луганський;"N 48° 44’ 3""";"E 39° 42’ 38"""
Ф-6959;Рипалово;Rypalovo;балка;Луганська обл.;р-н Марківський;"N 49° 31’ 8""";"E 39° 42’ 40"""
Ф-32662;Талова;Talova;балка;Луганська обл.;Свердловська міськрада;"N 48° 0’ 49""";"E 39° 42’ 41"""
Ф-40477;Меженський;Mezhenskyi;ліс;Луганська обл.;р-н Марківський;"N 49° 35’ 57""";"E 39° 42’ 51"""
Ф-33421;Токарева;Tokareva;балка;Луганська обл.;р-н Станично-Луганський;"N 48° 48’ 39""";"E 39° 42’ 52"""
Ф-16614;Берестів Яр;Berestiv Yar;балка;Луганська обл.;р-н Марківський;"N 49° 25’ 3""";"E 39° 42’ 52"""
Ф-20900;Довга;Dovha;балка;Луганська обл.;р-н Станично-Луганський;"N 48° 44’ 48""";"E 39° 42’ 55"""
Ф-26682;Мала Пугачьова;Mala Puhachova;балка;Луганська обл.;р-н Станично-Луганський;"N 48° 45’ 18""";"E 39° 42’ 6"""
Ф-24568;Малий Яр;Malyi Yar;балка;Луганська обл.;р-н Біловодський;"N 49° 2’ 54""";"E 39° 43’ 16"""
Ф-28240;Панська;Panska;балка;Луганська обл.;р-н Сорокинський;"N 48° 25’ 19""";"E 39° 43’ 19"""
Ф-17919;Деревечка;Derevechka;балка;Луганська обл.;р-н Довжанський;"N 48° 9’ 20""";"E 39° 43’ 19"""
Ф-32077;Дерезувата;Derezuvata;балка;Луганська обл.;р-н Станично-Луганський;"N 48° 51’ 50""";"E 39° 43’ 2"""
Ф-28190;Остапова;Ostapova;балка;Луганська обл.;р-н Станично-Луганський;"N 48° 56’ 37""";"E 39° 43’ 22"""
Ф-25806;Макарів Яр;Makariv Yar;балка;Луганська обл.;р-н Сорокинський;"N 48° 33’ 53""";"E 39° 43’ 29"""
Ф-654;Чугинка;Chuhynka;річка;Луганська обл.;;"N 48° 58’ 27""";"E 39° 43’ 35"""
Ф-40842;Високий;Vysokyi;ліс;Луганська обл.;р-н Марківський;"N 49° 35’ 7""";"E 39° 43’ 5"""
Ф-6993;Лозовий Яр;Lozovyi Yar;балка;Луганська обл.;р-н Марківський;"N 49° 25’ 28""";"E 39° 43’ 53"""
Ф-6958;Білий Яр;Bilyi Yar;балка;Луганська обл.;р-н Марківський;"N 49° 33’ 54""";"E 39° 43’ 56"""
Ф-27138;Поперечний Яр;Poperechnyi Yar;балка;Луганська обл.;р-н Біловодський;"N 49° 8’ 21""";"E 39° 43’ 57"""
Ф-18290;Джимильта;Dzhymylta;балка;Луганська обл.;р-н Довжанський;"N 47° 54’ 7""";"E 39° 43’ 9"""
Ф-7004;Широкий Яр;Shyrokyi Yar;балка;Луганська обл.;р-н Біловодський;"N 49° 21’ 0""";"E 39° 44’ 0"""
Ф-7829;Розсипна;Rozsypna;балка;Луганська обл.;р-н Краснодонський;"N 48° 26’ 50""";"E 39° 44’ 20"""
Ф-18907;Войтова;Voitova;балка;Луганська обл.;р-н Станично-Луганський;"N 48° 51’ 39""";"E 39° 44’ 21"""
Ф-18561;Галута;Haluta;балка;Луганська обл.;р-н Довжанський;"N 47° 52’ 26""";"E 39° 44’ 29"""
Ф-23670;Кринична;Krynychna;балка;Луганська обл.;р-н Довжанський;"N 47° 59’ 48""";"E 39° 44’ 30"""
