Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-14247	Радич	Radych	гора	Львівська обл.	р-н Старосамбірський	"N 49° 34’ 6"""	"E 22° 52’ 13"""
Ф-27330	Реберце	Rebertse	урочище	Львівська обл.	р-н Турківський	"N 49° 6’ 48"""	"E 22° 52’ 15"""
Ф-14036	Сянкський хребет	Siankskyi khrebet	хребет	Львівська обл.	р-н Турківський	"N 49° 7’ 29"""	"E 22° 52’ 18"""
Ф-19521	Вершок	Vershok	гора	Львівська обл.	р-н Турківський	"N 49° 2’ 28"""	"E 22° 52’ 21"""
Ф-35247	Бечкарня	Bechkarnia	урочище	Львівська обл.	р-н Турківський	"N 49° 4’ 31"""	"E 22° 52’ 21"""
Ф-14105	Дрогобицький Камінь	Drohobytskyi Kamin	гора	Львівська обл.	р-н Турківський	"N 48° 56’ 36"""	"E 22° 52’ 25"""
Ф-9178	Дрогобицький Камінь	Drohobytskyi Kamin	гора	Закарпатська обл., Львівська обл.		"N 48° 56’ 31"""	"E 22° 52’ 29"""
Ф-14009	Кічерка	Kicherka	гора	Львівська обл.	р-н Старосамбірський	"N 49° 19’ 22"""	"E 22° 52’ 3"""
Ф-2124	Мшанець	Mshanets	річка	Львівська обл.		"N 49° 18’ 15"""	"E 22° 52’ 30"""
Ф-14855	Замкля	Zamklia	гора	Львівська обл.	Старосамбірський р-н	"N 49° 28’ 15"""	"E 22° 52’ 30"""
Ф-21381	Замкля	Zamklia	гора	Львівська обл.	р-н Старосамбірський	"N 49° 28’ 15"""	"E 22° 52’ 30"""
Ф-14265	Яворниско	Yavornysko	гора	Львівська обл.	р-н Старосамбірський	"N 49° 20’ 29"""	"E 22° 52’ 4"""
Ф-2145	Жукотинець	Zhukotynets	потік	Львівська обл.		"N 49° 13’ 14"""	"E 22° 52’ 40"""
Ф-26661	Ляски	Liasky	урочище	Львівська обл.	р-н Турківський	"N 49° 4’ 19"""	"E 22° 52’ 40"""
Ф-2938	Вишня	Vyshnia	річка	Львівська обл.		"N 49° 56’ 40"""	"E 22° 52’ 40"""
Ф-2939	Скло	Sklo	річка	Львівська обл.		"N 49° 58’ 55"""	"E 22° 52’ 40"""
Ф-18837	Верх	Verkh	хребет	Львівська обл.	р-н Турківський	"N 49° 3’ 12"""	"E 22° 52’ 56"""
Ф-14264	Верхній Оровий	Verkhnii Orovyi	хребет	Львівська обл.	р-н Старосамбірський	"N 49° 20’ 51"""	"E 22° 52’ 58"""
Ф-14034	Щалб	Shchalb	гора	Львівська обл.	р-н Турківський	"N 49° 6’ 58"""	"E 22° 53’ 12"""
Ф-14029	Висока	Vysoka	гора	Львівська обл.	р-н Турківський	"N 49° 9’ 7"""	"E 22° 53’ 12"""
Ф-35121	Розсипанець	Rozsypanets	урочище	Львівська обл.	р-н Турківський	"N 48° 55’ 53"""	"E 22° 53’ 15"""
Ф-9184	Старостина	Starostyna	гора	Закарпатська обл., Львівська обл.		"N 48° 55’ 23"""	"E 22° 53’ 18"""
Ф-14111	Старостина	Starostyna	гора	Львівська обл.	р-н Турківський	"N 48° 55’ 28"""	"E 22° 53’ 18"""
Ф-35248	Голинята	Holyniata	урочище	Львівська обл.	р-н Турківський	"N 49° 2’ 18"""	"E 22° 53’ 20"""
Ф-36782	Кут	Kut	перевал	Львівська обл.	р-н Турківський	"N 48° 57’ 48"""	"E 22° 53’ 21"""
Ф-14041	Бучок	Buchok	гора	Львівська обл.	р-н Турківський	"N 49° 4’ 9"""	"E 22° 53’ 21"""
Ф-34255	"Верхньодністровські
Бескиди"	Verkhnodnistrovski Beskydy	гірський масив	Львівська обл.		"N 49° 22’ 48"""	"E 22° 53’ 24"""
Ф-9944	Ужоцький	Uzhotskyi	перевал	Закарпатська обл., Львівська обл.	р-н Великоберезнянський	"N 49° 0’ 11"""	"E 22° 53’ 25"""
Ф-14259	Менчиконя	Menchykonia	гора	Львівська обл.	р-н Старосамбірський	"N 49° 27’ 13"""	"E 22° 53’ 28"""
Ф-14053	"Верньодністровські
Бескиди"	Verkhnodnistrovski Beskydy	гора	Львівська обл.		"N 49° 14’ 3"""	"E 22° 53’ 30"""
