Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-22367	Крута	Kruta	балка	Запорізька обл.	р-н Запорізький	"N 47° 57’ 9"""	"E 34° 55’ 22"""
Ф-32732	Томаківка	Tomakivka	балка	Запорізька обл.	р-н Запорізький	"N 47° 58’ 13"""	"E 34° 56’ 58"""
Ф-17213	Гончари	Honchary	урочище	Запорізька обл.	р-н Новомиколаївський	"N 47° 58’ 16"""	"E 35° 46’ 2"""
Ф-22016	Мазанки	Mazanky	балка	Запорізька обл.	р-н Вільнянський	"N 47° 58’ 27"""	"E 35° 38’ 26"""
Ф-14889	Могила-Чубата	Mohyla-Chubata	курган	Запорізька обл.	Вільнянський р-н	"N 47° 58’ 35"""	"E 35° 10’ 20"""
Ф-25421	Могила-Чубата	Mohyla-Chubata	курган	Запорізька обл.	р-н Вільнянський	"N 47° 58’ 35"""	"E 35° 10’ 20"""
Ф-10704	Любашівка	Liubashivka	річка	Запорізька обл.		"N 47° 58’ 47"""	"E 35° 51’ 2"""
Ф-31437	Скелювата	Skeliuvata	балка	Запорізька обл.	р-н Вільнянський	"N 47° 58’ 55"""	"E 35° 18’ 1"""
Ф-10718	Нечаєвська	Nechaievska	балка	Запорізька обл.	р-н Новомиколаївський	"N 47° 58’ 56"""	"E 35° 57’ 40"""
Ф-23552	Індичка	Indychka	балка	Запорізька обл.	р-н Запорізький	"N 47° 58’ 58"""	"E 34° 57’ 38"""
Ф-29741	Солона	Solona	балка	Запорізька обл.	р-н Вільнянський	"N 47° 59’ 17"""	"E 35° 31’ 14"""
Ф-19392	Гадюча	Hadiucha	балка	Запорізька обл.	р-н Вільнянський	"N 47° 59’ 19"""	"E 35° 30’ 34"""
Ф-14891	Могила-Весело-Тернувата	Mohyla-Veselo-ternuvata	курган	Запорізька обл.	Вільнянський р-н	"N 47° 59’ 31"""	"E 35° 17’ 49"""
Ф-24628	Могила-Весело-Тернувата	Mohyla-Veselo-ternuvata	курган	Запорізька обл.	р-н Вільнянський	"N 47° 59’ 31"""	"E 35° 17’ 49"""
Ф-29251	Цурполійська	Tsurpoliiska	балка	Запорізька обл.	р-н Новомиколаївський	"N 47° 59’ 34"""	"E 35° 50’ 57"""
Ф-32049	Червоне	Chervone	урочище	Запорізька обл.	р-н Новомиколаївський	"N 47° 59’ 43"""	"E 36° 3’ 17"""
Ф-31137	Сорочинська	Sorochynska	балка	Запорізька обл.	р-н Новомиколаївський	"N 47° 59’ 45"""	"E 35° 59’ 28"""
Ф-32604	Барвінок	Barvinok	урочище	Запорізька обл.	р-н Вільнянський	"N 47° 59’ 50"""	"E 35° 30’ 56"""
Ф-17079	Братерське	Braterske	балка	Запорізька обл.	р-н Новомиколаївський	"N 47° 59’ 53"""	"E 35° 57’ 26"""
Ф-8297	Широкі Луки	Shyroki Luky	урочище	Запорізька обл.	р-н Бердянський	"N 47° 6’ 10"""	"E 36° 40’ 28"""
Ф-2711	Салтичія	Saltychiia	річка	Запорізька обл.		"N 47° 6’ 20"""	"E 36° 28’ 0"""
Ф-11673	Апанли	Apanly	балка	Запорізька обл.	р-н Чернігівський	"N 47° 6’ 32"""	"E 35° 53’ 17"""
Ф-7806	Тимошівський Під	Tymoshivskyi Pid	урочище	Запорізька обл.	р-н Михайлівський	"N 47° 6’ 48"""	"E 35° 4’ 45"""
Ф-8203	Кругла Падина	Kruhla Padyna	урочище	Запорізька обл.	р-н Веселівський	"N 47° 6’ 51"""	"E 34° 36’ 50"""
Ф-803	Кальчик	Kalchyk	річка	Запорізька обл., Донецька обл.		"N 47° 7’ 0"""	"E 37° 36’ 50"""
Ф-8206	Красноярське	Krasnoiarske	урочище	Запорізька обл.	р-н Веселівський	"N 47° 7’ 0"""	"E 34° 40’ 40"""
Ф-8296	Силина-Криниця	Sylyna-Krynytsia	урочище	Запорізька обл.	р-н Бердянський	"N 47° 7’ 11"""	"E 36° 40’ 40"""
Ф-23355	Кринички	Krynychky	балка	Запорізька обл.	р-н Бердянський	"N 47° 7’ 13"""	"E 36° 46’ 14"""
Ф-11494	Давиденкова	Davydenkova	балка	Запорізька обл.	р-н Бердянський	"N 47° 7’ 24"""	"E 36° 57’ 55"""
Ф-11665	Дідова	Didova	балка	Запорізька обл.	р-н Токмацький	"N 47° 7’ 43"""	"E 35° 40’ 55"""
Ф-11579	Бакаєва	Bakaieva	балка	Запорізька обл.	р-н Чернігівський, р-н Бердянський	"N 47° 7’ 50"""	"E 36° 29’ 15"""
Ф-22020	Кркльман	Krklman	балка	Запорізька обл.	р-н Чернігівський	"N 47° 7’ 55"""	"E 35° 55’ 1"""
Ф-11508	Бурдиччя	Burdychchia	балка	Запорізька обл.	р-н Запорізький	"N 47° 7’ 7"""	"E 36° 41’ 30"""
Ф-11507	Суха	Sukha	балка	Запорізька обл.	р-н Бердянський	"N 47° 8’ 12"""	"E 36° 41’ 28"""
Ф-8201	Переверзівка	Pereverzivka	урочище	Запорізька обл.	р-н Михайлівський	"N 47° 8’ 12"""	"E 34° 58’ 20"""
Ф-797	Каратюк	Karatiuk	річка	Запорізька обл., Донецька обл.		"N 47° 8’ 30"""	"E 36° 58’ 40"""
Ф-7833	Андріївка	Andriivka	урочище	Запорізька обл.	р-н Чернігівський	"N 47° 8’ 31"""	"E 36° 8’ 40"""
Ф-8150	Успенівка	Uspenivka	урочище	Запорізька обл.	р-н Великобілозерський	"N 47° 8’ 31"""	"E 34° 32’ 20"""
Ф-11492	Панянова	Panianova	балка	Запорізька обл.	р-н Бердянський	"N 47° 8’ 32"""	"E 36° 56’ 5"""
Ф-26637	Курушан	Kurushan	балка	Запорізька обл.	р-н Токмацький	"N 47° 8’ 36"""	"E 35° 49’ 14"""
Ф-11574	Білякова	Biliakova	балка	Запорізька обл.	р-н Чернігівський	"N 47° 8’ 40"""	"E 36° 24’ 37"""
Ф-27684	Рогозіна	Rohozina	балка	Запорізька обл.	р-н Більмацький	"N 47° 8’ 45"""	"E 36° 33’ 41"""
Ф-8154	Слобідська Падина	Slobidska Padyna	урочище	Запорізька обл.	р-н Веселівський	"N 47° 8’ 50"""	"E 34° 34’ 0"""
Ф-32448	Біла	Bila	балка	Запорізька обл.	р-н Чернігівський	"N 47° 9’ 14"""	"E 36° 26’ 2"""
Ф-20791	Гуржії	Hurzhii	урочище	Запорізька обл.	р-н Бердянський	"N 47° 9’ 15"""	"E 36° 56’ 39"""
Ф-26634	Курусєва	Kurusieva	балка	Запорізька обл.	р-н Чернігівський	"N 47° 9’ 16"""	"E 36° 28’ 30"""
Ф-11485	Мала Тернова	Mala Ternova	балка	Запорізька обл.	р-н Бердянський	"N 47° 9’ 30"""	"E 36° 55’ 0"""
Ф-15063	Могила Гостра	Mohyla Hostra	курган	Запорізька обл.	Чернігівський р-н	"N 47° 9’ 31"""	"E 36° 14’ 52"""
Ф-25085	Могила Гостра	Mohyla Hostra	курган	Запорізька обл.	р-н Чернігівський	"N 47° 9’ 31"""	"E 36° 14’ 52"""
Ф-19548	Драганова	Drahanova	балка	Запорізька обл.	р-н Чернігівський	"N 47° 9’ 44"""	"E 36° 27’ 16"""
Ф-11481	Мушина	Mushyna	балка	Запорізька обл.	р-н Бердянський	"N 47° 9’ 45"""	"E 36° 53’ 59"""
