Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-10266	Фрунзе	Frunze	балка	Одеська обл.	р-н Березівський	"N 47° 10’ 25"""	"E 31° 3’ 20"""
Ф-10268	Фрунзе	Frunze	балка	Одеська обл.	р-н Березівський	"N 47° 9’ 43"""	"E 31° 5’ 30"""
Ф-10270	Царега	Tsareha	балка	Одеська обл.	р-н Березівський	"N 47° 7’ 50"""	"E 31° 12’ 50"""
Ф-10274	Костенкова	Kostenkova	балка	Одеська обл.	р-н Березівський	"N 47° 9’ 25"""	"E 31° 13’ 30"""
Ф-10278	Середня	Serednia	балка	Одеська обл.	р-н Березівський	"N 47° 3’ 55"""	"E 31° 5’ 55"""
Ф-1028	Грабовський лиман	Hrabovskyi lyman	лиман	Одеська обл.		"N 45° 33’ 13"""	"E 29° 29’ 33"""
Ф-10308	Журавльова	Zhuravlova	балка	Одеська обл.	р-н Ананьївський	"N 47° 3’ 25"""	"E 31° 4’ 45"""
Ф-10311	Фонтан	Fontan	балка	Одеська обл.	р-н Березівський	"N 47° 2’ 20"""	"E 31° 7’ 30"""
Ф-10316	Попів	Popiv	балка	Одеська обл.	р-н Березівський	"N 47° 1’ 40"""	"E 31° 6’ 0"""
Ф-10318	Сухинянська	Sukhynianska	балка	Одеська обл.	р-н Березівський	"N 47° 2’ 55"""	"E 31° 12’ 20"""
Ф-10342	Дундова	Dundova	балка	Одеська обл.	р-н Роздільнянський	"N 46° 50’ 45"""	"E 29° 54’ 10"""
Ф-10360	Свиняча	Svyniacha	балка	Одеська обл.	р-н Великомихайлівський	"N 46° 57’ 25"""	"E 30° 8’ 10"""
Ф-10362	Ротова	Rotova	балка	Одеська обл.	р-н Іванівський	"N 46° 57’ 45"""	"E 30° 24’ 45"""
Ф-10364	Наріжня	Narizhnia	балка	Одеська обл.	р-н Іванівський	"N 46° 55’ 35"""	"E 30° 26’ 25"""
Ф-10366	Макітра	Makitra	балка	Одеська обл.	р-н Роздільнянський	"N 46° 54’ 15"""	"E 30° 13’ 45"""
Ф-10369	Карпова	Karpova	балка	Одеська обл.	р-н Роздільнянський	"N 46° 52’ 55"""	"E 30° 11’ 40"""
Ф-1037	Великий Солоний лиман	Velykyi Solonyi lyman	лиман	Одеська обл.		"N 45° 32’ 43"""	"E 29° 34’ 22"""
Ф-10380	Чорна	Chorna	балка	Одеська обл.	р-н Іванівський	"N 46° 53’ 10"""	"E 30° 28’ 40"""
Ф-10383	Мартишівська	Martyshivska	балка	Одеська обл.	р-н Роздільнянський	"N 46° 48’ 25"""	"E 30° 3’ 25"""
Ф-10388	Горенечева Скеля	Horenecheva Skelia	балка	Одеська обл.	р-н Роздільнянський	"N 46° 44’ 25"""	"E 30° 19’ 30"""
Ф-1039	Пожарний лиман	Pozharnyi lyman	лиман	Одеська обл.		"N 45° 31’ 33"""	"E 29° 33’ 50"""
Ф-10392	Кабашникова	Kabashnykova	балка	Одеська обл.	р-н Роздільнянський	"N 46° 41’ 15"""	"E 30° 25’ 30"""
Ф-10398	Глибока	Hlyboka	балка	Одеська обл.	р-н Іванівський	"N 46° 59’ 15"""	"E 30° 37’ 35"""
Ф-10399	Сталінградка	Stalinhradka	балка	Одеська обл.	р-н Комінтернівський	"N 46° 59’ 30"""	"E 30° 57’ 30"""
Ф-1042	Жебріянський лиман	Zhebriianskyi lyman	лиман	Одеська обл.		"N 45° 30’ 10"""	"E 29° 35’ 20"""
Ф-1045	Білгородське гирло	Bilhorodske hyrlo	рукав	Одеська обл.		"N 45° 28’ 20"""	"E 29° 37’ 40"""
Ф-10538	Суха	Sukha	балка	Одеська обл.	р-н Іванівський	"N 46° 57’ 5"""	"E 30° 33’ 45"""
Ф-1054	Полуденне гирло	Poludenne hyrlo	рукав	Одеська обл.		"N 45° 24’ 40"""	"E 29° 45’ 10"""
Ф-10540	Руднєва	Rudnieva	балка	Одеська обл.	р-н Іванівський	"N 46° 57’ 23"""	"E 30° 37’ 25"""
Ф-10546	Ялова	Yalova	балка	Одеська обл.	р-н Іванівський	"N 46° 55’ 15"""	"E 30° 32’ 15"""
Ф-10557	Ізор	Izor	балка	Одеська обл.	р-н Іванівський	"N 46° 54’ 15"""	"E 30° 36’ 35"""
Ф-10566	Сільська	Silska	балка	Одеська обл.	"р-н Іванівський, р-н
Комінтернівський"	"N 46° 45’ 55"""	"E 30° 43’ 45"""
Ф-10569	Ярівка	Yarivka	балка	Одеська обл.	"р-н Іванівський, р-н
Комінтернівський"	"N 46° 45’ 5"""	"E 30° 39’ 25"""
Ф-1057	Анкудінове гирло	Ankudinove hyrlo	рукав	Одеська обл.		"N 45° 24’ 40"""	"E 29° 45’ 10"""
Ф-10571	Шахлацька	Shakhlatska	балка	Одеська обл.	р-н Комінтернівський	"N 46° 43’ 25"""	"E 30° 51’ 20"""
Ф-10576	Баштанна	Bashtanna	балка	Одеська обл.	р-н Комінтернівський	"N 46° 42’ 25"""	"E 30° 41’ 50"""
Ф-1058	Лазаркин Кут	Lazarkyn Kut	озеро	Одеська обл.		"N 45° 25’ 17"""	"E 29° 44’ 5"""
Ф-10582	Кам'яна	Kamiana	балка	Одеська обл.	р-н Комінтернівський	"N 46° 45’ 5"""	"E 31° 2’ 55"""
Ф-10590	Лунґа	Lunga	балка	Одеська обл.	р-н Тарутинський	"N 46° 30’ 50"""	"E 29° 14’ 15"""
Ф-10598	Сухласват	Sukhlasvat	балка	Одеська обл.	р-н Тарутинський	"N 46° 27’ 0"""	"E 29° 0’ 30"""
Ф-1060	Середній	Serednii	рукав	Одеська обл.		"N 45° 22’ 43"""	"E 29° 38’ 40"""
Ф-1077	Турке	Turke	озеро	Одеська обл.		"N 45° 19’ 49"""	"E 28° 25’ 22"""
Ф-1109	Шмурига	Shmuryha	лиман	Одеська обл.		"N 45° 18’ 40"""	"E 28° 43’ 35"""
Ф-11122	Тарутине	Tarutyne	гора	Одеська обл.	р-н Татарбунарський	"N 46° 25’ 10"""	"E 29° 9’ 15"""
Ф-11127	Сайци	Saytsy	балка	Одеська обл.	р-н Тарутинський	"N 46° 28’ 20"""	"E 29° 26’ 25"""
Ф-11130	Громацький Яр	Hromatskyi Yar	балка	Одеська обл.	р-н Тарутинський	"N 46° 27’ 5"""	"E 29° 24’ 25"""
Ф-11131	Коліна	Kolina	балка	Одеська обл.	р-н Тарутинський	"N 46° 26’ 45"""	"E 29° 23’ 50"""
Ф-11134	Мічули	Michuly	балка	Одеська обл.	р-н Тарутинський	"N 46° 25’ 25"""	"E 29° 25’ 40"""
Ф-11136	Серате	Serate	долина	Одеська обл.	р-н Саратський	"N 46° 24’ 0"""	"E 29° 29’ 5"""
Ф-11138	Сату	Satu	долина	Одеська обл.	р-н Білгород-Дністровський	"N 46° 23’ 20"""	"E 29° 47’ 35"""
Ф-11139	Язь	Yaz	балка	Одеська обл.		"N 46° 19’ 50"""	"E 29° 51’ 23"""
Ф-11147	Щербанська	Shcherbanska	балка	Одеська обл.	р-н Біляївський, р-н Роздільнянський	"N 46° 39’ 10"""	"E 30° 16’ 28"""
Ф-1115	Табачелло	Tabachello	протока	Одеська обл.		"N 45° 18’ 48"""	"E 28° 37’ 25"""
Ф-11150	Базілова	Bazilova	балка	Одеська обл.	р-н Біляївський, р-н Роздільнянський	"N 46° 37’ 22"""	"E 30° 0’ 45"""
Ф-11153	Вовча	Vovcha	балка	Одеська обл.	р-н Біляївський, р-н Роздільнянський	"N 46° 37’ 45"""	"E 30° 19’ 30"""
Ф-11156	Курудорова	Kurudorova	балка	Одеська обл.	р-н Біляївський	"N 46° 33’ 15"""	"E 30° 7’ 35"""
Ф-11157	Водяна	Vodiana	балка	Одеська обл.	р-н Біляївський	"N 46° 29’ 55"""	"E 30° 29’ 55"""
Ф-11161	Гайдаліна	Haydalina	балка	Одеська обл.	р-н Біляївський	"N 46° 28’ 10"""	"E 30° 19’ 10"""
Ф-11162	Глибока	Hlyboka	балка	Одеська обл.	р-н Комінтернівський	"N 46° 39’ 20"""	"E 30° 50’ 15"""
Ф-11163	Дальницька	Dalnytska	балка	Одеська обл.	р-н Біляївський	"N 46° 32’ 35"""	"E 30° 31’ 45"""
Ф-11169	Докури-Ной	Dokury-Noi	гора	Одеська обл.	р-н Тарутинський	"N 46° 16’ 25"""	"E 29° 13’ 30"""
Ф-11178	Гофнунгсталь	Hofnunhstal	гора	Одеська обл.	р-н Тарутинський	"N 46° 18’ 55"""	"E 29° 20’ 20"""
Ф-11183	Мутаву	Mutavu	гора	Одеська обл.	р-н Тарутинський	"N 46° 18’ 33"""	"E 29° 26’ 50"""
Ф-11185	Мутаву	Mutavu	річка, що пересихає	Одеська обл.		"N 46° 17’ 40"""	"E 29° 29’ 23"""
Ф-1119	гирло Картал	hyrlo Kartal	стариця (старе русло)	Одеська обл.		"N 45° 19’ 4"""	"E 28° 30’ 32"""
Ф-11190	Хейєр	Kheiier	долина	Одеська обл.	р-н Тарутинський	"N 46° 18’ 0"""	"E 29° 24’ 32"""
Ф-11192	Фрумушика	Frumushyka	річка, що пересихає	Одеська обл.		"N 46° 8’ 29"""	"E 29° 21’ 25"""
Ф-11219	Зурумська	Zurumska	гора	Одеська обл.	р-н Тарутинський	"N 46° 13’ 38"""	"E 29° 29’ 30"""
Ф-11221	Мала	Mala	балка	Одеська обл.	р-н Арцизький, р-н Саратський	"N 46° 12’ 0"""	"E 29° 29’ 50"""
Ф-11224	Баклани	Baklany	балка	Одеська обл.	р-н Арцизький, р-н Саратський	"N 46° 11’ 15"""	"E 29° 29’ 55"""
Ф-11226	Адлер	Adler	гора	Одеська обл.	р-н Тарутинський	"N 46° 12’ 30"""	"E 29° 16’ 15"""
Ф-11227	Юда	Yuda	долина	Одеська обл.	р-н Тарутинський	"N 46° 10’ 35"""	"E 29° 16’ 45"""
Ф-11230	Панью	Paniu	гора	Одеська обл.	р-н Тарутинський	"N 46° 9’ 40"""	"E 29° 8’ 40"""
Ф-11233	Бахмутка	Bakhmutka	річка, що пересихає	Одеська обл.		"N 46° 8’ 10"""	"E 29° 15’ 13"""
Ф-11234	Малул-Маре	Malul-Mare	хребет	Одеська обл.	р-н Тарутинський	"N 46° 8’ 40"""	"E 29° 2’ 20"""
Ф-11235	Ярославець	Yaroslavets	річка, що пересихає	Одеська обл.		"N 46° 6’ 19"""	"E 28° 59’ 35"""
Ф-11239	Гроаса	Hroasa	хребет	Одеська обл.	р-н Тарутинський	"N 46° 6’ 20"""	"E 29° 5’ 5"""
Ф-1126	Циганський Кут	Tsyhanskyi Kut	затока	Одеська обл.		"N 45° 14’ 38"""	"E 29° 44’ 20"""
Ф-11279	Червона	Chervona	балка	Одеська обл.	р-н Тарутинський	"N 46° 8’ 25"""	"E 29° 17’ 45"""
Ф-11292	Кашпалат	Kashpalat	долина	Одеська обл.	р-н Арцизький, р-н Тарутинський	"N 46° 8’ 15"""	"E 29° 24’ 20"""
Ф-11300	Кляснитей	Kliasnytei	гора	Одеська обл.	р-н Арцизький	"N 46° 6’ 25"""	"E 29° 20’ 21"""
Ф-11305	Болгарська	Bolharska	балка	Одеська обл.	р-н Арцизький	"N 46° 5’ 30"""	"E 29° 17’ 45"""
Ф-11313	Вовча	Vovcha	балка	Одеська обл.	р-н Арцизький	"N 46° 4’ 50"""	"E 29° 27’ 30"""
Ф-11324	Романська	Romanska	балка	Одеська обл.	р-н Тарутинський	"N 46° 1’ 35"""	"E 29° 1’ 0"""
Ф-11327	Юртінська	Yurtinska	балка	Одеська обл.	р-н Тарутинський	"N 46° 2’ 0"""	"E 29° 2’ 40"""
Ф-11333	Кляснитей	Kliasnytei	долина	Одеська обл.	р-н Арцизький	"N 46° 4’ 40"""	"E 29° 19’ 40"""
Ф-11334	Арцизька	Artsyzka	балка	Одеська обл.	р-н Арцизький	"N 46° 2’ 10"""	"E 29° 26’ 5"""
Ф-11339	Переселенченська	Pereselenchenska	балка	Одеська обл.	р-н Арцизький	"N 46° 0’ 45"""	"E 29° 28’ 45"""
Ф-11345	Суха	Sukha	балка	Одеська обл.	р-н Тарутинський	"N 46° 17’ 8"""	"E 29° 30’ 40"""
Ф-11348	Петрівка	Petrivka	балка	Одеська обл.	р-н Білгород-Дністровський	"N 46° 7’ 2"""	"E 29° 59’ 0"""
Ф-11353	Талан	Talan	балка	Одеська обл.	р-н Білгород-Дністровський	"N 46° 16’ 26"""	"E 29° 56’ 5"""
Ф-11358	Холодна	Kholodna	балка	Одеська обл.	р-н Саратський	"N 46° 15’ 30"""	"E 29° 41’ 25"""
Ф-11362	Кайбурська	Kaiburska	балка	Одеська обл.	р-н Саратський	"N 46° 14’ 10"""	"E 29° 41’ 0"""
Ф-11368	Чагарникова	Chaharnykova	балка	Одеська обл.	р-н Тарутинський	"N 46° 13’ 50"""	"E 29° 32’ 0"""
Ф-11371	Талан	Talan	балка	Одеська обл.	р-н Білгород-Дністровський	"N 46° 13’ 45"""	"E 29° 59’ 35"""
Ф-11377	Крива	Kryva	балка	Одеська обл.	р-н Саратський	"N 46° 12’ 20"""	"E 29° 55’ 5"""
Ф-11380	Курудера	Kurudera	балка	Одеська обл.	р-н Саратський	"N 46° 10’ 20"""	"E 29° 45’ 19"""
Ф-11383	Чумакова	Chumakova	балка	Одеська обл.	р-н Саратський	"N 46° 11’ 25"""	"E 29° 44’ 45"""
Ф-11384	Фуксова	Fuksova	балка	Одеська обл.	р-н Саратський	"N 46° 11’ 10"""	"E 29° 40’ 45"""
Ф-11391	Валедінка	Valedinka	балка	Одеська обл.	р-н Саратський	"N 46° 9’ 25"""	"E 29° 34’ 50"""
Ф-11397	Холодна	Kholodna	балка	Одеська обл.	р-н Арцизький, р-н Тарутинський	"N 46° 11’ 43"""	"E 29° 32’ 55"""
Ф-11402	Прикордонна	Prykordonna	гора	Одеська обл.	р-н Саратський	"N 46° 10’ 15"""	"E 29° 33’ 55"""
Ф-11413	Виноградна	Vynohradna	балка	Одеська обл.	р-н Саратський	"N 46° 10’ 15"""	"E 29° 56’ 5"""
Ф-11417	Ярославка	Yaroslavka	балка	Одеська обл.	р-н Саратський	"N 46° 6’ 40"""	"E 29° 52’ 10"""
Ф-11426	Глибока	Hlyboka	балка	Одеська обл.	р-н Саратський	"N 46° 7’ 30"""	"E 29° 49’ 15"""
Ф-11429	Манзурина	Manzuryna	балка	Одеська обл.	р-н Саратський	"N 46° 6’ 15"""	"E 29° 47’ 5"""
Ф-11430	Болгарські Скелі	Bolharski Skeli	балка	Одеська обл.	р-н Саратський	"N 46° 2’ 40"""	"E 29° 42’ 10"""
Ф-11437	Улентеровка	Ulenterovka	балка	Одеська обл.	р-н Саратський	"N 46° 1’ 5"""	"E 29° 48’ 35"""
Ф-11441	Глибока	Hlyboka	балка	Одеська обл.	р-н Саратський	"N 46° 0’ 45"""	"E 29° 45’ 40"""
Ф-11443	Сирияри	Syryiary	балка	Одеська обл.	р-н Саратський	"N 46° 0’ 55"""	"E 29° 42’ 10"""
Ф-11453	Аккерманська	Akkermanska	балка	Одеська обл.	р-н Саратський	"N 46° 1’ 55"""	"E 29° 42’ 15"""
Ф-11456	Глибока	Hlyboka	балка	Одеська обл.	р-н Саратський	"N 46° 5’ 45"""	"E 29° 57’ 5"""
Ф-11469	Романівка	Romanivka	балка	Одеська обл.	"р-н Білгород-Дністровський, р-н
Саратський"	"N 46° 5’ 15"""	"E 29° 59’ 35"""
Ф-11475	Попова	Popova	балка	Одеська обл.	р-н Овідіопольський	"N 46° 17’ 0"""	"E 30° 24’ 30"""
Ф-11482	Скурта	Skurta	балка	Одеська обл.	р-н Овідіопольський	"N 46° 17’ 50"""	"E 30° 25’ 40"""
Ф-11487	Французька	Frantsuzka	балка	Одеська обл.	р-н Білгород-Дністровський	"N 46° 4’ 25"""	"E 30° 20’ 55"""
Ф-11491	Окуліча	Okulicha	балка	Одеська обл.	р-н Білгород-Дністровський	"N 46° 3’ 0"""	"E 30° 20’ 15"""
Ф-11493	Санжійська	Sanzhiiska	балка	Одеська обл.	р-н Овідіопольський	"N 46° 16’ 15"""	"E 30° 35’ 55"""
Ф-11496	Мартинівка	Martynivka	балка	Одеська обл.	р-н Овідіопольський	"N 46° 15’ 20"""	"E 30° 30’ 25"""
Ф-11509	Котлабух	Kotlabukh	балка	Одеська обл.	р-н Болградський	"N 45° 56’ 22"""	"E 28° 55’ 0"""
Ф-11511	Папазмера	Papazmera	балка	Одеська обл.	р-н Болградський	"N 45° 55’ 55"""	"E 28° 59’ 35"""
Ф-11513	Козманун-Кула	Kozmanun-Kula	балка	Одеська обл.	р-н Болградський	"N 45° 55’ 8"""	"E 28° 58’ 33"""
Ф-11522	Сариярлик	Saryiarlyk	балка	Одеська обл.	р-н Болградський	"N 45° 51’ 50"""	"E 28° 55’ 50"""
Ф-11525	Смаілелу	Smailelu	балка	Одеська обл.	р-н Болградський	"N 45° 51’ 30"""	"E 28° 57’ 45"""
Ф-11527	Кайнаки	Kaynaky	балка	Одеська обл.	р-н Болградський	"N 45° 49’ 46"""	"E 28° 47’ 55"""
Ф-11535	Кайнаки	Kainaky	річка	Одеська обл.	р-н Болградський	"N 45° 44’ 34"""	"E 28° 43’ 15"""
Ф-11545	Дальбонуто	Dalbonuto	балка	Одеська обл.	р-н Болградський	"N 45° 48’ 10"""	"E 28° 51’ 5"""
Ф-11557	Пандаклійська	Pandakliiska	балка	Одеська обл.	р-н Болградський	"N 45° 47’ 5"""	"E 28° 53’ 55"""
Ф-11559	Великий Катлабуг	Velykyi Katlabuh	гора	Одеська обл.	р-н Болградський	"N 45° 46’ 25"""	"E 28° 51’ 30"""
Ф-11561	Гривицей	Hryvytsei	гора	Одеська обл.	р-н Болградський	"N 45° 46’ 59"""	"E 28° 54’ 56"""
Ф-11565	Міркар-Кут	Mirkar-Kut	балка	Одеська обл.	р-н Болградський	"N 45° 46’ 40"""	"E 28° 48’ 40"""
Ф-11572	Вітковського	Vitkovskoho	балка	Одеська обл.	р-н Болградський	"N 45° 45’ 20"""	"E 28° 50’ 30"""
Ф-11575	Пандаклійська	Pandakliiska	гора	Одеська обл.	р-н Болградський	"N 45° 45’ 0"""	"E 28° 56’ 55"""
Ф-11582	Задбаїрі	Zadbaiiri	балка	Одеська обл.	р-н Болградський	"N 45° 43’ 5"""	"E 28° 42’ 3"""
Ф-11584	Мінзул	Minzul	балка	Одеська обл.	р-н Болградський	"N 45° 41’ 15"""	"E 28° 39’ 24"""
Ф-11589	Кукурудзяна	Kukurudziana	балка	Одеська обл.	р-н Болградський	"N 45° 40’ 50"""	"E 28° 30’ 40"""
Ф-11594	Банновська	Bannovska	балка	Одеська обл.	р-н Болградський	"N 45° 41’ 0"""	"E 28° 52’ 20"""
Ф-11595	Видільна	Vydilna	долина	Одеська обл.	р-н Болградський	"N 45° 42’ 55"""	"E 28° 56’ 5"""
Ф-11612	Кантор	Kantor	хребет	Одеська обл.	р-н Болградський	"N 45° 43’ 13"""	"E 28° 34’ 30"""
Ф-11613	Дюльменська	Diulmenska	балка	Одеська обл.	р-н Арцизький, р-н Татарбунарський	"N 45° 59’ 15"""	"E 29° 7’ 5"""
Ф-11616	Делень	Delen	балка	Одеська обл.	р-н Арцизький, р-н Татарбунарський	"N 45° 58’ 5"""	"E 29° 11’ 15"""
Ф-11626	Ду-Збору	Du-Zboru	балка	Одеська обл.	р-н Арцизький, р-н Татарбунарський	"N 45° 56’ 50"""	"E 29° 5’ 0"""
Ф-1163	Білоч	Biloch	річка	Одеська обл.		"N 47° 52’ 42"""	"E 28° 58’ 41"""
Ф-11636	Пряма	Pryama	балка	Одеська обл.	р-н Арцизький	"N 45° 54’ 55"""	"E 29° 19’ 45"""
Ф-1164	Рибниця	Rybnytsia	річка	Одеська обл.		"N 47° 44’ 56"""	"E 28° 59’ 11"""
Ф-11643	Боутін	Boutin	балка	Одеська обл.	р-н Арцизький	"N 45° 52’ 55"""	"E 29° 4’ 5"""
Ф-11668	Брієнь	Briien	балка	Одеська обл.	р-н Арцизький	"N 45° 52’ 40"""	"E 29° 24’ 45"""
Ф-11670	Дракуля	Drakulia	балка	Одеська обл.	р-н Арцизький	"N 45° 51’ 11"""	"E 29° 23’ 5"""
Ф-11674	Чиста	Chysta	балка	Одеська обл.	р-н Арцизький	"N 45° 47’ 13"""	"E 29° 19’ 10"""
Ф-11687	Російська	Rosiiska	балка	Одеська обл.	р-н Арцизький, р-н Болградський	"N 45° 45’ 55"""	"E 29° 4’ 26"""
Ф-11706	Зміївка	Zmiivka	гора	Одеська обл.	р-н Арцизький	"N 45° 44’ 44"""	"E 29° 16’ 45"""
Ф-11707	Троя	Troia	гора	Одеська обл.	р-н Арцизький	"N 45° 44’ 30"""	"E 29° 7’ 0"""
Ф-11708	Мариней	Marynei	долина	Одеська обл.	р-н Арцизький	"N 45° 44’ 20"""	"E 29° 9’ 10"""
Ф-11711	Глибока	Hlyboka	балка	Одеська обл.	р-н Арцизький, р-н Кілійський	"N 45° 42’ 30"""	"E 29° 14’ 45"""
Ф-11716	Російська	Rosiiska	гора	Одеська обл.	р-н Ізмаїльський	"N 45° 43’ 30"""	"E 29° 4’ 50"""
Ф-11719	Плоска	Ploska	гора	Одеська обл.	р-н Кілійський	"N 45° 43’ 50"""	"E 29° 18’ 55"""
