Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-6342	Ревне	Revne	озеро	Київська обл.	р-н Бориспільський	"N 50° 15’ 19"""	"E 30° 52’ 52"""
Ф-6362	Степанкове	Stepankove	озеро	Київська обл.	р-н Бориспільський	"N 50° 14’ 14"""	"E 30° 56’ 30"""
Ф-6363	Осовиця	Osovytsia	озеро	Київська обл.	р-н Бориспільський	"N 50° 11’ 53"""	"E 30° 53’ 32"""
Ф-6367	Івковитеця	Ivkovytetsia	річка	Київська обл.		"N 50° 6’ 11"""	"E 30° 47’ 48"""
Ф-6370	Ставок	Stavok	стариця (старе русло)	Київська обл.		"N 50° 16’ 8"""	"E 30° 43’ 11"""
Ф-6371	Довге	Dovhe	озеро	Київська обл.	р-н Бориспільський	"N 50° 15’ 13"""	"E 30° 44’ 12"""
Ф-6372	Конча	Koncha	озеро	Київська обл.		"N 50° 17’ 31"""	"E 30° 36’ 0"""
Ф-6374	Розкошівка	Rozkoshivka	озеро, що пересихає	Київська обл.	р-н Броварський	"N 50° 45’ 42"""	"E 30° 53’ 40"""
Ф-6377	Печурине	Pechuryne	озеро	Київська обл.	р-н Броварський	"N 50° 44’ 56"""	"E 30° 55’ 28"""
Ф-6379	Нелюбич	Neluibych	озеро	Київська обл.	р-н Броварський	"N 50° 44’ 55"""	"E 30° 56’ 55"""
Ф-6381	Річище	Richyshche	озеро, що пересихає	Київська обл.	р-н Вишгородський	"N 50° 40’ 22"""	"E 30° 40’ 33"""
Ф-6383	Кривий Ріг	Kruvyi Rih	озеро	Київська обл.	р-н Вишгородський	"N 50° 41’ 1"""	"E 30° 41’ 31"""
Ф-6385	Казенне	Kazenne	озеро	Київська обл.	р-н Вишгородський	"N 50° 41’ 5"""	"E 30° 41’ 24"""
Ф-6387	Вибга	Vybha	озеро	Київська обл.	р-н Вишгородський	"N 50° 44’ 17"""	"E 30° 42’ 46"""
Ф-6388	Покай	Pokai	озеро	Київська обл.	р-н Вишгородський	"N 50° 43’ 1"""	"E 30° 40’ 27"""
Ф-6389	Домаха	Domakha	озеро	Київська обл.	р-н Вишгородський	"N 50° 48’ 3"""	"E 30° 44’ 4"""
Ф-6391	Гончарівка	Honcharivka	стариця (старе русло)	Київська обл.		"N 50° 43’ 28"""	"E 30° 44’ 0"""
Ф-6394	Пудстань	Pudstan	озеро	Київська обл.	р-н Вишгородський	"N 50° 47’ 52"""	"E 30° 44’ 41"""
Ф-6395	Рать	Rat	стариця (старе русло)	Київська обл., Чернігівська обл.		"N 50° 44’ 25"""	"E 30° 44’ 20"""
Ф-6399	Городи	Horody	озеро	Київська обл.	р-н Поліський	"N 51° 16’ 24"""	"E 29° 42’ 8"""
Ф-64	Оводень	Ovoden	озеро	Київська обл.		"N 51° 6’ 32"""	"E 30° 8’ 10"""
Ф-6400	Ситня	Sytnia	озеро	Київська обл.	р-н Поліський	"N 51° 15’ 52"""	"E 29° 44’ 46"""
Ф-6401	Осовська	Osovska	стариця (старе русло)	Київська обл.		"N 51° 15’ 40"""	"E 29° 42’ 15"""
Ф-6402	Сологоща	Solohoshcha	річка	Київська обл.		"N 51° 15’ 31"""	"E 29° 41’ 38"""
Ф-6403	Поплав	Poplav	річка	Київська обл.		"N 51° 7’ 19"""	"E 29° 50’ 20"""
Ф-6404	Кропивня	Kropyvnia	річка	Київська обл.		"N 51° 17’ 0"""	"E 29° 48’ 21"""
Ф-6405	Мар'янівка	Marianivka	річка	Київська обл.		"N 51° 14’ 11"""	"E 29° 52’ 48"""
Ф-6406	Лешок	Leshok	озеро	Київська обл.	р-н Іванківський	"N 51° 16’ 30"""	"E 29° 58’ 24"""
Ф-6407	Ананеве	Ananeve	озеро	Київська обл.	р-н Поліський	"N 51° 14’ 58"""	"E 29° 30’ 34"""
Ф-6408	Злинська	Zlynska	річка	Київська обл.		"N 51° 15’ 3"""	"E 29° 42’ 14"""
Ф-6409	Бичок	Bychok	річка	Київська обл.		"N 51° 0’ 43"""	"E 29° 47’ 20"""
Ф-6410	Збинка	Zbynka	річка	Київська обл.		"N 51° 0’ 44"""	"E 29° 47’ 19"""
Ф-6411	Ковпитень	Kovpyten	річка, що пересихає	Київська обл.		"N 51° 1’ 7"""	"E 29° 57’ 26"""
Ф-6412	Нижжя	Nyzhzhia	річка	Київська обл.		"N 51° 7’ 30"""	"E 29° 53’ 29"""
Ф-65	Кав'як	Kaviak	озеро	Київська обл.		"N 50° 1’ 20"""	"E 30° 35’ 57"""
Ф-66	Ковтеб	Kovteb	озеро	Київська обл.		"N 51° 18’ 52"""	"E 30° 0’ 50"""
Ф-67	Некора	Nekora	озеро	Київська обл.		"N 51° 20’ 30"""	"E 30° 12’ 10"""
Ф-671	Ільча	Ilcha	річка	Київська обл.		"N 51° 18’ 52"""	"E 29° 45’ 13"""
Ф-673	Чортовець	Chortovets	потік	Київська обл.		"N 51° 9’ 30"""	"E 29° 35’ 33"""
Ф-68	Лазарове	Lazarove	озеро	Київська обл.		"N 51° 1’ 28"""	"E 30° 7’ 48"""
Ф-680	Хрещате	Khreshchate	озеро	Київська обл.		"N 50° 0’ 58"""	"E 31° 11’ 11"""
Ф-682	Комарове	Komarove	болото	Київська обл.		"N 50° 2’ 52"""	"E 31° 7’ 29"""
Ф-69	Борове	Borove	озеро	Київська обл.		"N 51° 1’ 15"""	"E 30° 9’ 22"""
Ф-6903	Вискидне	Vyskydne	урочище	Київська обл.	р-н Поліський	"N 51° 28’ 30"""	"E 29° 41’ 40"""
Ф-6906	Голубець	Holubets	урочище	Київська обл.	р-н Поліський	"N 51° 27’ 20"""	"E 29° 34’ 20"""
Ф-6907	Медин Ліс	Medyn Lis	урочище	Київська обл.	р-н Іванківський	"N 51° 28’ 55"""	"E 29° 56’ 30"""
Ф-6917	Розне	Rozne	урочище	Київська обл.	р-н Поліський	"N 51° 26’ 5"""	"E 29° 35’ 30"""
Ф-7	Фоса	Fosa	потічок	Київська обл.		"N 49° 24’ 15"""	"E 30° 44’ 10"""
Ф-70	Глушець	Hlushets	озеро	Київська обл.		"N 51° 14’ 35"""	"E 30° 17’ 40"""
Ф-7026	Великий Ліс	Velykyi Les	урочище	Київська обл.	р-н Поліський	"N 51° 25’ 33"""	"E 29° 44’ 30"""
Ф-7030	Клубки	Klubky	урочище	Київська обл.	р-н Поліський	"N 51° 24’ 6"""	"E 29° 32’ 20"""
Ф-7031	Горіла Пічь	Horila Pich	урочище	Київська обл.	р-н Поліський	"N 51° 23’ 40"""	"E 29° 40’ 55"""
Ф-7035	Волковня	Volkovnia	урочище	Київська обл.	р-н Іванківський	"N 51° 21’ 0"""	"E 29° 53’ 2"""
Ф-7040	Гали	Haly	урочище	Київська обл.	р-н Іванківський	"N 51° 28’ 45"""	"E 30° 5’ 10"""
Ф-7044	Діброва	Dibrova	урочище	Київська обл.	р-н Іванківський	"N 51° 28’ 59"""	"E 30° 13’ 40"""
Ф-7087	Гало	Halo	урочище	Київська обл.	р-н Іванківський	"N 51° 26’ 51"""	"E 30° 10’ 35"""
Ф-7090	Теси	Tesy	урочище	Київська обл.	р-н Іванківський	"N 51° 26’ 40"""	"E 30° 14’ 40"""
Ф-7092	Болото Топило	Boloto Topylo	урочище	Київська обл.	р-н Іванківський	"N 51° 24’ 55"""	"E 30° 13’ 20"""
Ф-7093	Гора Солом'є	Hora Solovie	урочище	Київська обл.	р-н Іванківський	"N 51° 23’ 25"""	"E 30° 18’ 40"""
Ф-71	Костопальня	Kostopalnia	став	Київська обл.		"N 49° 48’ 55"""	"E 30° 12’ 40"""
Ф-7104	Ступник	Stupnyk	урочище	Київська обл.	р-н Іванківський	"N 51° 21’ 54"""	"E 30° 4’ 1"""
Ф-7106	Половецькі Гори	Polovetski Hory	урочище	Київська обл.	р-н Іванківський	"N 51° 22’ 25"""	"E 30° 14’ 29"""
Ф-7107	Добринь	Dobryn	урочище	Київська обл.	р-н Іванківський	"N 51° 21’ 45"""	"E 30° 18’ 50"""
Ф-7133	Щигирева Долина	Shchyhyheva Dolyna	урочище	Київська обл.	р-н Іванківський	"N 51° 18’ 50"""	"E 29° 53’ 40"""
Ф-7138	Когодський Гай	Kohodskyi Hai	урочище	Київська обл.	р-н Іванківський	"N 51° 19’ 28"""	"E 29° 58’ 50"""
Ф-7143	Стовпець	Stovpets	урочище	Київська обл.	р-н Поліський	"N 51° 17’ 0"""	"E 29° 46’ 1"""
Ф-7145	Острів	Ostriv	урочище	Київська обл.	р-н Поліський	"N 51° 16’ 59"""	"E 29° 46’ 40"""
Ф-7149	Вигодо	Vyhodo	урочище	Київська обл.	р-н Іванківський	"N 51° 17’ 6"""	"E 29° 58’ 30"""
