Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-31012	Станилове	Stanylove	урочище	Рівненська обл.	р-н Дубровицький	"N 51° 44’ 8"""	"E 26° 56’ 13"""
Ф-31022	Соколівка	Sokolivka	урочище	Рівненська обл.	р-н Демидівський	"N 50° 30’ 54"""	"E 25° 16’ 28"""
Ф-31032	Соколывщина	Sokolыvshchyna	урочище	Рівненська обл.	р-н Радивилівський	"N 50° 19’ 30"""	"E 25° 9’ 46"""
Ф-31070	Селище	Selyshche	урочище	Рівненська обл.	р-н Володимирецький	"N 51° 23’ 38"""	"E 26° 2’ 29"""
Ф-31071	Селище	Selyshche	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 28’ 54"""	"E 27° 0’ 22"""
Ф-31072	Селище	Selyshche	урочище	Рівненська обл.	р-н Дубровицький	"N 51° 42’ 47"""	"E 26° 44’ 10"""
Ф-31073	Селище	Selyshche	урочище	Рівненська обл.	р-н Дубровицький	"N 51° 38’ 4"""	"E 26° 56’ 38"""
Ф-31084	Стара Берва	Stara Berva	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 19’ 42"""	"E 27° 21’ 24"""
Ф-31085	Стара вишка	Stara vyshka	урочище	Рівненська обл.	р-н Володимирецький	"N 51° 21’ 46"""	"E 26° 1’ 15"""
Ф-31129	Сороче	Soroche	урочище	Рівненська обл.	р-н Зарічненський	"N 51° 47’ 14"""	"E 26° 5’ 40"""
Ф-31159	Став	Stav	урочище	Рівненська обл.	р-н Дубровицький	"N 51° 32’ 48"""	"E 26° 54’ 7"""
Ф-31175	Сердибірка	Serdybirka	урочище	Рівненська обл.	р-н Володимирецький	"N 51° 35’ 43"""	"E 26° 10’ 0"""
Ф-31179	Серебрянка	Serebrianka	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 18’ 3"""	"E 27° 25’ 28"""
Ф-31209	Стреміч	Stremich	урочище	Рівненська обл.	р-н Дубровицький	"N 51° 41’ 11"""	"E 26° 16’ 29"""
Ф-31237	Середбор'я	Seredboria	урочище	Рівненська обл.	р-н Дубровицький	"N 51° 39’ 23"""	"E 26° 43’ 48"""
Ф-31253	Смолярна	Smoliarna	урочище	Рівненська обл.	р-н Костопільський	"N 50° 46’ 28"""	"E 26° 42’ 59"""
Ф-31256	Смолярня	Smoliarnia	урочище	Рівненська обл.	р-н Радивилівський	"N 50° 14’ 43"""	"E 25° 16’ 56"""
Ф-31269	Погеблі	Pohebli	урочище	Рівненська обл.	р-н Дубровицький	"N 51° 42’ 37"""	"E 26° 59’ 28"""
Ф-31274	Попова Долина	Popova Dolyna	урочище	Рівненська обл.	р-н Здолбунівський	"N 50° 22’ 51"""	"E 25° 57’ 17"""
Ф-31278	Стрижень	Stryzhen	урочище	Рівненська обл.	р-н Зарічненський	"N 51° 49’ 0"""	"E 26° 17’ 28"""
Ф-31311	Суха Поросль	Sukha Porosl	урочище	Рівненська обл.	р-н Сарненський	"N 51° 10’ 27"""	"E 26° 31’ 36"""
Ф-31317	Смолярня	Smoliarnia	урочище	Рівненська обл.	р-н Радивилівський	"N 50° 14’ 14"""	"E 25° 13’ 28"""
Ф-31325	Смордовщина	Smordovshchyna	урочище	Рівненська обл.	р-н Млинівський	"N 50° 24’ 33"""	"E 25° 32’ 29"""
Ф-31328	Стара Гута	Stara Huta	урочище	Рівненська обл.	р-н Березнівський	"N 50° 52’ 40"""	"E 27° 4’ 9"""
Ф-31340	Попове	Popove	урочище	Рівненська обл.	р-н Дубровицький	"N 51° 33’ 13"""	"E 26° 57’ 4"""
