Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-13836	Тендер	Tender	острів	Херсонська обл.		"N 46° 28’ 56"""	"E 32° 16’ 47"""
Ф-13839	Янушев	Yanushev	острів	Херсонська обл.		"N 46° 29’ 51"""	"E 32° 9’ 46"""
Ф-13840	Вербки	Verbky	острови	Херсонська обл.		"N 46° 30’ 19"""	"E 32° 6’ 21"""
Ф-13841	Великий	Velykyi	острів	Херсонська обл.		"N 46° 23’ 51"""	"E 32° 2’ 40"""
Ф-13843	Кінський	Kinskyi	острів	Херсонська обл.		"N 46° 23’ 18"""	"E 32° 2’ 0"""
Ф-13925	Ушкальський	Ushkalskyi	мис	Херсонська обл.		"N 47° 25’ 27"""	"E 34° 8’ 58"""
Ф-13927	Бабине	Babyne	мис	Херсонська обл.		"N 47° 25’ 20"""	"E 34° 4’ 11"""
Ф-13928	Нижньорогачівський	Nyzhnorohachivskyi	мис	Херсонська обл.		"N 47° 20’ 8"""	"E 34° 1’ 42"""
Ф-13994	Брітани	Britany	острів	Херсонська обл.		"N 46° 45’ 30"""	"E 33° 15’ 39"""
Ф-13996	Козацький	Kozatskyi	острів	Херсонська обл.		"N 46° 46’ 9"""	"E 33° 20’ 9"""
Ф-13997	Малий Потьомкін	Malyi Potomkin	острів	Херсонська обл.		"N 46° 35’ 52"""	"E 32° 34’ 26"""
Ф-13999	Сомова Коса	Somova Kosa	острів	Херсонська обл.		"N 46° 41’ 30"""	"E 32° 49’ 59"""
Ф-14035	Бродова	Brodova	балка	Херсонська обл.	р-н Великоолександрівський	"N 47° 5’ 35"""	"E 32° 58’ 30"""
Ф-14044	Муравкіна	Muravkina	балка	Херсонська обл.	р-н Великоолександрівський	"N 47° 19’ 0"""	"E 33° 7’ 15"""
Ф-14048	Балашова	Balashova	балка	Херсонська обл.	р-н Великоолександрівський	"N 47° 16’ 55"""	"E 33° 10’ 5"""
Ф-14049	Русова	Rusova	балка	Херсонська обл.	р-н Великоолександрівський	"N 47° 16’ 45"""	"E 33° 13’ 40"""
Ф-14055	Поперечна	Poperechna	балка	Херсонська обл.	р-н Великоолександрівський	"N 47° 17’ 20"""	"E 33° 19’ 25"""
Ф-14066	Кринична	Krynychna	балка	Херсонська обл.	р-н Великоолександрівський	"N 47° 11’ 45"""	"E 33° 5’ 25"""
Ф-14080	Хутірська	Khutirska	балка	Херсонська обл.	р-н Великоолександрівський	"N 47° 11’ 50"""	"E 33° 6’ 15"""
Ф-14085	Гредневська	Hrednevska	балка	Херсонська обл.	р-н Великоолександрівський	"N 47° 8’ 55"""	"E 33° 2’ 40"""
Ф-14086	Стоянова	Stoianova	балка	Херсонська обл.	р-н Нововоронцовський	"N 47° 18’ 0"""	"E 33° 40’ 55"""
