Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-8835	Гончарка	Honcharka	балка	Дніпропетровська обл.	р-н Широківський	"N 47° 37’ 10"""	"E 33° 1’ 57"""
Ф-884	Демурина	Demuryna	річка	Дніпропетровська обл.		"N 48° 11’ 39"""	"E 33° 41’ 50"""
Ф-8841	Підунова	Pidunova	балка	Дніпропетровська обл.	р-н Широківський	"N 47° 36’ 20"""	"E 33° 1’ 59"""
Ф-8859	Кобильня	Kobylnia	балка	Дніпропетровська обл.	р-н Широківський	"N 47° 35’ 3"""	"E 33° 21’ 24"""
Ф-8863	Стечинська	Kovaleva	балка	Дніпропетровська обл.	р-н Апостолівський	"N 47° 38’ 30"""	"E 33° 59’ 10"""
Ф-887	Рекалова	Rekalova	річка	Дніпропетровська обл.		"N 48° 14’ 0"""	"E 34° 10’ 41"""
Ф-8878	Широка	Shyroka	балка	Дніпропетровська обл.	р-н Апостолівський	"N 47° 36’ 33"""	"E 33° 53’ 22"""
Ф-888	Водяна	Vadiana	річка	Дніпропетровська обл.		"N 48° 3’ 55"""	"E 34° 10’ 25"""
Ф-8881	Шмиглова	Shmyhlova	балка	Дніпропетровська обл.	р-н Апостолівський	"N 47° 31’ 15"""	"E 33° 54’ 20"""
Ф-8894	Осокорівська	Osokorivska	балка	Дніпропетровська обл.	р-н Апостолівський	"N 47° 31’ 27"""	"E 33° 49’ 5"""
Ф-890	Грушівка	Hrushivka	річка	Дніпропетровська обл.		"N 48° 17’ 56"""	"E 34° 36’ 10"""
Ф-8926	Глиниста	Hlynysta	балка	Дніпропетровська обл.	р-н П'ятихатський	"N 48° 19’ 45"""	"E 33° 53’ 35"""
Ф-893	Суха Сура	Sukha Sura	річка	Дніпропетровська обл.		"N 48° 14’ 40"""	"E 34° 46’ 40"""
Ф-8931	Крута	Kruta	балка	Дніпропетровська обл.	р-н Криничанський	"N 48° 14’ 45"""	"E 33° 54’ 5"""
Ф-8934	Кам'яниста	Kamianysta	балка	Дніпропетровська обл.	р-н Софіївський	"N 48° 13’ 0"""	"E 33° 46’ 21"""
Ф-8938	Криничувата	Krynychuvata	балка	Дніпропетровська обл.	р-н Софіївський	"N 48° 9’ 7"""	"E 33° 42’ 59"""
Ф-894	Комишувата Сура	Komyshuvata Sura	річка	Дніпропетровська обл.		"N 48° 13’ 30"""	"E 34° 42’ 10"""
Ф-8940	Стуканова	Stukanova	балка	Дніпропетровська обл.	р-н П'ятихатський	"N 48° 17’ 26"""	"E 33° 48’ 20"""
Ф-8942	Криничувата	Krynychuvata	балка	Дніпропетровська обл.	р-н П'ятихатський	"N 48° 16’ 57"""	"E 33° 32’ 42"""
Ф-895	Тритузна	Trytuzna	річка	Дніпропетровська обл.		"N 48° 12’ 40"""	"E 34° 46’ 20"""
Ф-9014	Таранова	Taranova	балка	Дніпропетровська обл.	р-н П'ятихатський	"N 48° 19’ 42"""	"E 33° 47’ 25"""
Ф-9055	Крута	Kruta	балка	Дніпропетровська обл.	р-н Криворізький	"N 48° 2’ 52"""	"E 33° 35’ 36"""
Ф-9056	Петіна	Petina	балка	Дніпропетровська обл.	р-н Софіївський	"N 48° 8’ 8"""	"E 33° 47’ 48"""
Ф-9059	Водяна	Vodiana	балка	Дніпропетровська обл.	р-н Криворізький, Софіївський	"N 48° 1’ 22"""	"E 33° 41’ 22"""
Ф-9064	Сухий Яр	Sukhyi Yar	балка	Дніпропетровська обл.	р-н Криворізький	"N 48° 6’ 5"""	"E 33° 16’ 10"""
Ф-9065	Недайвода	Nedaivoda	балка	Дніпропетровська обл.	р-н Криворізький	"N 48° 8’ 35"""	"E 33° 25’ 40"""
Ф-9066	Лозоватка	Lozovatka	балка	Дніпропетровська обл.	р-н Криворізький	"N 48° 3’ 55"""	"E 33° 22’ 10"""
Ф-9147	Орлова	Orlova	балка	Дніпропетровська обл.	р-н Криничанський	"N 48° 18’ 30"""	"E 34° 9’ 22"""
Ф-9149	Лиса	Lysa	балка	Дніпропетровська обл.	р-н Криничанський	"N 48° 15’ 40"""	"E 34° 6’ 32"""
Ф-9152	Калинова	Kalynova	балка	Дніпропетровська обл.	р-н Криничанський	"N 48° 13’ 13"""	"E 34° 8’ 12"""
Ф-9153	Крута	Vodiana	балка	Дніпропетровська обл.	р-н Софіївський	"N 48° 8’ 0"""	"E 34° 3’ 48"""
Ф-9156	Хромушина	Khromushyna	балка	Дніпропетровська обл.	р-н Софіївський	"N 48° 3’ 16"""	"E 34° 8’ 37"""
Ф-9167	Кошевата	Koshevata	балка	Дніпропетровська обл.	р-н Криничанський	"N 48° 8’ 35"""	"E 34° 13’ 25"""
Ф-9170	Козина	Kozyna	балка	Дніпропетровська обл.	р-н Криничанський	"N 48° 11’ 36"""	"E 34° 17’ 20"""
Ф-9197	Суха	Sukha	балка	Дніпропетровська обл.	р-н Криничанський	"N 48° 16’ 58"""	"E 34° 17’ 58"""
Ф-9198	Грушівська	Hrushivska	балка	Дніпропетровська обл.	р-н Криничанський	"N 48° 9’ 20"""	"E 34° 26’ 0"""
Ф-9207	Пікінерка	Pikinerka	балка	Дніпропетровська обл.	р-н Солонянський	"N 48° 12’ 20"""	"E 34° 30’ 42"""
Ф-9220	Тернувата	Ternuvata	балка	Дніпропетровська обл.	р-н Солонянський	"N 48° 14’ 55"""	"E 34° 37’ 5"""
Ф-9230	Трутова	Trutova	балка	Дніпропетровська обл.	р-н Дніпропетровський	"N 48° 18’ 58"""	"E 34° 58’ 35"""
Ф-9238	Нанькова	Nankova	балка	Дніпропетровська обл.	р-н Солонянський	"N 48° 10’ 15"""	"E 34° 51’ 58"""
Ф-924	Любимівка	Liubymivka	річка	Дніпропетровська обл.		"N 48° 3’ 25"""	"E 34° 33’ 45"""
Ф-9249	Попова	Popova	балка	Дніпропетровська обл.	р-н Солонянський	"N 48° 10’ 35"""	"E 34° 53’ 5"""
Ф-925	Мокра Сура	Mokra Sura	річка	Дніпропетровська обл.		"N 48° 19’ 29"""	"E 35° 8’ 31"""
Ф-9252	Тритузна	Trytuzna	балка	Дніпропетровська обл.	р-н Солонянський	"N 48° 4’ 2"""	"E 34° 47’ 16"""
Ф-9255	Ряба	Riaba	балка	Дніпропетровська обл.	р-н Солонянський	"N 48° 1’ 42"""	"E 34° 40’ 15"""
Ф-9259	Остапова	Ostapova	балка	Дніпропетровська обл.	р-н Солонянський	"N 48° 5’ 50"""	"E 34° 59’ 10"""
Ф-9264	Куца	Kutsa	балка	Дніпропетровська обл.	р-н Солонянський	"N 48° 9’ 41"""	"E 34° 39’ 4"""
Ф-9273	Могила-Розрита	Mohyla-Rozryta	балка	Дніпропетровська обл.	р-н Солонянський	"N 48° 13’ 2"""	"E 34° 51’ 8"""
Ф-928	Суха Сура	Sukha Sura	річка	Дніпропетровська обл.		"N 48° 19’ 35"""	"E 35° 3’ 30"""
Ф-930	Ворона	Vorona	річка	Дніпропетровська обл.		"N 48° 17’ 0"""	"E 35° 15’ 0"""
Ф-933	Осокорівка	Osokorivka	річка	Дніпропетровська обл.		"N 48° 8’ 40"""	"E 35° 16’ 35"""
Ф-936	Дніпровське	Dniprovske	водосховище	Дніпропетровська обл., Запорізька обл.		"N 48° 7’ 50"""	"E 35° 11’ 0"""
Ф-938	Нижня Терса	Nyzhia Tersa	річка	Дніпропетровська обл.		"N 48° 20’ 25"""	"E 35° 45’ 20"""
Ф-940	Соломчина	Solomchyna	річка, що пересихає	Дніпропетровська обл.		"N 48° 10’ 50"""	"E 35° 59’ 20"""
Ф-9404	Майорова	Maiorova	балка	Дніпропетровська обл.	р-н Дніпропетровський	"N 48° 16’ 15"""	"E 35° 6’ 52"""
Ф-9411	Скубова	Skubova	балка	Дніпропетровська обл.	р-н Солонянський	"N 48° 9’ 1"""	"E 35° 9’ 35"""
Ф-9417	Тягінка	Tiahinka	балка	Дніпропетровська обл.	р-н Солонянський	"N 48° 13’ 20"""	"E 35° 7’ 0"""
Ф-9424	Ракова	Rakova	балка	Дніпропетровська обл.	р-н Синельниківський	"N 48° 18’ 22"""	"E 35° 18’ 38"""
Ф-9429	Совина	Sovyna	балка	Дніпропетровська обл.	р-н Синельниківський	"N 48° 8’ 30"""	"E 35° 26’ 11"""
Ф-9433	Осокорівка	Osokorivka	струмок	Дніпропетровська обл., Запорізька обл.		"N 48° 7’ 25"""	"E 35° 20’ 40"""
Ф-9437	Вербова	Verbova	балка	Дніпропетровська обл.	р-н Синельниківський	"N 48° 7’ 44"""	"E 35° 27’ 10"""
Ф-9443	Буруштайка	Burushtaika	балка	Дніпропетровська обл.	р-н Синельниківський	"N 48° 16’ 35"""	"E 35° 32’ 2"""
Ф-9449	Антонова	Antonova	балка	Дніпропетровська обл.	р-н Синельниківський	"N 48° 17’ 56"""	"E 35° 39’ 45"""
Ф-9452	Писаревська	Pysarevska	балка	Дніпропетровська обл.	р-н Синельниківський	"N 48° 19’ 25"""	"E 35° 46’ 50"""
Ф-9456	Кіршівська	Kirshivska	балка	Дніпропетровська обл.	р-н Васильківський	"N 48° 14’ 18"""	"E 35° 44’ 42"""
Ф-9466	Тенетівська	Tenetivska	балка	Дніпропетровська обл.	"р-н Синельниківський, р-н
Васильківський"	"N 48° 13’ 17"""	"E 35° 44’ 12"""
Ф-947	Карачунівське	Karachunivske	водосховище	Дніпропетровська обл.		"N 47° 55’ 10"""	"E 33° 14’ 30"""
Ф-9476	Гракова	Hrakova	балка	Дніпропетровська обл.	р-н Синельниківський	"N 48° 13’ 9"""	"E 35° 43’ 0"""
Ф-948	Красінське	Krasinske	водосховище	Дніпропетровська обл.		"N 47° 55’ 40"""	"E 33° 35’ 30"""
Ф-9489	Глудовата	Hludovata	балка	Дніпропетровська обл.	р-н Синельниківський	"N 48° 15’ 38"""	"E 35° 42’ 45"""
Ф-949	Південне	Pivdenne	водосховище	Дніпропетровська обл.		"N 47° 49’ 10"""	"E 33° 34’ 30"""
Ф-9496	Ставки	Stavky	балка	Дніпропетровська обл.	р-н Васильківський	"N 48° 19’ 23"""	"E 35° 53’ 45"""
Ф-950	Жовтенька	Zhovtenka	річка	Дніпропетровська обл.		"N 47° 44’ 29"""	"E 33° 49’ 31"""
Ф-9505	Купша	Kupsha	балка	Дніпропетровська обл.	р-н Васильківський	"N 48° 18’ 30"""	"E 35° 53’ 44"""
Ф-9507	Богданівська	Bohdanivska	балка	Дніпропетровська обл.	р-н Васильківський	"N 48° 15’ 50"""	"E 35° 53’ 45"""
Ф-9510	Богданова	Bohdanova	балка	Дніпропетровська обл.	р-н Васильківський	"N 48° 15’ 45"""	"E 35° 56’ 5"""
Ф-952	Шолоховське No14	Sholokhovske No14	водосховище	Дніпропетровська обл.		"N 47° 43’ 38"""	"E 34° 0’ 0"""
Ф-9530	Глиняна	Hlyniana	балка	Дніпропетровська обл.	р-н Васильківський	"N 48° 19’ 47"""	"E 36° 1’ 35"""
Ф-9538	Перцеза	Pertseza	балка	Дніпропетровська обл.	р-н Васильківський	"N 48° 13’ 20"""	"E 36° 4’ 55"""
Ф-9560	Васильківська	Vasylkivska	балка	Дніпропетровська обл.	р-н Васильківський	"N 48° 6’ 8"""	"E 36° 12’ 22"""
Ф-9565	Журавлева	Zhuravleva	балка	Дніпропетровська обл.	р-н Васильківський	"N 48° 8’ 40"""	"E 36° 6’ 47"""
Ф-9567	Солоненька	Solonenka	балка	Дніпропетровська обл.	р-н Покровський	"N 48° 2’ 28"""	"E 36° 4’ 5"""
Ф-9569	Лиса	Lysa	балка	Дніпропетровська обл.	"р-н Васильківський, р-н
Петропавлівський"	"N 48° 18’ 6"""	"E 36° 9’ 30"""
Ф-9571	Довга	Dovha	балка	Дніпропетровська обл.	р-н Васильківський	"N 48° 14’ 53"""	"E 36° 19’ 12"""
Ф-9575	Велика Суха	Velyka Sukha	балка	Дніпропетровська обл.	р-н Петропавлівський	"N 48° 16’ 55"""	"E 36° 25’ 6"""
Ф-9587	Купрієва	Kupriieva	балка	Дніпропетровська обл.	"р-н Межівський, р-н
Петропавлівський"	"N 48° 13’ 42"""	"E 36° 26’ 30"""
Ф-959	Базавлучок	Bazavluchok	річка, що пересихає	Дніпропетровська обл.		"N 47° 46’ 20"""	"E 33° 59’ 0"""
Ф-9591	Широка	Shyroka	балка	Дніпропетровська обл.	р-н Васильківський	"N 48° 4’ 25"""	"E 36° 23’ 0"""
Ф-9593	Крутенька	Krutenka	балка	Дніпропетровська обл.	р-н Покровський	"N 48° 1’ 43"""	"E 36° 13’ 40"""
Ф-9600	Перша Лозова	Persha Lozova	балка	Дніпропетровська обл.	р-н Межівський	"N 48° 17’ 3"""	"E 36° 37’ 26"""
Ф-9604	Друга Лозова	Druha Lozova	балка	Дніпропетровська обл.	р-н Межівський	"N 48° 18’ 0"""	"E 36° 40’ 38"""
Ф-9607	Косьминна	Kosmynna	балка	Дніпропетровська обл.	р-н Межівський	"N 48° 15’ 38"""	"E 36° 35’ 5"""
Ф-9619	Сухарева	Sukhareva	балка	Дніпропетровська обл.	р-н Межівський	"N 48° 19’ 43"""	"E 36° 46’ 40"""
Ф-962	Топила	Topyla	річка	Дніпропетровська обл.		"N 47° 47’ 2"""	"E 34° 43’ 20"""
Ф-9621	Солоненька	Solonenka	балка	Дніпропетровська обл.	р-н Межівський	"N 48° 16’ 25"""	"E 36° 52’ 22"""
Ф-9622	Чемерлик	Chemerlyk	балка	Дніпропетровська обл.	р-н Межівський	"N 48° 12’ 45"""	"E 36° 51’ 44"""
Ф-9624	Безіменна	Bezimenna	балка	Дніпропетровська обл.	р-н Межівський	"N 48° 10’ 35"""	"E 36° 47’ 36"""
Ф-9628	Різникова	Riznykova	балка	Дніпропетровська обл.	р-н Межівський	"N 48° 11’ 32"""	"E 36° 45’ 50"""
Ф-9631	Широка	Shyroka	балка	Дніпропетровська обл.	р-н Межівський	"N 48° 9’ 12"""	"E 36° 39’ 20"""
Ф-9632	Горіхова	Horikhova	балка	Дніпропетровська обл.	р-н Межівський	"N 48° 4’ 48"""	"E 36° 51’ 10"""
Ф-9634	Крутенька	Krutenka	балка	Дніпропетровська обл.	р-н Петропавлівський	"N 48° 32’ 56"""	"E 36° 32’ 45"""
Ф-9635	Тернова	Ternova	балка	Дніпропетровська обл.	р-н Петропавлівський	"N 48° 35’ 20"""	"E 36° 38’ 35"""
Ф-9636	Погідня	Pohidnia	балка	Дніпропетровська обл.	р-н Петропавлівський	"N 48° 36’ 2"""	"E 36° 41’ 40"""
Ф-964	Миколаївське	Mykolaivske	водосховище	Дніпропетровська обл.		"N 47° 41’ 1"""	"E 34° 41’ 50"""
Ф-9640	Уздівська	Uzdivska	балка	Дніпропетровська обл.	р-н Петропавлівський	"N 48° 34’ 45"""	"E 36° 48’ 21"""
Ф-9642	Крутий Яр	Krutyi Yar	балка	Дніпропетровська обл.	р-н Петропавлівський	"N 48° 28’ 55"""	"E 36° 36’ 28"""
Ф-9644	Зелена	Zelena	балка	Дніпропетровська обл.	"р-н Межівський, р-н
Петропавлівський"	"N 48° 29’ 12"""	"E 36° 41’ 20"""
Ф-9674	Сухий Бичок	Sukhyi Bychok	балка	Дніпропетровська обл.	р-н Межівський	"N 48° 31’ 10"""	"E 36° 48’ 36"""
Ф-9681	Скелька	Skelka	балка	Дніпропетровська обл.	р-н Межівський	"N 48° 29’ 35"""	"E 36° 46’ 30"""
Ф-9690	Скелька	Skelka	балка	Дніпропетровська обл.	р-н Межівський	"N 48° 26’ 18"""	"E 36° 46’ 40"""
Ф-9692	Безіменна	Bezimenna	балка	Дніпропетровська обл.	р-н Межівський	"N 48° 23’ 53"""	"E 36° 47’ 12"""
Ф-9695	Скотовата	Skotovata	балка	Дніпропетровська обл.	р-н Петропавлівський	"N 48° 22’ 15"""	"E 36° 32’ 55"""
Ф-9696	Широка	Shyroka	балка	Дніпропетровська обл.	р-н Павлоградський	"N 48° 35’ 43"""	"E 36° 10’ 40"""
Ф-9699	Глиняна	Hlyniana	балка	Дніпропетровська обл.	р-н Павлоградський	"N 48° 32’ 52"""	"E 36° 7’ 25"""
Ф-9700	Свідовок	Svidovok	балка	Дніпропетровська обл.	р-н Павлоградський	"N 48° 34’ 20"""	"E 36° 2’ 5"""
Ф-9704	Сліпа	Slipa	балка	Дніпропетровська обл.	"р-н Павлоградський, р-н
Петропавлівський"	"N 48° 29’ 48"""	"E 36° 14’ 36"""
Ф-9710	Монашеська	Monasheska	балка	Дніпропетровська обл.	р-н Петропавлівський	"N 48° 33’ 3"""	"E 36° 26’ 25"""
Ф-9711	Очеретова	Ocheretova	балка	Дніпропетровська обл.	"р-н Павлоградський, р-н
Петропавлівський"	"N 48° 21’ 47"""	"E 36° 5’ 50"""
Ф-9719	Суха Чаплина	Sukha Chaplyna	балка	Дніпропетровська обл.	р-н Петропавлівський	"N 48° 20’ 58"""	"E 36° 11’ 0"""
