Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-34994	Четверикова	Chetverykova	балка	Донецька обл.	"Бахмутська міськрада, р-н
Бахмутський"	"N 48° 33’ 1"""	"E 37° 57’ 39"""
Ф-35011	Свиняча	Svyniacha	балка	Донецька обл.	"Донецька міськрада, р-н
Амвросіївський"	"N 47° 51’ 53"""	"E 38° 7’ 37"""
Ф-35012	Дьяконів	Diakoniv	урочище	Донецька обл.	р-н Волноваський	"N 47° 10’ 9"""	"E 37° 52’ 36"""
Ф-35013	Павлова	Pavlova	балка	Донецька обл.	"р-н Волноваський, р-н
Новоазовський"	"N 47° 16’ 2"""	"E 37° 48’ 8"""
Ф-35014	Залізна	Zalizna	балка	Донецька обл.	"Горлицька міськрада, р-н
Ясинуватський"	"N 48° 19’ 14"""	"E 37° 54’ 21"""
Ф-35015	Орлова	Orlova	балка	Донецька обл.	"Торезька міськрада, р-н
Шахтарський"	"N 48° 3’ 3"""	"E 38° 40’ 39"""
Ф-35016	Велика Медова	Velyka Medova	балка	Донецька обл.	"Сніжнянська міськрада, р-н
Шахтарський"	"N 47° 57’ 44"""	"E 38° 43’ 53"""
Ф-35017	Малий Байрак	Malyi Bairak	балка	Донецька обл.	р-н Мар'їнський	"N 48° 7’ 59"""	"E 37° 28’ 54"""
Ф-35110	Лиман	Lyman	урочище	Донецька обл.	р-н Мангушський	"N 46° 57’ 49"""	"E 37° 18’ 4"""
Ф-35172	Водяна	Vodiana	балка	Донецька обл.	р-н Мангушський, р-н Нікольський	"N 47° 10’ 25"""	"E 37° 0’ 46"""
Ф-35174	Біла Криниця	Bila Krynytsia	урочище	Донецька обл.	р-н Бойківський	"N 47° 18’ 36"""	"E 38° 4’ 4"""
Ф-35178	Кам'янка	Kamianka	балка	Донецька обл.	р-н Бойківський	"N 47° 28’ 37"""	"E 38° 11’ 31"""
Ф-35279	Пасічна	Pasichna	балка	Донецька обл.	Донецька міськрада, р-н Мар'їнський	"N 47° 59’ 3"""	"E 37° 36’ 33"""
Ф-35280	Четверта	Chetverta	балка	Донецька обл.	"Донецька міськрада, р-н
Старобешівський"	"N 47° 52’ 32"""	"E 37° 54’ 33"""
Ф-35284	Чирчина	Chyrchyna	балка	Донецька обл.	"Сніжнянська міськрада, р-н
Шахтарський"	"N 47° 56’ 33"""	"E 38° 48’ 9"""
Ф-35290	Крутенький Ліс	Krutenkyi Lis	урочище	Донецька обл.	"Краматорська міськрада, р-н
Слов'янський"	"N 48° 48’ 7"""	"E 37° 29’ 23"""
Ф-35291	Ісаєва	Isaieva	балка	Донецька обл.	"р-н Амвросіївський, р-н
Старобешівський"	"N 47° 45’ 32"""	"E 38° 11’ 11"""
Ф-35292	Вільхова	Vilkhova	балка	Донецька обл.	р-н Амвросіївський, р-н Шахтарський	"N 47° 54’ 46"""	"E 38° 40’ 47"""
Ф-35293	Матвіїва	Matviiva	балка	Донецька обл.	р-н Амвросіївський, р-н Шахтарський	"N 47° 54’ 28"""	"E 38° 44’ 21"""
Ф-35294	Бугаєва	Buhaieva	балка	Донецька обл.	р-н Амвросіївський, р-н Шахтарський	"N 47° 53’ 33"""	"E 38° 44’ 22"""
Ф-35296	Купцівська	Kuptsivska	балка	Донецька обл.	р-н Бойківський, р-н Волноваський	"N 47° 24’ 38"""	"E 37° 52’ 17"""
Ф-35300	Харцизька	Khartsyzka	балка	Донецька обл.	р-н Амвросіївський	"N 47° 58’ 3"""	"E 38° 14’ 13"""
Ф-36838	Артема	Artema	гора	Донецька обл.	р-н Слов'янський	"N 49° 0’ 58"""	"E 37° 32’ 59"""
Ф-36839	Карачун	Karachun	гора	Донецька обл.	Краматорська міськрада	"N 48° 48’ 45"""	"E 37° 33’ 48"""
Ф-36903	Унікальний розріз порід	Unikalnyi rozriz porid	гора	Донецька обл.	р-н Старобешівський	"N 47° 40’ 34"""	"E 37° 47’ 59"""
Ф-36920	Крейдові Гори	Kreidovi Hory	гора	Донецька обл.	Краматорська міськрада	"N 48° 39’ 36"""	"E 37° 41’ 8"""
Ф-36921	"Природний Парк
""Білокузьминівський"""	"Pryrodnyi Park
""bilokuzmynivskyi"""	гора	Донецька обл.	Краматорська міськрада	"N 48° 39’ 48"""	"E 37° 41’ 33"""
Ф-37818	Бабин	Babyn	ліс	Донецька обл.	р-н Слов'янський	"N 48° 53’ 0"""	"E 37° 28’ 40"""
Ф-37829	Великий Вовчий	Velykyi Vovchyi	ліс	Донецька обл.	р-н Бахмутський	"N 48° 49’ 20"""	"E 37° 56’ 31"""
Ф-37830	Західний	Zakhidnyi	ліс	Донецька обл.	р-н Слов'янський	"N 48° 48’ 12"""	"E 37° 53’ 37"""
Ф-37883	Сорочий	Sorochyi	ліс	Донецька обл.	р-н Бахмутський	"N 48° 47’ 23"""	"E 37° 57’ 27"""
Ф-37884	Бабачий	Babachyi	ліс	Донецька обл.	р-н Бахмутський	"N 48° 46’ 48"""	"E 37° 58’ 17"""
Ф-37885	Хромівський	Khromivskyi	ліс	Донецька обл.	р-н Бахмутський	"N 48° 43’ 22"""	"E 37° 56’ 43"""
Ф-39942	Джерело Св.Миколая	Dzherelo Sv.mykolaia	джерело	Донецька обл.	Авдіївська міськрада	"N 48° 8’ 2"""	"E 37° 47’ 33"""
Ф-40024	Селянський	Selianskyi	ліс	Донецька обл.	р-н Олександрівський	"N 48° 43’ 30"""	"E 37° 9’ 33"""
Ф-4143	Перекітне	Perekitne	озеро	Донецька обл.	р-н Краснолиманський	"N 48° 59’ 45"""	"E 37° 38’ 18"""
Ф-4147	Підпісочне	Pidpisochne	озеро	Донецька обл.	р-н Краснолиманський	"N 48° 59’ 45"""	"E 37° 40’ 30"""
Ф-4148	Комове	Komove	озеро	Донецька обл.	р-н Краснолиманський	"N 48° 59’ 10"""	"E 37° 38’ 0"""
Ф-4149	Богрове	Bohrove	озеро	Донецька обл.	р-н Краснолиманський	"N 48° 59’ 0"""	"E 37° 39’ 55"""
Ф-4150	Комишеве	Komysheve	озеро	Донецька обл.	р-н Краснолиманський	"N 48° 58’ 45"""	"E 37° 39’ 2"""
Ф-4151	Герасимове	Herasymove	озеро	Донецька обл.	р-н Краснолиманський	"N 48° 57’ 55"""	"E 37° 39’ 0"""
Ф-4152	Волокове	Volokove	озеро	Донецька обл.	р-н Краснолиманський	"N 48° 57’ 25"""	"E 37° 40’ 45"""
Ф-4153	Єрок	Yerok	озеро	Донецька обл.	р-н Слов'янський	"N 48° 56’ 20"""	"E 37° 43’ 0"""
Ф-4154	Чернецьке	Chernetske	озеро	Донецька обл.	р-н Краснолиманський	"N 48° 53’ 45"""	"E 37° 46’ 30"""
Ф-4155	Підпісочне	Pidpisochne	озеро	Донецька обл.	р-н Краснолиманський	"N 48° 54’ 14"""	"E 37° 49’ 15"""
Ф-4156	Чернецьке	Chernetske	озеро	Донецька обл.	р-н Краснолиманський	"N 48° 53’ 43"""	"E 37° 51’ 58"""
Ф-4157	Москвина	Moskvyna	озеро	Донецька обл.	р-н Краснолиманський	"N 48° 53’ 30"""	"E 37° 55’ 2"""
Ф-4158	Оступ	Ostup	озеро	Донецька обл.	р-н Краснолиманський	"N 48° 55’ 9"""	"E 37° 57’ 30"""
Ф-4159	Церковне	Tserkovne	озеро	Донецька обл.	р-н Краснолиманський	"N 48° 55’ 8"""	"E 37° 57’ 40"""
Ф-4160	Криве	Kryve	озеро	Донецька обл.	р-н Краснолиманський	"N 48° 55’ 13"""	"E 37° 58’ 35"""
Ф-4161	Рибинське	Rybynske	озеро	Донецька обл.	р-н Краснолиманський	"N 48° 54’ 28"""	"E 37° 57’ 53"""
Ф-4171	Солоне	Solone	озеро	Донецька обл.	р-н Слов'янський	"N 48° 52’ 30"""	"E 37° 37’ 20"""
Ф-4172	Солоненький	Solonenkyi	потічок	Донецька обл.	р-н Красноармійський	"N 48° 12’ 46"""	"E 37° 9’ 50"""
Ф-4173	Горлівське	Horlivske	водосховище	Донецька обл.	р-н Ясинуватський	"N 48° 17’ 29"""	"E 37° 57’ 20"""
Ф-4174	Широкий	Shyrokyi	потік	Донецька обл.	р-н Ясинуватський	"N 48° 10’ 20"""	"E 37° 55’ 20"""
Ф-4175	Тонка	Tonka	річка	Донецька обл.	р-н Великоновосілківський	"N 48° 0’ 20"""	"E 36° 44’ 10"""
Ф-4176	Павловська	Pavlovska	потік	Донецька обл.	р-н Амвросіївський	"N 47° 40’ 20"""	"E 38° 23’ 40"""
Ф-4177	Мала Шишівка	Mala Shyshivka	річка	Донецька обл.	р-н Амвросіївський	"N 47° 54’ 13"""	"E 38° 30’ 29"""
Ф-4178	Знаменівське	Znamenivske	водосховище	Донецька обл.	р-н Волноваський	"N 47° 26’ 30"""	"E 37° 26’ 40"""
Ф-44076	"Цілюще Богородичне
джерело"	"Tsiliushche Bohorodychne
dzherelo"	джерело	Донецька обл.	р-н Бойківський	"N 47° 19’ 46"""	"E 38° 9’ 41"""
Ф-45004	Жованка	Zhovanka	річка	Донецька обл.	р-н Бахмутський	"N 48° 26’ 6"""	"E 38° 1’ 18"""
Ф-45006	Лозова	Lozova	річка	Донецька обл.	р-н Бахмутський	"N 48° 23’ 1"""	"E 38° 13’ 30"""
Ф-45007	Вискрива	Vyskryva	річка, що пересихає	Донецька обл.	р-н Бахмутський	"N 48° 35’ 35"""	"E 38° 15’ 47"""
Ф-45008	Пікрова	Pikrova	річка, що пересихає	Донецька обл.	р-н Мар'їнський	"N 48° 4’ 22"""	"E 37° 24’ 38"""
Ф-45009	Солоненький	Solonenkyi	потік	Донецька обл.	р-н Покровський	"N 48° 2’ 44"""	"E 37° 10’ 49"""
Ф-45010	Страшний	Strashnyi	потік	Донецька обл.	р-н Покровський	"N 48° 2’ 46"""	"E 37° 10’ 49"""
Ф-45011	Орлова	Orlova	річка	Донецька обл.	р-н Великоновосілківський	"N 48° 0’ 17"""	"E 37° 7’ 44"""
Ф-45029	Сінна	Sinna	річка	Донецька обл.	р-н Покровський	"N 48° 18’ 26"""	"E 37° 20’ 15"""
Ф-45052	Богодухівка	Bohodukhivka	річка	Донецька обл.	Донецька міськрада	"N 47° 54’ 52"""	"E 37° 52’ 20"""
Ф-45100	Куличка	Kulychka	річка	Донецька обл.	р-н Добропільський	"N 48° 24’ 54"""	"E 37° 3’ 44"""
Ф-45124	Балмутка	Balmutka	річка	Донецька обл.	р-н Костянтинівський	"N 48° 29’ 17"""	"E 37° 50’ 46"""
Ф-45146	Гурти	Hurty	річка	Донецька обл.	Горлівська міськрада	"N 48° 22’ 57"""	"E 38° 9’ 25"""
Ф-45239	Гришинка	Hryshynka	річка	Донецька обл.	р-н Добропільський	"N 48° 24’ 58"""	"E 36° 51’ 3"""
Ф-45438	Біла	Bila	річка	Донецька обл.	р-н Лиманський	"N 49° 5’ 35"""	"E 37° 42’ 58"""
Ф-45439	Осикова	Osykova	річка	Донецька обл.	р-н Старобешівський	"N 47° 43’ 32"""	"E 38° 5’ 6"""
Ф-45474	Дубівка	Dubivka	річка	Донецька обл.	р-н Бойківський	"N 47° 28’ 21"""	"E 37° 53’ 27"""
Ф-45475	Солодка	Solodka	річка	Донецька обл.	р-н Мар'їнський	"N 47° 53’ 10"""	"E 37° 18’ 56"""
Ф-45477	Кам'янка	Kamianka	річка	Донецька обл.	р-н Амвросіївський	"N 47° 39’ 5"""	"E 38° 31’ 21"""
Ф-45478	Черкаська	Cherkaska	річка, що пересихає	Донецька обл.	р-н Слов'янський	"N 48° 49’ 29"""	"E 37° 22’ 43"""
Ф-45533	Лозова	Lozova	річка	Донецька обл.	р-н Мар'їнський	"N 48° 1’ 44"""	"E 37° 23’ 40"""
Ф-45580	Дурна	Durna	річка	Донецька обл.	Донецька міськрада	"N 47° 57’ 45"""	"E 37° 48’ 44"""
Ф-45722	Бахмутка	Bakhmutka	річка	Донецька обл.	Донецька міськрада	"N 47° 58’ 20"""	"E 37° 46’ 9"""
Ф-45933	Бугас	Buhas	затока	Донецька обл.	р-н Першотравневий	"N 46° 53’ 7"""	"E 37° 19’ 20"""
Ф-46035	Криве	Kryve	озеро	Донецька обл.	р-н Лиманський	"N 48° 59’ 29"""	"E 37° 38’ 26"""
Ф-46051	No 8	No 8	став	Донецька обл.	р-н Слов'янський	"N 48° 52’ 36"""	"E 37° 31’ 39"""
Ф-46052	No 7	No 7	став	Донецька обл.	р-н Слов'янський	"N 48° 53’ 25"""	"E 37° 30’ 23"""
Ф-46053	No 9	No 9	став	Донецька обл.	р-н Слов'янський	"N 48° 51’ 12"""	"E 37° 31’ 56"""
Ф-46059	Красноярське	Krasnoiarske	озеро	Донецька обл.	р-н Лиманський	"N 49° 0’ 45"""	"E 37° 40’ 37"""
Ф-46063	Стародубівське	Starodubivske	водосховище	Донецька обл.	р-н Мангушський	"N 47° 8’ 7"""	"E 37° 4’ 58"""
Ф-46085	Широкий	Shyrokyi	ставок	Донецька обл.	Макіївська міськрада	"N 48° 9’ 0"""	"E 37° 58’ 35"""
Ф-46086	Великий Лиман	Velykyi Lyman	озеро	Донецька обл.	р-н Слов'янський	"N 49° 3’ 8"""	"E 37° 28’ 25"""
Ф-46093	Кірша	Kirsha	став	Донецька обл.	Донецька міськрада	"N 47° 55’ 53"""	"E 37° 44’ 45"""
Ф-46115	Лиман	Lyman	озеро	Донецька обл.	р-н Лиманський	"N 48° 59’ 43"""	"E 37° 47’ 11"""
Ф-46117	Перерва	Pererva	озеро	Донецька обл.	р-н Лиманський	"N 48° 53’ 26"""	"E 37° 53’ 8"""
