Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-17941	Венглове	Venhlove	урочище	Житомирська обл.	р-н Малинський	"N 50° 44’ 52"""	"E 28° 53’ 21"""
Ф-19808	Здрівля	Zdrivlia	урочище	Житомирська обл.	р-н Малинський	"N 50° 44’ 55"""	"E 29° 1’ 36"""
Ф-5123	Земляне Болото	Zemliane Boloto	урочище	Житомирська обл.	р-н Малинський	"N 50° 44’ 55"""	"E 29° 33’ 0"""
Ф-23940	Каган	Kahan	урочище	Житомирська обл.	р-н Малинський	"N 50° 44’ 8"""	"E 28° 51’ 19"""
Ф-19807	Здрівля	Zdrivlia	урочище	Житомирська обл.	р-н Малинський	"N 50° 45’ 0"""	"E 28° 58’ 37"""
Ф-6845	Циган	Tsyhan	урочище	Житомирська обл.	р-н Новоград-Волинський	"N 50° 45’ 10"""	"E 27° 23’ 28"""
Ф-157	Візня	Viznia	річка	Житомирська обл.		"N 50° 45’ 11"""	"E 29° 20’ 30"""
Ф-21698	Гульбище	Hulbyshche	урочище	Житомирська обл.	р-н Малинський	"N 50° 45’ 22"""	"E 29° 33’ 42"""
Ф-5099	Лиса Гора	Lysa Hora	урочище	Житомирська обл.	р-н Малинський	"N 50° 45’ 26"""	"E 29° 4’ 0"""
Ф-31030	Соколове	Sokolove	гора	Житомирська обл.	р-н Новоград-Волинський	"N 50° 45’ 28"""	"E 27° 24’ 48"""
Ф-130	Церем	Tserem	річка	Житомирська обл.		"N 50° 45’ 30"""	"E 27° 24’ 20"""
Ф-19749	Каміння	Kaminnia	урочище	Житомирська обл.	р-н Малинський	"N 50° 45’ 39"""	"E 29° 6’ 32"""
Ф-27598	Рудокопи	Rudokopy	урочище	Житомирська обл.	р-н Коростенський	"N 50° 45’ 39"""	"E 28° 35’ 5"""
Ф-22537	Королева Піч	Koroleva Pich	урочище	Житомирська обл.	р-н Малинський	"N 50° 45’ 46"""	"E 29° 4’ 53"""
Ф-4662	Ольжине	Olzhyne	урочище	Житомирська обл.	р-н Ємільчинський	"N 50° 45’ 50"""	"E 27° 40’ 20"""
Ф-30539	Слошина	Sloshyna	урочище	Житомирська обл.	р-н Новоград-Волинський	"N 50° 45’ 53"""	"E 27° 18’ 57"""
Ф-113	Рихта	Rykhta	річка	Житомирська обл.		"N 50° 46’ 0"""	"E 28° 54’ 30"""
Ф-21686	Жучки	Zhuchky	урочище	Житомирська обл.	Малинська міськрада	"N 50° 46’ 15"""	"E 29° 7’ 27"""
Ф-5092	Острів	Ostriv	урочище	Житомирська обл.		"N 50° 46’ 22"""	"E 29° 11’ 0"""
Ф-18695	Вовківня	Vovkivnia	урочище	Житомирська обл.	р-н Малинський	"N 50° 46’ 28"""	"E 29° 24’ 51"""
Ф-39391	Чорний	Chornyi	ліс	Житомирська обл.	р-н Новоград-Волинський	"N 50° 46’ 28"""	"E 27° 34’ 42"""
Ф-5055	Толочкове	Tolochkove	урочище	Житомирська обл.	р-н Малинський	"N 50° 46’ 29"""	"E 28° 59’ 50"""
Ф-33590	Таборище	Taboryshche	урочище	Житомирська обл.	р-н Малинський	"N 50° 46’ 30"""	"E 29° 18’ 56"""
Ф-192	Ірша	Irsha	річка	Житомирська обл., Київська обл.		"N 50° 46’ 35"""	"E 29° 34’ 10"""
Ф-31708	Кораблева Дача	Korableva Dacha	урочище	Житомирська обл.	р-н Коростенський	"N 50° 46’ 40"""	"E 28° 48’ 40"""
Ф-21012	Гофманівка	Hofmanivka	урочище	Житомирська обл.	р-н Новоград-Волинський	"N 50° 46’ 45"""	"E 27° 17’ 16"""
Ф-5049	Горілі Болота	Horili Bolota	урочище	Житомирська обл.	р-н Коростенський, р-н Малинський	"N 50° 46’ 46"""	"E 28° 50’ 50"""
Ф-22280	Козаки	Kozaky	урочище	Житомирська обл.	р-н Коростенський	"N 50° 46’ 48"""	"E 28° 40’ 17"""
Ф-33687	Шелестів	Shelestiv	урочище	Житомирська обл.	р-н Новоград-Волинський	"N 50° 46’ 50"""	"E 27° 25’ 5"""
Ф-29950	Теребіж	Terebizh	урочище	Житомирська обл.	р-н Малинський	"N 50° 47’ 17"""	"E 29° 21’ 29"""
Ф-4659	Лужки	Luzhky	урочище	Житомирська обл.	р-н Новоград-Волинський	"N 50° 47’ 20"""	"E 27° 33’ 40"""
Ф-25305	Ніцова Лоза	Nitsova Loza	урочище	Житомирська обл.	р-н Коростенський	"N 50° 47’ 25"""	"E 28° 17’ 38"""
Ф-18010	Вепринець	Veprynets	урочище	Житомирська обл.	р-н Малинський	"N 50° 47’ 27"""	"E 29° 12’ 35"""
Ф-31306	Суха Лоза	Sukha Loza	урочище	Житомирська обл.	р-н Малинський	"N 50° 47’ 28"""	"E 29° 6’ 23"""
Ф-29037	Охримій	Okhrymii	урочище	Житомирська обл.	р-н Коростенський	"N 50° 47’ 32"""	"E 28° 32’ 7"""
Ф-23780	Захарове Болото	Zakharove Boloto	урочище	Житомирська обл.	р-н Новоград-Волинський	"N 50° 47’ 33"""	"E 27° 25’ 9"""
Ф-29087	Пічка	Pichka	урочище	Житомирська обл.	р-н Малинський	"N 50° 47’ 34"""	"E 28° 59’ 18"""
Ф-18225	Гряда	Hriada	урочище	Житомирська обл.	р-н Коростенський	"N 50° 47’ 4"""	"E 28° 36’ 32"""
Ф-33429	Усох	Usokh	урочище	Житомирська обл.	р-н Малинський	"N 50° 47’ 42"""	"E 28° 53’ 16"""
Ф-31782	Погоріле	Pohorile	урочище	Житомирська обл.	р-н Новоград-Волинський	"N 50° 47’ 5"""	"E 27° 30’ 32"""
Ф-110	Злобич	Zlobych	річка	Житомирська обл.		"N 50° 47’ 55"""	"E 28° 50’ 35"""
Ф-32537	Чубарівка	Chubarivka	урочище	Житомирська обл.	р-н Коростенський	"N 50° 47’ 57"""	"E 28° 46’ 8"""
Ф-167	Мицьківка	Mytskivka	річка	Житомирська обл.		"N 50° 47’ 58"""	"E 27° 22’ 55"""
Ф-25613	Ліс Нараєвський	Lis Naraievskyi	урочище	Житомирська обл.	р-н Ємільчинський	"N 50° 47’ 59"""	"E 27° 52’ 2"""
Ф-12727	Карпова	Karpova	гора	Житомирська обл.	р-н Ємільчинський	"N 50° 48’ 10"""	"E 27° 43’ 45"""
Ф-339	Перевізня	Pereviznia	річка	Житомирська обл.		"N 50° 48’ 10"""	"E 27° 14’ 7"""
Ф-16968	Бор злобичі	Bor zlobychi	урочище	Житомирська обл.	р-н Коростенський	"N 50° 48’ 11"""	"E 28° 48’ 49"""
Ф-112	Тростяниця	Trostianytsia	річка	Житомирська обл.		"N 50° 48’ 12"""	"E 28° 57’ 45"""
Ф-123	Криваль	Kryval	річка	Житомирська обл.		"N 50° 48’ 12"""	"E 27° 19’ 0"""
Ф-25169	Нове Кладовище	Nove Kladovyshche	урочище	Житомирська обл.	р-н Коростенський	"N 50° 48’ 17"""	"E 28° 50’ 50"""
Ф-114	Перегорщ	Perehorshch	річка	Житомирська обл.		"N 50° 48’ 18"""	"E 28° 56’ 40"""
Ф-5091	Морсола	Morsola	урочище	Житомирська обл.	р-н Малинський	"N 50° 48’ 20"""	"E 29° 21’ 0"""
