Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-24987	Острови Гряди	Ostrovy Hriady	урочище	Полтавська обл.	р-н Оржицький	"N 49° 48’ 9"""	"E 32° 45’ 24"""
Ф-3658	Стара Оржиця	Stara Orzhytsia	річка	Полтавська обл.		"N 49° 47’ 14"""	"E 32° 45’ 38"""
Ф-27636	Острів Струговатів	Ostriv Struhovativ	урочище	Полтавська обл.	р-н Семенівський	"N 49° 41’ 1"""	"E 32° 46’ 32"""
Ф-18149	Грушеве	Hrusheve	урочище	Полтавська обл.	р-н Семенівський	"N 49° 44’ 23"""	"E 32° 46’ 34"""
Ф-27628	Острів Бабинів	Ostriv Babyniv	урочище	Полтавська обл.	р-н Семенівський	"N 49° 40’ 40"""	"E 32° 46’ 39"""
Ф-457	Оржиця	Orzhytsia	річка	Полтавська обл.		"N 49° 45’ 0"""	"E 32° 46’ 59"""
Ф-465	Срібнове	Sribnove	озеро	Полтавська обл.		"N 49° 47’ 3"""	"E 32° 47’ 0"""
Ф-27393	Розкопана	Rozkopana	курган	Полтавська обл.	р-н Семенівський	"N 49° 31’ 13"""	"E 32° 47’ 1"""
Ф-19657	Ковальове	Kovalove	урочище	Полтавська обл.	р-н Чорнухинський	"N 50° 12’ 37"""	"E 32° 47’ 10"""
Ф-3656	Бурчак	Burchak	озеро	Полтавська обл.		"N 49° 42’ 32"""	"E 32° 47’ 18"""
Ф-17761	Горлановщина	Horlanovshchyna	урочище	Полтавська обл.	р-н Чорнухинський	"N 50° 17’ 59"""	"E 32° 47’ 24"""
Ф-19911	Завидна	Zavydna	курган	Полтавська обл.	р-н Семенівський	"N 49° 33’ 40"""	"E 32° 47’ 25"""
Ф-30269	Солене	Solene	урочище	Полтавська обл.	р-н Семенівський	"N 49° 32’ 21"""	"E 32° 47’ 28"""
Ф-29218	Перший Яр	Pershyi Yar	балка	Полтавська обл.	р-н Оржицький	"N 49° 59’ 24"""	"E 32° 47’ 34"""
Ф-29924	Третій Яр	Tretii Yar	балка	Полтавська обл.	р-н Оржицький	"N 49° 59’ 44"""	"E 32° 47’ 42"""
Ф-23858	Західне	Zakhidne	урочище	Полтавська обл.	р-н Семенівський	"N 49° 31’ 38"""	"E 32° 47’ 57"""
Ф-7051	Давидова	Davydova	гора	Полтавська обл.	р-н Лубенський	"N 49° 57’ 47"""	"E 32° 48’ 11"""
Ф-32315	Червонобережжя	Chervonoberezhzhia	урочище	Полтавська обл.	р-н Чорнухинський	"N 50° 11’ 15"""	"E 32° 48’ 12"""
Ф-16920	Блохова	Blokhova	курган	Полтавська обл.	р-н Семенівський	"N 49° 37’ 39"""	"E 32° 48’ 14"""
Ф-27629	Острів Великий Колтунів	Ostriv Velykyi Koltuniv	урочище	Полтавська обл.	р-н Семенівський	"N 49° 41’ 3"""	"E 32° 48’ 15"""
Ф-27632	Острів Малий Колтунів	Ostriv Malyi Koltuniv	урочище	Полтавська обл.	р-н Семенівський	"N 49° 41’ 36"""	"E 32° 48’ 18"""
Ф-27260	Руда Долина	Ruda Dolyna	урочище	Полтавська обл.	р-н Чорнухинський	"N 50° 16’ 41"""	"E 32° 48’ 25"""
Ф-3652	Пекло	Peklo	озеро	Полтавська обл.		"N 49° 47’ 51"""	"E 32° 48’ 32"""
